Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"W kernel support pred, ff2 [pixels]",89.79670709432146,96.13385236974712,89.79662108383943,89.79662108383943,107.07186248547225,154.7276894271483,100.74932987272992,101.64554414116864,100.76970260099543,85.55622917777595,86.70618550073118,96.32620298573268,96.32620298573268,95.16028246446933,95.16028246446933,96.32620207791632,85.17192753069827,85.17192753069827,84.58962151946855,91.36036931845041,88.52070726263524,90.92275424036929,115.4287932566706,130.52328588790257
"W kernel support pred, ff3 [pixels]",96.52490694351984,106.70303617040663,96.52476651914469,96.52476651914469,125.45280623907516,196.98537157087156,115.38268934769978,116.82421737569182,115.41551436989477,88.12071118225211,91.96997788513126,108.18920141202902,108.18920141202902,106.26896693198009,106.26896693198009,108.18919992105147,89.28953887097816,89.28953887097816,88.26395966984884,99.93027194583009,94.43395862103544,98.35758008557531,138.46345328028937,161.34594173713475
"W kernel support pred, ff4 [pixels]",107.61003223642994,123.52278380675294,107.6098083555015,107.6098083555015,163.1284834131536,277.00430731208985,146.12969285371875,148.59082733295818,146.18585064812834,100.27988802743656,104.13931722935985,133.67885450422614,133.67885450422614,130.30081469576047,130.30081469576047,133.67885189106335,98.96886257078843,98.96886257078843,96.96059192647279,118.95002033265374,104.26067261075646,110.52049119100593,184.55253140246796,221.2633647340731
"W kernel support pred, ff5 [pixels]",124.66511009173612,148.46681173851724,124.66476866291232,124.66476866291232,200.0951971271979,351.74766740134703,176.85498930445058,180.23905040457092,176.9322887468537,111.68144256616871,117.40742788977275,159.60934173883538,159.60934173883538,154.88822419485984,154.88822419485984,159.60933809443176,109.72004850921935,109.72004850921935,106.69787717112695,138.85615353829382,119.53150039562989,129.0857355561956,229.0381043925568,278.0660757842353
"W kernel support pred, ff6 [pixels]",179.68574912243034,184.71958996206234,179.68574912243034,179.68574912243034,270.50915373670045,387.5479008816233,236.11432602536274,241.14864431206433,236.22943474641357,135.7048175612187,144.9674059298326,210.2804433615331,210.2804433615331,203.14632335184052,203.14632335184052,210.2804378660077,132.49672493382675,132.49672493382675,127.51354953268066,178.65648249190505,170.37654811589033,156.76988422286198,312.89761395089664,384.02392967907105
"W kernel support pred, ff7 [pixels]",369.55598176111783,261.7203356233131,369.55598176111783,369.55598176111783,336.76065529072343,618.1900896418882,292.2977241159826,298.81987656181644,292.44691500820466,160.012393933362,172.52402976315832,258.7277758599074,258.7277758599074,249.42125576375585,249.42125576375585,258.72776869777437,155.65114287377818,155.65114287377818,148.84376850818765,217.3125477325441,346.5429675619568,216.9619651910709,391.3236580144746,482.546967964781
"W kernel support pred, ff8 [pixels]",,,,,384.2599578576662,709.5121717330155,332.70780256036534,340.2765278973894,332.8809633309655,178.06061429246148,192.8547172182205,293.7022711287383,293.7022711287383,282.87118593349896,282.87118593349896,293.7022627967005,172.8876383789771,172.8876383789771,164.79373177990817,245.4211086813834,,,447.4157017616961,552.862136556322
"W kernel support pred, ff9 [pixels]",,,,,445.2342337343434,826.4217755922275,384.673003537394,393.5706806198702,384.876597240205,201.72679814389468,219.40376460879185,338.77181970111445,338.77181970111445,326.0087376315481,326.0087376315481,338.77180988615805,195.52809682097177,195.52809682097177,185.80749060860862,281.7974423875492,,,601.8056472571487,642.9182233540531
"W kernel support pred, ff10 [pixels]",,,,,503.97937119675373,938.8891152277333,434.798849100895,444.9670844011812,435.03153478020903,224.89383053280326,245.30855872517373,395.68192153250294,395.68192153250294,399.8655046936836,399.8655046936836,395.68192153250294,217.72117194198904,217.72117194198904,206.45584921306678,317.04806182396374,,,774.8949244640213,729.5604345492296
"W kernel support pred, ff11 [pixels]",,,,,617.1688929108155,1047.7480183005212,483.37818907544306,494.77108410348256,483.6389129570651,247.5672598543674,270.60457909140206,488.68732469213603,488.68732469213603,493.94202300438764,493.94202300438764,488.68732469213603,239.46201043856922,239.46201043856922,226.71788975211476,351.3116840898447,,,964.0839854518817,813.4118285908065
