,Ingest (Low) [blcoal] [spbf],ICAL (Low) [blcoal] [spbf],RCAL (Low) [blcoal] [spbf],DPrepA (Low) [blcoal] [spbf],DPrepA_Image (Low) [blcoal] [spbf],DPrepB (Low) [blcoal] [spbf],DPrepC (Low) [blcoal] [spbf],DPrepD (Low) [blcoal] [spbf],Fast_Img (Low) [blcoal] [spbf],Ingest (Mid1) [blcoal] [spbf],ICAL (Mid1) [blcoal] [spbf],RCAL (Mid1) [blcoal] [spbf],DPrepA (Mid1) [blcoal] [spbf],DPrepA_Image (Mid1) [blcoal] [spbf],DPrepB (Mid1) [blcoal] [spbf],DPrepC (Mid1) [blcoal] [spbf],DPrepD (Mid1) [blcoal] [spbf],Fast_Img (Mid1) [blcoal] [spbf],Ingest (Mid2) [blcoal] [spbf],ICAL (Mid2) [blcoal] [spbf],RCAL (Mid2) [blcoal] [spbf],DPrepA (Mid2) [blcoal] [spbf],DPrepA_Image (Mid2) [blcoal] [spbf],DPrepB (Mid2) [blcoal] [spbf],DPrepC (Mid2) [blcoal] [spbf],DPrepD (Mid2) [blcoal] [spbf],Fast_Img (Mid2) [blcoal] [spbf],Ingest (Mid5A) [blcoal] [spbf],ICAL (Mid5A) [blcoal] [spbf],RCAL (Mid5A) [blcoal] [spbf],DPrepA (Mid5A) [blcoal] [spbf],DPrepA_Image (Mid5A) [blcoal] [spbf],DPrepB (Mid5A) [blcoal] [spbf],DPrepC (Mid5A) [blcoal] [spbf],DPrepD (Mid5A) [blcoal] [spbf],Fast_Img (Mid5A) [blcoal] [spbf],Ingest (Mid5B) [blcoal] [spbf],ICAL (Mid5B) [blcoal] [spbf],RCAL (Mid5B) [blcoal] [spbf],DPrepA (Mid5B) [blcoal] [spbf],DPrepA_Image (Mid5B) [blcoal] [spbf],DPrepB (Mid5B) [blcoal] [spbf],DPrepC (Mid5B) [blcoal] [spbf],DPrepD (Mid5B) [blcoal] [spbf],Fast_Img (Mid5B) [blcoal] [spbf],Ingest (Mid5C) [blcoal] [spbf],ICAL (Mid5C) [blcoal] [spbf],RCAL (Mid5C) [blcoal] [spbf],DPrepA (Mid5C) [blcoal] [spbf],DPrepA_Image (Mid5C) [blcoal] [spbf],DPrepB (Mid5C) [blcoal] [spbf],DPrepC (Mid5C) [blcoal] [spbf],DPrepD (Mid5C) [blcoal] [spbf],Fast_Img (Mid5C) [blcoal] [spbf]
"Channels backward, no-smear11",,,,,,,,,,75334.76275845508,24408.834461039172,24408.834461039172,18776.15326926813,27120.86614583087,30510.905751541883,18305.59725306473,137288.40894903094,87801.4649224931,41089.773967896894,19018.861876534043,19018.861876534043,13313.296303445573,19018.861876534043,22188.620528023996,12837.014887981906,74881.08867071281,47889.47474523953,28917.734885444417,18738.76859601465,18738.76859601465,11711.811753963559,18738.76859601465,18738.76859601465,12647.9337526573,52699.03674708295,33703.157949091255,13202.3088507373,8555.131311379297,8555.131311379297,6110.836631556461,8555.131311379297,10693.889156165913,24059.59324690075,24059.59324690075,15387.079872106855,49712.75860750632,26845.05885953878,26845.05885953878,20133.886106982565,26845.05885953878,32213.99706127872,21743.182686503813,90595.4296673419,57939.42669078791
Frequencies predict ifft,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100
Frequencies predict kernels0,(undefined),296.2769816890026,296.2769816890026,294.7735791836968,296.0841938775655,295.16443145837826,600.9919016322261,(undefined),568.4362556970387,(undefined),250.4107930986782,250.4107930988296,249.03756140580984,250.46159781806534,249.95843174602032,456.27555304534553,(undefined),320.9447391063214,(undefined),141.56463658086804,141.56463684352607,140.56350266028002,141.3921021569067,141.14717277972915,257.0242510089,(undefined),181.06580428946253,(undefined),100.0,100.0,100.0,100.0,100.0,179.5602021098511,(undefined),126.76079324381075,(undefined),100.0,100.0,100.0,100.0,100.0,100.0,(undefined),100.0,(undefined),166.88819651392174,166.88819656779282,166.39031480662285,166.79824754255486,166.68920568633087,304.3268553406974,(undefined),214.8627280819143
Frequencies predict kernels1,,298.80180999603783,298.80180999603783,296.1936641503792,298.4678585471355,296.8725906422413,624.3068026500322,,568.7191275714604,,252.50981918369484,252.5098191839515,249.99909554937227,252.6025062018623,251.68390866770662,460.4156709221076,,321.1775679609643,,142.96255549384622,142.9625559723947,141.13358951865112,142.64805659031293,142.2010920809892,258.98993891166475,,181.0986895150543,,100.0,100.0,100.0,100.0,100.0,180.61380810693075,,126.76322321000433,,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,167.6280928440284,167.62809294266546,166.71537145824183,167.46334653550159,167.2635417410085,306.08582907900393,,214.8663821777743
Frequencies predict kernels2,,303.3284264699268,303.3284264699268,298.7519238967783,302.74400945076525,299.9459501618468,664.5592743709678,,569.622148463563,,254.97638438489938,254.97638438529188,251.1341428070929,255.1178659584914,253.71455070639993,465.2773639768608,,321.63094464022424,,144.60277027753176,144.60277100690027,141.80642100167498,144.1231811769933,143.44069970939898,261.30155275327223,,181.16275284055416,,100.50671144301633,100.50671153638635,100.0,100.25141244095043,100.0,181.85505534960842,,126.76795654369104,,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,168.5010095115591,168.5010096627865,167.09979973157556,168.2483670852765,167.94179792077463,308.15824897440183,,214.87349993375022
Frequencies predict kernels3,,310.971183249969,310.9711832499581,303.10664355158923,309.9712683577243,305.1662193166911,728.7790658476149,,572.3471355203595,,260.78296015413434,260.78296015483244,253.82813414773278,261.03755932387423,258.50763096633216,476.70842779768566,,323.4898038917681,,148.45379261572666,148.45379392370955,143.402793524202,147.59269371009924,146.36367089495045,266.75059506672244,,181.42596454196993,,102.61719341788944,102.61719358622743,100.0,102.15647550100466,100.85684298969355,184.79039230528434,,126.78740920165475,,100.0,100.0,100.0,100.0,100.0,103.48969870129801,,100.0,,170.57068103926912,170.5706813141732,168.0153924340296,170.111153546702,169.55283365639843,313.05994728155224,,214.9027516495355
Frequencies predict kernels4,,324.294375919203,324.2943759191792,310.80022312070446,322.59086661307276,314.3558033649149,832.274384793761,,580.9235154001583,,274.949450065049,274.9494500664795,260.526632709083,275.4704669819882,270.2720526920246,504.5215422014586,,332.9430346251011,,157.794089394449,157.7940920511496,147.36872847904303,156.04050592052695,153.52139478553005,280.084689072182,,182.78034482061048,,107.78033120816238,107.78033155408743,101.48065853627149,106.83156326246024,104.1329007041181,192.02644023821557,,126.88779493556193,,100.0,100.0,100.0,100.0,100.0,123.76556536898325,,100.0,,175.7040063894874,175.7040069652217,170.3113565606815,174.7403326582078,173.56593244994374,325.1478490366283,,215.05370784657586
Frequencies predict kernels5,,346.3528983592536,346.3528983592128,323.8034195452061,343.5357907392266,329.7990966169277,987.7299377560227,,606.6073626612161,,291.4315432078922,291.4315432101496,268.5319658856634,292.2475302264063,284.0727986777892,536.7630959781266,,353.1415823259769,,168.57611184497992,168.57611597551153,152.10242607700704,165.84282501296133,161.89123410668347,295.6617039695354,,185.76512484910464,,113.8098419259549,113.80984246998337,103.75047442375052,112.31454628443461,108.02458250322358,200.5669560818737,,127.11108348482301,,100.0,100.0,100.0,100.0,100.0,144.90617854512968,,100.0,,181.81630820243666,181.8163091260166,173.0907771598728,180.26810596636793,178.3750278931267,339.422387449359,,215.3895132367963
Frequencies predict kernels6,,382.38984959568404,382.38984959561765,345.6733570346309,377.8667085987854,355.5570040932291,1216.1654496694182,,680.8234890771128,,328.41555725248986,328.41555725646583,287.2319872575228,329.8468049316827,315.4053614313584,608.7472357671753,,433.4849908184258,,192.51239684914765,192.51240400554977,163.13766413690217,187.7568194357316,180.80630085125108,330.8156881232996,,198.78195176314279,,127.41037995065687,127.41038091182978,109.11892177807832,124.75848773677895,117.02874992057038,220.13269774321674,,128.12012201168568,,100.0,100.0,100.0,100.0,100.0,187.03925862694118,,100.0,,196.01061647997395,196.01061817331805,179.72562431274056,193.16362879478248,189.6587771172133,372.1503067518701,,216.90772303582705
Frequencies predict kernels7,,469.7093091785,469.7093091785,401.171476189675,469.7093091785,469.7093091785,1706.0973989074328,,1011.1921537914995,,368.15971778838997,368.1597177940438,308.29004014894315,370.19859528517867,349.5123894089388,685.691986390827,,565.3823411269022,,217.94749489974345,217.9475050021559,175.53274378295816,211.2135245986306,201.2908843048435,368.8287987878102,,223.42910514562718,,142.10904587642375,142.10904725326043,115.26259114654025,138.29899694487932,127.0489329712195,241.65187529689675,,130.18767983115583,,100.0,100.0,100.0,100.0,100.0,227.8679640734168,,100.0,,211.87801730679658,211.87801980827822,187.41493134214878,207.66109825967402,202.43749620862454,408.1790480296102,,220.02242511280556
Frequencies predict kernels8,,,,,,,,,,,398.7664690894721,398.7664690963629,325.0673366851275,401.24575856819314,376.0103948328541,744.7372813477456,,692.1474329256977,,237.39076587448537,237.39077809623006,185.38836768495966,229.23004720074147,217.148970044949,398.2258793457054,,249.96349582703067,,153.47188233416898,153.47188401377792,120.22176184157574,148.81582565490163,134.9595867745754,258.4936024668683,,132.63528170340362,,100.0,100.0,100.0,100.0,100.0,257.5244488490906,,100.0,,224.44798405780605,224.44798716765814,193.68897683664977,219.19638552119224,212.66444855168604,436.39543902595483,,223.71625308711026
Frequencies predict kernels9,,,,,,,,,,,439.9511494873319,439.95114949576094,348.27666308964876,442.99497374788535,411.9101788893475,823.9769657618232,,890.8904083609574,,263.40935518469956,263.4093701113238,198.99874280741454,253.42513065816564,238.57397072109336,437.91061060177935,,295.31337461164065,,168.8067795890526,168.80678165794203,127.16300029196046,163.06105350802338,145.81778794340653,281.44535387586905,,137.31605111753885,,100.0,100.0,100.0,100.0,100.0,295.87930451505616,,100.0,,241.7517773918631,241.75178130186185,202.56022435701246,235.1359121254242,226.86834600980998,474.8694366483688,,230.7992898252916
Frequencies predict kernels10,,,,,,,,,,,481.14538423735405,481.1453842472975,372.0927179269277,484.7293166133618,448.0361103535243,903.0506169881434,,1117.9350945725434,,289.3094298133764,289.30944732063057,212.94137759384785,277.58393783590145,260.0803598048966,477.71752863826543,,350.6504186691082,,184.18496532292696,184.1849677650466,134.36935438556654,177.3932289410743,156.87658631728493,304.6653136868444,,143.79737652531196,,100.0,100.0,100.0,100.0,100.0,333.0294655273614,,100.0,,259.4239652840724,259.42396997485935,211.86818225030586,251.4740673061732,241.5003563659303,513.8125532188307,,240.64489972425974
Frequencies predict kernels11,,,,,,,,,,,522.0992954057529,522.0992954171334,396.2574028061367,526.2016841097959,484.118447840079,981.5246992272879,,1369.302866892395,,314.9656671874889,314.965687168418,227.06823310434658,301.5703471720202,281.5195224644813,517.378149504669,,414.5082373488821,,199.50363394106864,199.50363674184666,141.75458938722022,191.70594713747943,168.02809565283985,327.9545912685936,,152.1903066598548,,100.0,100.0,100.0,100.0,100.0,369.12814007347083,,100.0,,277.28455048022346,277.2845559298922,221.49764521750248,268.03611393893516,256.3952889004737,552.8874642721845,,253.45240403612777
Frequencies predict de-grid0,65536.0,909.8309866017943,909.8309866017943,728.0592243433563,909.8309866017943,909.8309866017943,65536.0,65536.0,1963.754084524924,65536.0,814.1586879068773,814.1586879068773,626.4026111935381,904.5597563976627,1017.5610889260679,65536.0,65536.0,2927.246459022404,65536.0,634.2616500381702,634.2616500381702,444.076109332927,634.2616500381702,739.9202789596652,65536.0,65536.0,1596.6154427183094,65536.0,624.8353800384707,624.8353800384707,390.603470250447,624.8353800384707,624.8353800384707,65536.0,65536.0,1123.6483696216517,65536.0,285.2676338925193,285.2676338925193,203.79113990464606,285.2676338925193,356.5595643828025,65536.0,65536.0,512.9992577598294,65536.0,895.1908366040094,895.1908366040094,671.4850614196475,895.1908366040094,1074.1554517174807,65536.0,65536.0,1931.6697913193286
Frequencies predict de-grid1,65536.0,1317.8899577352893,1317.8899577352893,1054.506449513207,1317.8899577352893,1317.8899577352893,65536.0,65536.0,2845.002876807837,65536.0,1220.9634817176923,1220.9634817176923,939.3293974920632,1356.5650741686497,1526.0670626744802,65536.0,65536.0,4390.595064095621,65536.0,951.2375319971059,951.2375319971059,665.959238954805,951.2375319971059,1109.7254693717287,65536.0,65536.0,2394.7681956579695,65536.0,937.1445813732993,937.1445813732993,585.7967292438651,937.1445813732993,937.1445813732993,65536.0,65536.0,1685.3640564542193,65536.0,427.85149409557937,427.85149409557937,305.6367570007792,427.85149409557937,534.7893878870661,65536.0,65536.0,769.4489255803708,65536.0,1342.6023701914512,1342.6023701914512,1007.0437213997881,1342.6023701914512,1611.049285867178,65536.0,65536.0,2897.3207797379746
Frequencies predict de-grid2,65536.0,1929.9783292924083,1929.9783292924083,1544.177180900574,1929.9783292924083,1929.9783292924083,65536.0,65536.0,4166.876025758605,65536.0,1627.768254954736,1627.768254954736,1252.256157056809,1808.570373420898,2034.5730199598029,65536.0,65536.0,5853.943663441757,65536.0,1268.2134055444637,1268.2134055444637,887.8423565662766,1268.2134055444637,1479.5306525735034,65536.0,65536.0,3192.9209452546934,65536.0,1249.4537785218913,1249.4537785218913,780.9899815429653,1249.4537785218913,1249.4537785218913,65536.0,65536.0,2247.0797409596876,65536.0,570.4353523546921,570.4353523546921,407.4823713759993,570.4353523546921,713.0192098358275,65536.0,65536.0,1025.8985923202388,65536.0,1790.0138953853188,1790.0138953853188,1342.6023701914512,1790.0138953853188,2147.943113021092,65536.0,65536.0,3862.9717642657424
Frequencies predict de-grid3,65536.0,2801.7404981711366,2801.7404981711366,2241.586938882596,2801.7404981711366,2801.7404981711366,65536.0,65536.0,6049.543817415792,65536.0,2441.3777808470027,2441.3777808470027,1878.1096494368924,2712.580953399158,3051.5849180597625,65536.0,65536.0,8780.640856407961,65536.0,1902.165144226012,1902.165144226012,1331.608579773788,1902.165144226012,2219.14101176475,65536.0,65536.0,4789.226441112072,65536.0,1874.0721686334662,1874.0721686334662,1171.3764794443684,1874.0721686334662,1874.0721686334662,65536.0,65536.0,3370.5111076432245,65536.0,855.6030669285161,855.6030669285161,611.1735974050059,855.6030669285161,1069.4788521775574,65536.0,65536.0,1538.7979247168228,65536.0,2684.8369373752475,2684.8369373752475,2013.7196565822142,2684.8369373752475,3221.730760331539,65536.0,65536.0,5794.273729429907
Frequencies predict de-grid4,65536.0,4100.1096457592,4100.1096457592,3280.2822729956692,4100.1096457592,4100.1096457592,65536.0,65536.0,8853.517105553552,65536.0,4068.596807922735,4068.596807922735,3129.816602084691,4520.602091119545,5085.608694493264,65536.0,65536.0,14634.035235477146,65536.0,3170.0686114902282,3170.0686114902282,2219.14101176475,3170.0686114902282,3698.3617214896512,65536.0,65536.0,7981.837428793979,65536.0,3123.308943830835,3123.308943830835,1952.149467208934,3123.308943830835,3123.308943830835,65536.0,65536.0,5617.3738382134225,65536.0,1425.9384937424293,1425.9384937424293,1018.5560461953065,1425.9384937424293,1782.3981349931155,65536.0,65536.0,2564.5965882148244,65536.0,4474.4830112811205,4474.4830112811205,3355.9542159313764,4474.4830112811205,5369.306046552494,65536.0,65536.0,9656.87765508817
