Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
AW kernel support bw1 [uv-pixels],10.092066591147153,10.827794294117224,10.07881693809773,10.203607187888064,10.036590810106695,10.941772097187117,10.130967505559095,10.105151800510844,10.101554295061986,10.261402319720196,10.130967505559095,10.105151800510844,10.101554295061986,10.261402319720196,10.130967505559095,10.105151800510844,10.101554295061986,10.261402319720196,10.503923876406017,10.475777730059889,10.329860983004549,11.103540877605925,10.511189615905593,10.390425395589443,10.338358664948002,11.1488003414911,11.070251027132578,10.44835477646756,10.417513781020041,18.527414714895706,10.110123777145548,10.05765373979526,10.081432451933667,10.276357956233518,10.210085406813013,11.188412821762626,10.14554511942303,10.140841437701296,10.094711539518908,10.14554511942303,10.140841437701296,10.094711539518908,10.14554511942303,10.140841437701296,10.094711539518908,10.079265277199106,10.061543923294472,10.218172792733345,10.079265277199106,10.061543923294472,10.218172792733345
AW kernel support bw2 [uv-pixels],10.162808142863803,11.429335756903495,10.12117650966765,10.312100915439496,10.056310586457219,11.419886870371887,10.231291437714223,10.185864724762908,10.179527889173992,10.459583853449665,10.231291437714223,10.185864724762908,10.179527889173992,10.459583853449665,10.231291437714223,10.185864724762908,10.179527889173992,10.459583853449665,10.76701651126167,10.724641938213685,10.504110550613706,11.658326296500086,10.777946805104358,10.595820338281138,10.516993487600898,11.724789996235259,11.609372304433949,10.68330587485671,10.636757670778795,21.815339807803383,10.16918336958089,10.088682937268818,10.125190012071243,10.422880733501794,10.321981019349776,11.782875272425473,10.223411574454621,10.216215850920056,10.145558898710053,10.223411574454621,10.216215850920056,10.145558898710053,10.223411574454621,10.216215850920056,10.145558898710053,10.121864521536823,10.09465833818855,10.334311020516251,10.121864521536823,10.09465833818855,10.334311020516251
AW kernel support bw3 [uv-pixels],10.28347597506677,12.398381980760709,10.22176980565736,10.567172840939268,10.103301851302009,12.49101548154183,10.401800337489105,10.323372695181758,10.312413640441134,10.792502425404813,10.401800337489105,10.323372695181758,10.312413640441134,10.792502425404813,10.401800337489105,10.323372695181758,10.312413640441134,10.792502425404813,11.372204651157148,11.298191915340931,10.90986824679048,12.890778331378687,11.39126559892311,11.072011671611907,10.932703527919147,13.001470234237013,12.809046732857292,11.22581091491922,11.14408365255694,28.192827803942535,10.309076417347548,10.162497389790996,10.229080899686775,10.765436966502207,10.584917609258293,13.097956291648513,10.407323805082974,10.394309563303121,10.26615145443779,10.407323805082974,10.394309563303121,10.26615145443779,10.407323805082974,10.394309563303121,10.26615145443779,10.223023261410264,10.173408164169192,10.607045098654948,10.223023261410264,10.173408164169192,10.607045098654948
AW kernel support bw4 [uv-pixels],10.497414239723707,13.978820392801595,10.472217296140771,11.18766228937575,10.22129382862096,14.868264407802913,10.702260970569316,10.566660137861385,10.547657302467046,11.368235376088005,10.702260970569316,10.566660137861385,10.547657302467046,11.368235376088005,10.702260970569316,10.566660137861385,10.547657302467046,11.368235376088005,12.77970905735565,12.637017150849664,11.876832162846254,15.589272678353979,12.816351709654638,12.196709965997538,11.922108237743023,15.787005892935992,,,,,10.655248611206588,10.347051899986353,10.487604697402112,11.58865658233563,11.223820983678559,15.958733013860014,10.85939466033228,10.832460167170506,10.565454969093203,10.85939466033228,10.832460167170506,10.565454969093203,10.85939466033228,10.832460167170506,10.565454969093203,10.474856194241797,10.370148381212871,11.268834139013203,10.474856194241797,10.370148381212871,11.268834139013203
AW kernel support bw5 [uv-pixels],10.861061419135096,16.383052866724924,10.772106568664867,11.90674528324661,10.364425896356748,17.356323323582583,11.207991478368518,10.978798226700377,10.946536236559167,12.310407572913507,11.207991478368518,10.978798226700377,10.946536236559167,12.310407572913507,11.207991478368518,10.978798226700377,10.946536236559167,12.310407572913507,14.324332480840484,14.112283551059711,12.968449631164342,18.37909717137485,,,,,,,,,11.066059466013646,10.569454912566355,10.796926180996941,12.527721830297077,11.963138867284577,18.899576853639815,11.390806313243296,11.348139122963977,10.922192324322271,11.390806313243296,11.348139122963977,10.922192324322271,11.390806313243296,11.348139122963977,10.922192324322271,10.776364497206957,10.606953539451114,12.033227118393691,10.776364497206957,10.606953539451114,12.033227118393691
AW kernel support bw6 [uv-pixels],11.477945975606168,19.95690029931807,11.474845837447624,13.511593579418964,10.707350233013901,22.330986902386673,12.053436661708984,11.67436226518107,11.674362144678055,13.826449777976858,12.053436661708984,11.67436226518107,11.674362144678055,13.826449777976858,12.053436661708984,11.67436226518107,11.674362144678055,13.826449777976858,15.121972849282496,14.875979610133847,13.542205172757923,19.77368706712008,,,,,,,,,12.01506693906016,11.096203030855266,11.520856591959618,14.053876419020417,13.1838965137419,23.264284531127878,12.600928526001,12.524556697847729,11.75193164245462,12.600928526001,12.524556697847729,11.75193164245462,12.600928526001,12.524556697847729,11.75193164245462,11.482744662149681,11.166677704216033,13.731538863460987,11.482744662149681,11.166677704216033,13.731538863460987
AW kernel support bw7 [uv-pixels],16.05887870769481,27.703942120721507,12.26938128445559,15.226347178587195,11.106817301479808,27.16265455194789,16.750384713683026,16.750384713683026,16.750384713683026,17.422083745734085,16.750384713683026,16.750384713683026,16.750384713683026,17.422083745734085,16.750384713683026,16.750384713683026,16.750384713683026,17.422083745734085,,,,,,,,,,,,,13.069166186252822,11.700138953002687,12.338037066020728,,,,13.922684714992188,13.812147437281675,12.681279069650191,13.922684714992188,13.812147437281675,12.681279069650191,13.922684714992188,13.812147437281675,12.681279069650191,12.28117523438604,11.806687467134047,15.537669326690285,12.28117523438604,11.806687467134047,15.537669326690285
AW kernel support bw8 [uv-pixels],,,12.90441889966755,16.541854856500827,11.434239004527827,30.675986103162714,,,,,,,,,,,,,,,,,,,,,,,,,13.900165798988429,12.188396952057111,12.990338366922474,,,,14.952022878131302,14.816346427273212,13.418600623514447,14.952022878131302,14.816346427273212,13.418600623514447,14.952022878131302,14.816346427273212,13.418600623514447,12.919184820088741,12.322940156459508,16.919052658149173,12.919184820088741,12.322940156459508,16.919052658149173
AW kernel support bw9 [uv-pixels],,,13.78537313891206,18.30693698195851,11.899245497584918,35.22272609519854,,,,,,,,,,,,,,,,,,,,,,,,,15.039442534647005,12.87278590537797,13.894221534441467,,,,16.349219567030595,16.18101039918756,14.434895892018716,16.349219567030595,16.18101039918756,14.434895892018716,16.349219567030595,16.18101039918756,14.434895892018716,13.804088932805328,13.0450601120466,18.823617034861982,13.804088932805328,13.0450601120466,18.823617034861982
AW kernel support bw10 [uv-pixels],,,15.782372029801603,20.0680187473909,12.389455354280534,39.628766196874196,,,,,,,,,,,,,,,,,,,,,,,,,16.198464798768764,13.584362734168156,14.823244867391596,,,,17.757616960779924,17.558070649084755,15.4741011759786,17.757616960779924,17.558070649084755,15.4741011759786,17.757616960779924,17.558070649084755,15.4741011759786,14.714438722092877,13.794267066861153,22.839571424585518,14.714438722092877,13.794267066861153,22.839571424585518
AW kernel support bw11 [uv-pixels],,,18.158599035158165,21.815521951007124,12.898807945851656,43.911442924650075,,,,,,,,,,,,,,,,,,,,,,,,,17.366140044997675,14.314546238872651,15.76715594248046,,,,19.16618478132939,18.93643946849529,16.525445724549776,19.16618478132939,18.93643946849529,16.525445724549776,19.16618478132939,18.93643946849529,16.525445724549776,15.640091408933312,14.561629516446402,27.396267153570747,15.640091408933312,14.561629516446402,27.396267153570747
"W kernel support bw, ff0 [pixels]",80.42276051261928,83.85439746541938,80.34354686998607,80.88968947428911,80.15936947104876,84.17690157670084,80.60182125759853,80.48296193926758,80.46640781909043,81.2041745633567,80.60182125759853,80.48296193926758,80.46640781909043,81.2041745633567,80.60182125759853,80.48296193926758,80.46640781909043,81.2041745633567,82.21552632125687,82.09058169007398,81.44509950588144,84.90972933693459,82.24780270046406,81.71255187285865,81.48258549986888,85.1155235351078,84.75857280827987,81.9689825435694,81.83238696717981,121.81004712359406,80.48029839530001,80.25120137371574,80.35496507391268,81.20937957305665,80.91811797631804,85.29591190526111,80.63523341304446,80.61464625605704,80.41295443322727,80.63523341304446,80.61464625605704,80.41295443322727,80.63523341304446,80.61464625605704,80.41295443322727,80.34550403959335,80.26817034754866,80.95361868316265,80.34550403959335,80.26817034754866,80.95361868316265
"W kernel support bw, ff1 [pixels]",80.73653272917723,86.62235435293779,80.63053550478185,81.62885750310451,80.29272648085356,87.53417677749694,81.04774004447276,80.84121440408676,80.81243436049589,82.09121855776156,81.04774004447276,80.84121440408676,80.81243436049589,82.09121855776156,81.04774004447276,80.84121440408676,80.81243436049589,82.09121855776156,84.03139101124813,83.80622184047911,82.63888786403639,88.8283270208474,84.08951692724474,83.12340316471554,82.70686931958402,89.1904027319288,88.56200821706062,83.58683821174048,83.34011024816033,148.21931771916564,80.88099021716438,80.46122991836208,80.65145961546934,82.21086364986814,81.6806832545041,89.507302574101,81.16436095538424,81.12673150161037,80.75769231615126,81.16436095538424,81.12673150161037,80.75769231615126,81.16436095538424,81.12673150161037,80.75769231615126,80.63412221759285,80.49235138635578,81.74538234186676,80.63412221759285,80.49235138635578,81.74538234186676
"W kernel support bw, ff2 [pixels]",81.30246514291042,91.43468605522796,80.9694120773412,82.49680732351597,80.45048469165775,91.35909496297509,81.85033150171378,81.48691779810326,81.43622311339193,83.67667082759732,81.85033150171378,81.48691779810326,81.43622311339193,83.67667082759732,81.85033150171378,81.48691779810326,81.43622311339193,83.67667082759732,86.13613209009335,85.79713550570948,84.03288440490965,93.26661037200068,86.22357444083487,84.7665627062491,84.13594790080718,93.79831996988207,92.87497843547159,85.46644699885368,85.09406136623036,174.52271846242706,81.35346695664713,80.70946349815054,81.00152009656995,83.38304586801435,82.57584815479821,94.26300217940378,81.78729259563697,81.72972680736045,81.16447118968043,81.78729259563697,81.72972680736045,81.16447118968043,81.78729259563697,81.72972680736045,81.16447118968043,80.97491617229458,80.7572667055084,82.67448816413001,80.97491617229458,80.7572667055084,82.67448816413001
"W kernel support bw, ff3 [pixels]",82.26780780053416,99.18705584608567,81.77415844525888,84.53738272751414,80.82641481041607,99.92812385233464,83.21440269991284,82.58698156145407,82.49930912352907,86.3400194032385,83.21440269991284,82.58698156145407,82.49930912352907,86.3400194032385,83.21440269991284,82.58698156145407,82.49930912352907,86.3400194032385,90.97763720925718,90.38553532272745,87.27894597432385,103.1262266510295,91.13012479138489,88.57609337289526,87.46162822335317,104.0117618738961,102.47237386285833,89.80648731935376,89.15266922045552,225.54262243154028,82.47261133878038,81.29997911832797,81.8326471974942,86.12349573201766,84.67934087406634,104.7836503331881,83.2585904406638,83.15447650642497,82.12921163550232,83.2585904406638,83.15447650642497,82.12921163550232,83.2585904406638,83.15447650642497,82.12921163550232,81.78418609128211,81.38726531335354,84.85636078923959,81.78418609128211,81.38726531335354,84.85636078923959
