Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"W kernel support bw, ff4 [pixels]",83.97931391778965,111.83056314241276,83.77773836912617,89.501298315006,81.77035062896768,118.9461152624233,85.61808776455453,84.53328110289108,84.38125841973637,90.94588300870404,85.61808776455453,84.53328110289108,84.38125841973637,90.94588300870404,85.61808776455453,84.53328110289108,84.38125841973637,90.94588300870404,102.2376724588452,101.09613720679731,95.01465730277003,124.71418142683183,102.5308136772371,97.5736797279803,95.37686590194419,126.29604714348794,,,,,85.2419888896527,82.77641519989082,83.9008375792169,92.70925265868505,89.79056786942847,127.66986411088011,86.87515728265824,86.65968133736405,84.52363975274562,86.87515728265824,86.65968133736405,84.52363975274562,86.87515728265824,86.65968133736405,84.52363975274562,83.79884955393437,82.96118704970297,90.15067311210562,83.79884955393437,82.96118704970297,90.15067311210562
"W kernel support bw, ff5 [pixels]",86.88849135308077,131.0644229337994,86.17685254931894,95.25396226597287,82.91540717085398,138.85058658866066,89.66393182694814,87.83038581360302,87.57228989247334,98.48326058330805,89.66393182694814,87.83038581360302,87.57228989247334,98.48326058330805,89.66393182694814,87.83038581360302,87.57228989247334,98.48326058330805,114.59465984672387,112.89826840847769,103.74759704931473,147.0327773709988,,,,,,,,,88.52847572810917,84.55563930053084,86.37540944797553,100.22177464237662,95.70511093827662,151.19661482911852,91.12645050594637,90.78511298371181,87.37753859457817,91.12645050594637,90.78511298371181,87.37753859457817,91.12645050594637,90.78511298371181,87.37753859457817,86.21091597765566,84.85562831560891,96.26581694714953,86.21091597765566,84.85562831560891,96.26581694714953
"W kernel support bw, ff6 [pixels]",91.82356780484935,159.65520239454457,91.798766699581,108.09274863535171,85.65880186411121,178.64789521909339,96.42749329367187,93.39489812144856,93.39489715742444,110.61159822381487,96.42749329367187,93.39489812144856,93.39489715742444,110.61159822381487,96.42749329367187,93.39489812144856,93.39489715742444,110.61159822381487,120.97578279425997,119.00783688107077,108.33764138206338,158.18949653696063,,,,,,,,,96.12053551248128,88.76962424684213,92.16685273567694,112.43101135216334,105.4711721099352,186.11427624902302,100.807428208008,100.19645358278183,94.01545313963696,100.807428208008,100.19645358278183,94.01545313963696,100.807428208008,100.19645358278183,94.01545313963696,91.86195729719745,89.33342163372826,109.8523109076879,91.86195729719745,89.33342163372826,109.8523109076879
"W kernel support bw, ff7 [pixels]",128.47102966155848,221.63153696577206,98.15505027564473,121.81077742869756,88.85453841183846,217.30123641558313,134.0030777094642,134.0030777094642,134.0030777094642,139.37666996587268,134.0030777094642,134.0030777094642,134.0030777094642,139.37666996587268,134.0030777094642,134.0030777094642,134.0030777094642,139.37666996587268,,,,,,,,,,,,,104.55332949002258,93.6011116240215,98.70429652816583,,,,111.38147771993751,110.4971794982534,101.45023255720153,111.38147771993751,110.4971794982534,101.45023255720153,111.38147771993751,110.4971794982534,101.45023255720153,98.24940187508832,94.45349973707238,124.30135461352228,98.24940187508832,94.45349973707238,124.30135461352228
"W kernel support bw, ff8 [pixels]",,,103.2353511973404,132.3348388520066,91.47391203622261,245.4078888253017,,,,,,,,,,,,,,,,,,,,,,,,,111.20132639190743,97.50717561645689,103.9227069353798,,,,119.61618302505042,118.5307714181857,107.34880498811557,119.61618302505042,118.5307714181857,107.34880498811557,119.61618302505042,118.5307714181857,107.34880498811557,103.35347856070993,98.58352125167606,135.35242126519339,103.35347856070993,98.58352125167606,135.35242126519339
"W kernel support bw, ff9 [pixels]",,,110.28298511129648,146.4554958556681,95.19396398067934,281.7818087615883,,,,,,,,,,,,,,,,,,,,,,,,,120.31554027717604,102.98228724302376,111.15377227553174,,,,130.79375653624476,129.44808319350048,115.47916713614973,130.79375653624476,129.44808319350048,115.47916713614973,130.79375653624476,129.44808319350048,115.47916713614973,110.43271146244263,104.3604808963728,150.58893627889586,110.43271146244263,104.3604808963728,150.58893627889586
"W kernel support bw, ff10 [pixels]",,,126.25897623841283,160.5441499791272,99.11564283424427,317.03012957499357,,,,,,,,,,,,,,,,,,,,,,,,,129.58771839015012,108.67490187334525,118.58595893913277,,,,142.0609356862394,140.46456519267804,123.7928094078288,142.0609356862394,140.46456519267804,123.7928094078288,142.0609356862394,140.46456519267804,123.7928094078288,117.71550977674302,110.35413653488922,182.71657139668415,117.71550977674302,110.35413653488922,182.71657139668415
"W kernel support bw, ff11 [pixels]",,,145.26879228126532,174.524175608057,103.19046356681325,351.2915433972006,,,,,,,,,,,,,,,,,,,,,,,,,138.9291203599814,114.51636991098121,126.13724753984368,,,,153.32947825063513,151.49151574796232,132.2035657963982,153.32947825063513,151.49151574796232,132.2035657963982,153.32947825063513,151.49151574796232,132.2035657963982,125.1207312714665,116.49303613157122,219.17013722856598,125.1207312714665,116.49303613157122,219.17013722856598
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],7.454023450617133,19.752554594303994,9.369991249919998,18.739982499839996,9.369991249919998,18.739982499839996,21.233680393016744,10.616840196508372,21.233680393016744,15.285619380493202,21.233680393016744,10.616840196508372,21.233680393016744,15.285619380493202,21.233680393016744,10.616840196508372,21.233680393016744,15.285619380493202,0.5761538004559678,0.2880769002279839,0.5761538004559678,0.38888103019801096,0.2610286591691046,0.1305143295845523,0.003889747964734741,0.19448739823673705,0.05034206869897554,0.02517103434948777,0.05034206869897554,0.03904439769593733,9.217020112932722,4.608510056466361,9.217020112932722,0.04229853376521084,0.02114926688260542,0.04229853376521084,18.739982499839996,9.369991249919998,18.739982499839996,18.739982499839996,9.369991249919998,18.739982499839996,18.739982499839996,9.369991249919998,18.739982499839996,18.739982499839996,9.369991249919998,18.739982499839996,18.739982499839996,9.369991249919998,18.739982499839996
Working (cache) memory [TeraBytes],170.19426155941463,27222.690950801712,91.25525818605607,1314.781218119347,19.824662293525453,13991.910657796887,354.4036052815759,296.3984045940683,293.39217594256996,377.9419232387136,354.4036052815759,296.3984045940683,293.39217594256996,377.9419232387136,354.4036052815759,296.3984045940683,293.39217594256996,377.9419232387136,11.521333536074666,12.654115266896872,7.304516221967271,100.6855194424338,5.808022412267602,3.7602249716398184,0.23929416302218215,79.62820286713807,4.375178172074019,0.6571635420064966,0.736424853770796,447.11778153829454,40.24759328686423,15.133382546749331,33.994410237764455,28.143331736438554,18.539064141055707,1127.1872156159502,124.22546460905122,141.82194887304678,77.75073269012304,124.22546460905122,141.82194887304678,77.75073269012304,124.22546460905122,141.82194887304678,77.75073269012304,62.015120743665555,42.316237864129526,992.4239933771853,62.015120743665555,42.316237864129526,992.4239933771853
Visibility I/O Rate [TeraBytes/s],4.14112413923174,10.973641441279998,5.205550694399998,10.411101388799995,5.205550694399998,10.411101388799995,9.830407589359602,5.898244553615761,11.796489107231523,8.492010766940668,9.830407589359602,5.898244553615761,11.796489107231523,8.492010766940668,9.830407589359602,5.898244553615761,11.796489107231523,8.492010766940668,0.26673787058146653,0.16004272234887992,0.32008544469775985,0.21604501677667273,0.12084660146717807,0.07250796088030684,0.0021609710915193006,0.10804855457596504,0.031781609027131015,0.01906896541627861,0.03813793083255722,0.02957908916358888,4.267138941172557,2.560283364703534,5.120566729407068,0.9552514400454118,0.573150864027247,1.146301728054494,8.675917823999997,5.205550694399998,10.411101388799995,8.675917823999997,5.205550694399998,10.411101388799995,8.675917823999997,5.205550694399998,10.411101388799995,8.675917823999997,5.205550694399998,10.411101388799995,8.675917823999997,5.205550694399998,10.411101388799995
Inter-Facet I/O Rate [TeraBytes/s],0.038603435212410296,0.48199869114474175,0.9061520835725345,16.292341001100034,0.8309125313640159,10.374692054464283,0.0012615462655638924,0.0015418898801336464,0.03854724700334116,0.015863064610428464,0.0012615462655638924,0.0015418898801336464,0.03854724700334116,0.015863064610428464,0.0012615462655638924,0.0015418898801336464,0.03854724700334116,0.015863064610428464,0.0017606813912709417,0.0021519439226644847,0.05379859806661211,0.04723059363872666,0.018578378884138613,0.0009082763010023322,0.0009082763010023322,0.30303286369033533,0.008405263953632686,0.00041092401551093136,0.006163860232663971,0.09033910731448663,0.024655440930655886,0.030134427804134976,0.7533606951033743,0.13920190227335072,0.17013565833409533,2.953744068300266,0.727677944133941,0.03557536615765934,1.245137815518077,0.02910711776535764,0.03557536615765934,1.245137815518077,0.02910711776535764,0.03557536615765934,1.245137815518077,0.0269057391108348,0.03288479224657587,1.1418330641172174,0.0269057391108348,0.03288479224657587,1.1418330641172174
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOPS],12.143046046210745,20.082672833672035,19.55395443082775,36.398360635151995,15.126557785801985,23.015406188907455,14.600342951428821,15.669639667399935,16.690581027364527,13.947525136574349,14.600342951428821,15.669639667399935,16.690581027364527,13.947525136574349,14.600342951428821,15.669639667399935,16.690581027364527,13.947525136574349,0.45018130629762937,0.49952739497944776,0.5469556917143726,0.6235517545332379,0.21941624815810032,0.24095984571688572,0.015207472530131367,0.4010750684416474,0.0683302522527774,0.07147216167528232,0.07991145609854182,0.12259544428939916,5.873161093480311,7.398445077611428,7.171360918519135,2.566490334975067,1.7102506491416447,2.8620969310625077,12.812704396174459,14.112515529145828,15.243882314331094,12.812704396174459,14.112515529145828,15.243882314331094,12.812704396174459,14.112515529145828,15.243882314331094,11.954718959810291,13.66191633777191,14.609372970380395,11.954718959810291,13.66191633777191,14.609372970380395
-> Subtract Visibility [PetaFLOPS],0.0012653434869874763,0.003353057107057777,0.0015905849343999998,0.0031811698687999996,0.0015905849343999998,0.0031811698687999996,0.002949122276807881,0.0018022413913825937,0.0036044827827651873,0.002594781067676315,0.002949122276807881,0.0018022413913825937,0.0036044827827651873,0.002594781067676315,0.002949122276807881,0.0018022413913825937,0.0036044827827651873,0.002594781067676315,8.002136117443998e-05,4.890194293993553e-05,9.780388587987106e-05,6.601375512620556e-05,3.625398044015342e-05,2.2155210268982643e-05,6.602967224086752e-07,3.3014836120433766e-05,9.534482708139306e-06,5.826628321640686e-06,1.1653256643281373e-05,9.038055022207714e-06,0.0012801416823517672,0.0007823088058816354,0.0015646176117632708,0.0002865754320136235,0.00017512943067499217,0.00035025886134998433,0.0026027753471999995,0.0015905849343999998,0.0031811698687999996,0.0026027753471999995,0.0015905849343999998,0.0031811698687999996,0.0026027753471999995,0.0015905849343999998,0.0031811698687999996,0.0026027753471999995,0.0015905849343999998,0.0031811698687999996,0.0026027753471999995,0.0015905849343999998,0.0031811698687999996
-> FFT [PetaFLOPS],0.03927209016775085,1.729482427031356,0.4344074693870548,3.895527974459792,0.10276629941423106,2.228866066842945,0.022158168240944288,0.015684816004626127,0.03210874790369732,0.40064433651108805,0.022158168240944288,0.015684816004626127,0.03210874790369732,0.40064433651108805,0.022158168240944288,0.015684816004626127,0.03210874790369732,0.40064433651108805,0.0016223840475100633,0.0015126889779287925,0.0038780916176961774,0.06391891265846926,0.0006397807747976615,0.00046954224546589103,0.0005089871881182737,0.02459593944221319,0.00031853331337706027,0.00012050014365845823,0.00040518978997295947,0.01236538086226357,0.013244206081388743,0.06236697765408642,0.03610391833255655,0.004347027977464752,0.003194977427348891,0.026932912917497515,0.05272972189417425,0.048217016526963724,0.12577089506561306,0.05272972189417425,0.048217016526963724,0.12577089506561306,0.05272972189417425,0.048217016526963724,0.12577089506561306,0.024077831052551422,0.017424135725056383,0.1273684906238659,0.024077831052551422,0.017424135725056383,0.1273684906238659
-> Solve [PetaFLOPS],,,,,,,0.7964876350910112,,,,0.7964876350910112,,,,0.7964876350910112,,,,0.0037426551521417867,,,,0.0027023416771488843,,,,0.0009691852687975754,,,,0.09541753349650654,,,1.0419691487833234,,,0.19400218366604205,,,0.19400218366604205,,,0.19400218366604205,,,0.19400218366604205,,,0.19400218366604205,,
-> DFT [PetaFLOPS],10.237748056805236,13.564598954812304,13.060666196904227,13.060666196904227,13.060666196904227,13.060666196904227,11.93050391817038,14.581727011097133,14.581727011097133,10.497037012725832,11.93050391817038,14.581727011097133,14.581727011097133,10.497037012725832,11.93050391817038,14.581727011097133,14.581727011097133,10.497037012725832,0.37846547077922627,0.4625689087301654,0.4625689087301654,0.31221572021601895,0.1823688684865801,0.22289528370582012,0.0033214991752380948,0.16607495876190476,0.05255905674438607,0.06423884713202742,0.06423884713202742,0.04982248762857142,5.255771897602804,6.423721208181204,6.423721208181204,1.312030940271153,1.6035933714425203,1.6035933714425203,10.685999615648914,13.060666196904227,13.060666196904227,10.685999615648914,13.060666196904227,13.060666196904227,10.685999615648914,13.060666196904227,13.060666196904227,10.685999615648914,13.060666196904227,13.060666196904227,10.685999615648914,13.060666196904227,13.060666196904227
-> Flag [PetaFLOPS],0.044128854108688234,0.11693786660863997,0.055471649587199995,0.11094329917439999,0.055471649587199995,0.11094329917439999,0.10285063940367484,0.06285316852446796,0.1257063370489359,0.09049298973521148,0.10285063940367484,0.06285316852446796,0.1257063370489359,0.09049298973521148,0.10285063940367484,0.06285316852446796,0.1257063370489359,0.09049298973521148,0.0027907449709585934,0.0017054552600302515,0.003410910520060503,0.002302229710026419,0.0012643575678503503,0.0007726629581307696,2.3027848194002547e-05,0.0011513924097001273,0.0003325150844463583,0.00020320366271721896,0.00040640732543443793,0.000315202168899494,0.04464494117201787,0.027283019605122034,0.05456603921024407,0.00999431819147512,0.0061076388947903515,0.012215277789580703,0.09077179023359998,0.055471649587199995,0.11094329917439999,0.09077179023359998,0.055471649587199995,0.11094329917439999,0.09077179023359998,0.055471649587199995,0.11094329917439999,0.09077179023359998,0.055471649587199995,0.11094329917439999,0.09077179023359998,0.055471649587199995,0.11094329917439999
-> Degrid [PetaFLOPS],0.5209633621549687,0.8161816157719448,1.7638249040422351,4.874410951472676,0.5935712493477034,1.3369902700761425,0.2598483817551449,0.1527417653076379,0.3047288527125437,0.35429997067070446,0.2598483817551449,0.1527417653076379,0.3047288527125437,0.35429997067070446,0.2598483817551449,0.1527417653076379,0.3047288527125437,0.35429997067070446,0.012130759406209673,0.007214650809069332,0.014001407001022717,0.07274575073249884,0.007377279044411395,0.003705033156377382,0.001540569294196676,0.03959435503239091,0.0030061023507434296,0.0014807910395873765,0.002943408301486713,0.006922184420812733,0.10257322423638807,0.2523596006366007,0.1121768026739277,0.03871081692178543,0.021679798347809275,0.07263756158030135,0.3528015233287714,0.21215467617349598,0.35883472329346444,0.3528015233287714,0.21215467617349598,0.35883472329346444,0.3528015233287714,0.21215467617349598,0.35883472329346444,0.2302957948548374,0.1303074355277625,0.31226737297883433,0.2302957948548374,0.1303074355277625,0.31226737297883433
-> Phase Rotation [PetaFLOPS],0.06326717434937382,0.0,0.24355831807999997,0.6362339737599999,0.07952924671999999,0.0,0.1474561138403941,0.09011206956912969,0.18022413913825938,0.29191287011358547,0.1474561138403941,0.09011206956912969,0.18022413913825938,0.29191287011358547,0.1474561138403941,0.09011206956912969,0.18022413913825938,0.29191287011358547,0.009002403132124496,0.003820464292182464,0.007640928584364928,0.007426547451698127,0.0028323422218869856,0.001730875802264269,0.0001011079356188284,0.0016507418060216883,0.00026815732616641797,0.0004552053376281786,0.0005826628321640686,0.0,0.06400708411758836,0.039115440294081774,0.044004870330841994,0.02238870562606434,0.013681986771483764,0.0,0.29281222656,0.12426444799999999,0.24852889599999997,0.29281222656,0.12426444799999999,0.24852889599999997,0.29281222656,0.12426444799999999,0.24852889599999997,0.13013876736,0.07952924671999999,0.0,0.13013876736,0.07952924671999999,0.0
-> Image Spectral Fitting [PetaFLOPS],,,,,,,,1.0707568612039217e-05,,,,1.0707568612039217e-05,,,,1.0707568612039217e-05,,,,7.47202750925168e-06,,,,3.1537371562580965e-06,,,,1.4268194983018451e-06,,,,,,,0.0005907488136600532,,,0.00012352557693631714,,,0.00012352557693631714,,,0.00012352557693631714,,,0.00011418330641172177,,,0.00011418330641172177,
-> IFFT [PetaFLOPS],0.03927209016775085,0.0026389807541372014,0.4344074693870548,0.005944103964934985,0.10276629941423106,0.003400979716252052,0.11079084120472144,0.07842408002313062,0.03210874790369732,0.0006113347419907961,0.11079084120472144,0.07842408002313062,0.03210874790369732,0.0006113347419907961,0.11079084120472144,0.07842408002313062,0.03210874790369732,0.0006113347419907961,0.008111920237550318,0.007563444889643962,0.0038780916176961774,9.753252053599433e-05,0.0031989038739883074,0.0023477112273294558,0.0005089871881182737,3.75304251742755e-05,0.0015926665668853012,0.000602500718292291,0.00040518978997295947,1.8868073825475423e-05,0.06622103040694372,0.06236697765408642,0.03610391833255655,0.021735139887323764,0.015974887136744456,0.026932912917497515,0.2636486094708712,0.24108508263481856,0.12577089506561306,0.2636486094708712,0.24108508263481856,0.12577089506561306,0.2636486094708712,0.24108508263481856,0.12577089506561306,0.12038915526275709,0.0871206786252819,0.1273684906238659,0.12038915526275709,0.0871206786252819,0.1273684906238659
-> Gridding Kernel Update [PetaFLOPS],0.07648303022611311,0.6412199179259992,0.010013741259020464,0.04728675960807728,0.0038577192053099877,0.06719226372848187,0.1862766437960382,0.11082101041189422,0.2211019982808827,0.5072312259518214,0.1862766437960382,0.11082101041189422,0.2211019982808827,0.5072312259518214,0.1862766437960382,0.11082101041189422,0.2211019982808827,0.5072312259518214,0.0027494084567371954,0.0016518930104140832,0.0030245329101054076,0.008692393084074244,0.002843384861557533,0.0016540979333427208,0.003238715144801403,0.0027178251765493915,0.0022440431697997236,0.0011768736467226534,0.0023358496534224807,0.003326654827891076,0.0028986591761245933,0.001587385665697663,0.0033356961541110685,0.005755955140712355,0.0033326482564227182,0.014177294194047674,0.009089729554392353,0.00550011148980231,0.009982155967473063,0.009089729554392353,0.00550011148980231,0.009982155967473063,0.009089729554392353,0.00550011148980231,0.009982155967473063,0.006735273154603658,0.00396700372068091,0.011087258283724834,0.006735273154603658,0.00396700372068091,0.011087258283724834
-> Degridding Kernel Update [PetaFLOPS],0.07648303022611311,0.6412199179259992,0.010013741259020464,0.04728675960807728,0.0038577192053099877,0.06719226372848187,0.1862766437960382,0.11082101041189422,0.2211019982808827,0.5072312259518214,0.1862766437960382,0.11082101041189422,0.2211019982808827,0.5072312259518214,0.1862766437960382,0.11082101041189422,0.2211019982808827,0.5072312259518214,0.0027494084567371954,0.0016518930104140832,0.0030245329101054076,0.008692393084074244,0.002843384861557533,0.0016540979333427208,0.003238715144801403,0.0027178251765493915,0.0022440431697997236,0.0011768736467226534,0.0023358496534224807,0.003326654827891076,0.0028986591761245933,0.001587385665697663,0.0033356961541110685,0.005755955140712355,0.0033326482564227182,0.014177294194047674,0.009089729554392353,0.00550011148980231,0.009982155967473063,0.009089729554392353,0.00550011148980231,0.009982155967473063,0.009089729554392353,0.00550011148980231,0.009982155967473063,0.006735273154603658,0.00396700372068091,0.011087258283724834,0.006735273154603658,0.00396700372068091,0.011087258283724834
-> Grid [PetaFLOPS],0.5209633621549687,0.8161816157719448,1.7638249040422351,4.874410951472676,0.5935712493477034,1.3369902700761425,0.2598483817551449,0.1527417653076379,0.3047288527125437,0.35429997067070446,0.2598483817551449,0.1527417653076379,0.3047288527125437,0.35429997067070446,0.2598483817551449,0.1527417653076379,0.3047288527125437,0.35429997067070446,0.012130759406209673,0.007214650809069332,0.014001407001022717,0.07274575073249884,0.007377279044411395,0.003705033156377382,0.001540569294196676,0.03959435503239091,0.0030061023507434296,0.0014807910395873765,0.002943408301486713,0.006922184420812733,0.10257322423638807,0.2523596006366007,0.1121768026739277,0.03871081692178543,0.021679798347809275,0.07263756158030135,0.3528015233287714,0.21215467617349598,0.35883472329346444,0.3528015233287714,0.21215467617349598,0.35883472329346444,0.3528015233287714,0.21215467617349598,0.35883472329346444,0.2302957948548374,0.1303074355277625,0.31226737297883433,0.2302957948548374,0.1303074355277625,0.31226737297883433
-> Reprojection Predict [PetaFLOPS],0.027504761701595687,0.0018097157883008377,0.27585965007534197,0.0042091674782103175,0.06231192828889033,0.0020248456678803716,0.07759963706708,0.00274647257884311,0.02248946895710631,0.0004986695714885423,0.07759963706708,0.00274647257884311,0.02248946895710631,0.0004986695714885423,0.07759963706708,0.00274647257884311,0.02248946895710631,0.0004986695714885423,0.005822198204179511,0.0002663976638086818,0.0027318624305833357,7.802735538135625e-05,0.0023567168249401813,8.648103799771309e-05,0.00038889210280896886,3.064329438674754e-05,0.0011784726715084,2.35762560637544e-05,0.0003093139324276711,1.4347514703004255e-05,0.04032566960242704,0.037978722462115685,0.021443717229936078,0.014944286183156852,0.0005491873674444874,0.016221707385836302,0.16523137981136302,0.00743201478496674,0.07754367391216918,0.16523137981136302,0.00743201478496674,0.07754367391216918,0.16523137981136302,0.00743201478496674,0.07754367391216918,0.07303145754089035,0.0026424930584773823,0.06990000894375527,0.07303145754089035,0.0026424930584773823,0.06990000894375527
-> Identify Component [PetaFLOPS],1.28678117374701e-05,0.1606662303815806,0.00030205069452417824,5.430780333700013,0.0002769708437880053,3.4582306848214284,0.0004205154218546309,2.5698164668894108e-05,0.025698164668894106,0.010575376406952311,0.0004205154218546309,2.5698164668894108e-05,0.025698164668894106,0.010575376406952311,0.0004205154218546309,2.5698164668894108e-05,0.025698164668894106,0.010575376406952311,0.00029344689854515706,1.793286602220404e-05,0.017932866022204036,0.01574353121290889,0.00012385585922759077,7.568969175019435e-06,0.0003027587670007774,0.10101095456344512,5.603509302421792e-05,3.424366795924429e-06,0.002054620077554657,0.030113035771495548,0.004109240155109316,0.00025112023170112483,0.2511202317011248,0.023200317045558454,0.001417797152784128,0.9845813561000887,0.004851186294226275,0.00029646138464716116,0.4150459385060256,0.004851186294226275,0.00029646138464716116,0.4150459385060256,0.004851186294226275,0.00029646138464716116,0.4150459385060256,0.004484289851805801,0.00027403993538813225,0.3806110213724058,0.004484289851805801,0.00027403993538813225,0.3806110213724058
-> Source Find [PetaFLOPS],,,,,,,2.5e-12,,,,2.5e-12,,,,2.5e-12,,,,2.5e-12,,,,2.5e-12,,,,3.409090909090909e-12,,,,2.5e-12,,,1.219512195121951e-10,,,2.5e-12,,,2.5e-12,,,2.5e-12,,,2.5e-12,,,2.5e-12,,
-> Reprojection [PetaFLOPS],0.027504761701595687,1.186015339020837,0.27585965007534197,2.7585199985199136,0.06231192828889033,1.3270028569020806,0.015519927413416,0.00274647257884311,0.02248946895710631,0.3268080903707311,0.015519927413416,0.00274647257884311,0.02248946895710631,0.3268080903707311,0.015519927413416,0.00274647257884311,0.02248946895710631,0.3268080903707311,0.001164439640835902,0.0002663976638086818,0.0027318624305833357,0.05113600762272562,0.00047134336498803615,8.648103799771309e-05,0.00038889210280896886,0.020082389409298868,0.00023569453430168002,2.35762560637544e-05,0.0003093139324276711,0.009402787235760867,0.008065133920485407,0.037978722462115685,0.021443717229936078,0.0029888572366313705,0.0005491873674444874,0.016221707385836302,0.03304627596227261,0.00743201478496674,0.07754367391216918,0.03304627596227261,0.00743201478496674,0.07754367391216918,0.03304627596227261,0.00743201478496674,0.07754367391216918,0.014606291508178068,0.0026424930584773823,0.06990000894375527,0.014606291508178068,0.0026424930584773823,0.06990000894375527
