,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],SinglePulse (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],SinglePulse (Mid1) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],SinglePulse (Mid2) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],SinglePulse (Mid5a) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],SinglePulse (Mid5b) []
W kernel support bw2 [uv-pixels],,8.501936139686457,1.3836854797576588,8.501936139688794,3.528459957917339,3.7629388967126993,2.7235926476395056,9.489765063065509,,,,,,6.111808024213434,0.8202053221926541,6.111808024213434,7.163372693468617,7.163372693468617,6.216371025695108,4.6443996627123365,,,,,,4.451298585562289,0.4099969158641679,4.451298585562289,3.5735223925939605,3.5735223925939605,10.428781078481467,3.5735223925939605,,,,,,2.2546920591384514,0.12553451036887592,2.2546920591384514,4.330260771504332,4.330260771504332,4.330260771504332,4.330260771504332,,,,,,1.4469432867746805,0.08062042673204611,1.4469432867746805,2.77765228234512,2.77765228234512,2.77765228234512,2.77765228234512,,,,
W kernel support bw3 [uv-pixels],,8.501936139686457,3.923139052367293,8.501936139688794,3.528459957917339,3.7629388967126993,2.7235926476395056,9.489765063065509,,,,,,7.8475943679822135,1.5081053989072117,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,6.302663829118035,,,,,,6.040415614112892,0.7536199653627027,6.040415614112892,4.848504693355929,4.848504693355929,10.428781078481467,4.848504693355929,,,,,,3.0583177025329773,0.23067840457149283,3.0583177025329773,5.876043008222311,5.876043008222311,5.876043008222311,5.876043008222311,,,,,,1.962292691935992,0.14813633609216081,1.962292691935992,3.768091804420333,3.768091804420333,3.768091804420333,3.768091804420333,,,,
W kernel support bw4 [uv-pixels],,8.501936139686457,8.205728524520316,8.501936139688794,3.528459957917339,3.7629388967126993,2.7235926476395056,9.489765063065509,,,,,,7.8475943679822135,3.2504789400702174,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,9.262802364061876,,,,,,8.58889161592807,1.6232843182302834,8.588891862435416,6.492624085049131,7.123522881883419,10.428781078481467,7.123522881883419,,,,,,4.491450032959311,0.4965851642461371,4.491450032959311,6.9188142710287925,8.63507185423321,6.684684238174918,8.63507185423321,,,,,,2.8809548455978606,0.3188554696157827,2.8809548455978606,5.534796000900343,5.534796000900343,5.534796000900343,5.534796000900343,,,,
W kernel support bw5 [uv-pixels],,,,,,,,,,,,,,7.8475943679822135,5.393608468909343,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,11.940214119480448,,,,,,8.58889161592807,2.691873882371467,8.588891862435416,6.492624085049131,7.8224100795180025,10.428781078481467,9.180335103804005,,,,,,5.786317549875458,0.8229989122858455,5.786317549875458,6.9188142710287925,9.40631683636324,6.684684238174918,11.130267126418932,,,,,,3.710614279084804,0.528378279158603,3.710614279084804,5.85904951060353,7.131467981559711,5.710686737665537,7.131467981559711,,,,
W kernel support bw6 [uv-pixels],,,,,,,,,,,,,,7.8475943679822135,10.660900155535016,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,16.800871140533815,,,,,,8.58889161592807,5.314100760990074,8.588891862435416,6.492624085049131,7.8224100795180025,10.428781078481467,12.912369072481756,,,,,,8.134085236082857,1.6228094745009816,8.134085236082857,6.9188142710287925,9.40631683636324,6.684684238174918,15.659446201481165,,,,,,5.2140947301748515,1.0416087933038898,5.2140947301748515,5.85904951060353,8.067265779006936,5.710686737665537,10.027340413163909,,,,
W kernel support bw7 [uv-pixels],,,,,,,,,,,,,,7.8475943679822135,17.03351628909619,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,21.24529140061068,,,,,,8.58889161592807,8.480213015296309,8.588891862435416,6.492624085049131,7.8224100795180025,10.428781078481467,16.322818562999526,,,,,,8.249662373534893,2.5866690447013077,8.249662073180733,6.9188142710287925,9.40631683636324,6.684684238174918,19.80008812213751,,,,,,6.586074491783982,1.6598534596090089,6.586074491783982,5.85904951060353,8.067265779006936,5.710686737665537,12.672410668077884,,,,
W kernel support bw8 [uv-pixels],,,,,,,,,,,,,,7.8475943679822135,22.44743282430419,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,24.39209734411145,,,,,,8.58889161592807,11.165363531776867,8.588891862435416,6.492624085049131,7.8224100795180025,10.428781078481467,18.7364831957098,,,,,,8.249662373534893,3.4027597844980835,8.249662073180733,6.9188142710287925,9.40631683636324,6.684684238174918,22.731446251213505,,,,,,7.55603033361172,2.1831282546173116,7.55603033361172,5.85904951060353,8.067265779006936,5.710686737665537,14.54372574692622,,,,
W kernel support bw9 [uv-pixels],,,,,,,,,,,,,,7.8475943679822135,30.43248936861374,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,28.40121902787935,,,,,,8.58889161592807,15.11890512826173,8.588891862435416,6.492624085049131,7.8224100795180025,10.428781078481467,21.810381301496964,,,,,,8.249662373534893,4.602359840993516,8.249662073180733,6.9188142710287925,9.40631683636324,6.684684238174918,26.4656756883725,,,,,,8.79015159616991,2.952031276752738,8.79015159616991,5.85904951060353,8.067265779006936,5.710686737665537,16.926168000196103,,,,
W kernel support bw10 [uv-pixels],,,,,,,,,,,,,,7.8475943679822135,39.22829705160301,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,32.24108425855545,,,,,,8.58889161592807,19.465459182410857,8.588891862435416,6.492624085049131,7.8224100795180025,10.428781078481467,24.75333489827911,,,,,,8.249662373534893,5.918746810620289,8.249662073180733,6.9188142710287925,9.40631683636324,6.684684238174918,30.041851775744888,,,,,,9.970551825885558,3.7954470351402536,9.970551825885558,5.85904951060353,8.067265779006936,5.710686737665537,19.206374007854205,,,,
W kernel support bw11 [uv-pixels],,,,,,,,,,,,,,7.8475943679822135,48.780679467933005,7.847594368954221,7.241139980028041,8.484904977187504,6.216371025695108,35.94424456940778,,,,,,8.58889161592807,24.17691864738486,8.588891862435416,6.492624085049131,7.8224100795180025,10.428781078481467,27.590486444019444,,,,,,8.249662373534893,7.343007665523399,8.249662073180733,6.9188142710287925,9.40631683636324,6.684684238174918,33.49035769338449,,,,,,11.107504741132322,4.707608175976057,11.107504741132322,5.85904951060353,8.067265779006936,5.710686737665537,21.403947472487673,,,,
AW kernel support bw0 [uv-pixels],(undefined),12.380747882228546,9.001655764800468,12.380747882230152,9.666955553566284,9.754983810360393,9.40308230902378,13.078824142566436,(undefined),(undefined),(undefined),(undefined),(undefined),9.70343804791082,9.004662560373152,9.70343804791082,9.953190885284558,9.953190885284558,9.953190885284558,9.41287393668765,(undefined),(undefined),(undefined),(undefined),(undefined),9.37996754276486,9.001166004462728,9.37996754276486,9.246777081560472,9.246777081560472,12.330340649623222,9.246777081560472,(undefined),(undefined),(undefined),(undefined),(undefined),9.099110273068586,9.00010938233612,9.099110273068586,9.35999574396033,9.35999574396033,9.35999574396033,9.35999574396033,(undefined),(undefined),(undefined),(undefined),(undefined),9.040969606105172,9.000045119815034,9.040969606105172,9.149953113741908,9.149953113741908,9.149953113741908,9.149953113741908,(undefined),(undefined),(undefined),(undefined)
AW kernel support bw1 [uv-pixels],,12.380747882228546,9.013253709876537,12.380747882230152,9.666955553566284,9.754983810360393,9.40308230902378,13.078824142566436,,,,,,10.257692337561137,9.015739979015995,10.257692337561137,10.689496250664646,10.689496250664646,10.689496250664646,9.74628941065891,,,,,,9.687698951749713,9.003936791210641,9.687698951749713,9.449037218621267,9.449037218621267,13.77532122249398,9.449037218621267,,,,,,9.181446129430654,9.000369251004239,9.181446129430654,9.65206792143471,9.65206792143471,9.65206792143471,9.65206792143471,,,,,,9.075183274437064,9.000152306401,9.075183274437064,9.273947529966618,9.273947529966618,9.273947529966618,9.273947529966618,,,,
AW kernel support bw2 [uv-pixels],,12.380747882228546,9.105744643184991,12.380747882230152,9.666955553566284,9.754983810360393,9.40308230902378,13.078824142566436,,,,,,10.879071528620432,9.037296983642463,10.879071528620432,11.502778288115085,11.502778288115085,10.938156550767667,10.127706957994116,,,,,,10.040620453827982,9.009333908287458,10.040620453827982,9.683494322318285,9.683494322318285,13.77532122249398,9.683494322318285,,,,,,9.27812676576161,9.000875452604237,9.27812676576161,9.987550167545056,9.987550167545056,9.987550167545056,9.987550167545056,,,,,,9.115571560529943,9.000361084601353,9.115571560529943,9.418882746993779,9.418882746993779,9.418882746993779,9.418882746993779,,,,
AW kernel support bw3 [uv-pixels],,12.380747882228546,9.817892850515804,12.380747882230152,9.666955553566284,9.754983810360393,9.40308230902378,13.078824142566436,,,,,,11.940885116455403,9.125479817204852,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,10.98742787657206,,,,,,10.839124539888765,9.03149727632098,10.839124539888765,10.222915325947607,10.222915325947607,13.77532122249398,10.222915325947607,,,,,,9.50543566437786,9.002955766099024,9.50543566437786,10.748389713556087,10.748389713556087,10.748389713556087,10.748389713556087,,,,,,9.21143814009655,9.00121904933275,9.21143814009655,9.756972678374154,9.756972678374154,9.756972678374154,9.756972678374154,,,,
AW kernel support bw4 [uv-pixels],,12.380747882228546,12.179243844267441,12.380747882230152,9.666955553566284,9.754983810360393,9.40308230902378,13.078824142566436,,,,,,11.940885116455403,9.568992284448766,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,12.915088371190896,,,,,,12.44062133457005,9.14522017109552,12.440621504756475,11.097484737982748,11.478004105623794,13.77532122249398,11.478004105623794,,,,,,10.058485144323186,9.01368941251857,10.058485144323186,11.352091918100014,12.472548493702902,11.21093231466965,12.472548493702902,,,,,,9.4498624763736,9.005646495977059,9.4498624763736,10.565697647177986,10.565697647177986,10.565697647177986,10.565697647177986,,,,
AW kernel support bw5 [uv-pixels],,,,,,,,,,,,,,11.940885116455403,10.49242642651787,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,14.952214324943318,,,,,,12.44062133457005,9.39394405979691,12.440621504756475,11.097484737982748,11.924349015864339,13.77532122249398,12.856070652346931,,,,,,10.69960143126821,9.037550951979396,10.69960143126821,11.352091918100014,13.018402222471487,11.21093231466965,14.313729294123245,,,,,,9.734919533727439,9.0154968585146,9.734919533727439,10.739108955947112,11.482936713751032,10.658890327597383,11.482936713751032,,,,
AW kernel support bw6 [uv-pixels],,,,,,,,,,,,,,11.940885116455403,13.951874143866355,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,19.059624106493338,,,,,,12.44062133457005,10.451778169189932,12.440621504756475,11.097484737982748,11.924349015864339,13.77532122249398,15.739417875638962,,,,,,12.131089919205987,9.145135897871073,12.131089919205987,11.352091918100014,13.018402222471487,11.21093231466965,18.061513096556524,,,,,,10.40128760563985,9.0600744411008,10.40128760563985,10.739108955947112,12.086388093600851,10.658890327597383,13.473958429558486,,,,
AW kernel support bw7 [uv-pixels],,,,,,,,,,,,,,11.940885116455403,19.265011735550676,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,23.072980013358958,,,,,,12.44062133457005,12.365840561191177,12.440621504756475,11.097484737982748,11.924349015864339,13.77532122249398,18.63959242689072,,,,,,12.208887307093853,9.364339632179941,12.208887104141667,11.352091918100014,13.018402222471487,11.21093231466965,21.749562975940705,,,,,,11.152415756746501,9.151781985349958,11.152415756746501,10.739108955947112,12.086388093600851,10.658890327597383,15.543165447887835,,,,
AW kernel support bw8 [uv-pixels],,,,,,,,,,,,,,11.940885116455403,24.184442114749082,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,25.999507934663082,,,,,,12.44062133457005,14.34103701957194,12.440621504756475,11.097484737982748,11.924349015864339,13.77532122249398,20.78595204803272,,,,,,12.208887307093853,9.621786432414588,12.208887104141667,11.352091918100014,13.018402222471487,11.21093231466965,24.448285188777728,,,,,,11.751323091569752,9.260996111440088,11.751323091569752,10.739108955947112,12.086388093600851,10.658890327597383,17.10321486159268,,,,
AW kernel support bw9 [uv-pixels],,,,,,,,,,,,,,11.940885116455403,31.73541254136754,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,29.793107294634037,,,,,,12.44062133457005,17.59492234360183,12.440621504756475,11.097484737982748,11.924349015864339,13.77532122249398,23.59433687384937,,,,,,12.208887307093853,10.108497222930314,12.208887104141667,11.352091918100014,13.018402222471487,11.21093231466965,27.95410505886588,,,,,,12.58041196001341,9.471773258420328,12.58041196001341,10.739108955947112,12.086388093600851,10.658890327597383,19.17016335795975,,,,
AW kernel support bw10 [uv-pixels],,,,,,,,,,,,,,11.940885116455403,40.24747556765275,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,33.47368390493153,,,,,,12.44062133457005,21.44537482027542,12.440621504756475,11.097484737982748,11.924349015864339,13.77532122249398,26.338708939246857,,,,,,12.208887307093853,10.771794827614748,12.208887104141667,11.352091918100014,13.018402222471487,11.21093231466965,31.361008563434726,,,,,,13.431749838076566,9.767569718028888,13.431749838076566,10.739108955947112,12.086388093600851,10.658890327597383,21.21048803138621,,,,
AW kernel support bw11 [uv-pixels],,,,,,,,,,,,,,11.940885116455403,49.603978563752534,11.94088511709421,11.551368239752403,12.369058673638074,10.938156550767667,37.0538623852548,,,,,,12.44062133457005,25.797740119674543,12.440621504756475,11.097484737982748,11.924349015864339,13.77532122249398,29.02128429648868,,,,,,12.208887307093853,11.615496613401229,12.208887104141667,11.352091918100014,13.018402222471487,11.21093231466965,34.67858212832292,,,,,,14.29603656872341,10.156848661790558,14.29603656872341,10.739108955947112,12.086388093600851,10.658890327597383,23.219150876055128,,,,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],1.938197383453901,1793.6021331725574,1.0759788814661595,1793.6021331725574,66.43267689547434,332.1633844773717,664.3267689547434,1.938197383453901,1.938197383453901,(undefined),(undefined),(undefined),2.4371111792501714,3992.962956083481,3.3274691300695673,3992.962956083481,399.2962956083481,1996.4814780417405,3992.962956083481,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined),2.4371111792501714,3992.962956083481,2.6856449419211983,3992.962956083481,248.86642629217985,1244.3321314608993,2488.6642629217986,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined),2.4371111792501714,3992.962956083481,2.673175203113865,3992.962956083481,247.71091284289972,1238.5545642144984,2477.109128428997,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined),2.4371111792501714,3992.962956083481,2.6928748517754095,3992.962956083481,249.53638883957703,1247.6819441978853,2495.3638883957706,2.4371111792501714,2.4371111792501714,(undefined),(undefined),(undefined)
Snapshot vis size1 [GB],0.5470305403666433,506.2204461156133,0.30368078812625693,506.2204461156133,18.749743163606066,93.74871581803035,187.4974316360607,0.5470305403666433,0.5470305403666433,,,,0.20515027395987012,336.11820885585126,0.280098507379876,336.11820885585126,33.611820885585125,168.05910442792563,336.11820885585126,0.20515027395987012,0.20515027395987012,,,,0.20515027395987012,336.11820885585126,0.2260712602219436,336.11820885585126,20.94898910149954,104.74494550749769,209.48989101499538,0.20515027395987012,0.20515027395987012,,,,0.20515027395987012,336.11820885585126,0.2250215870046062,336.11820885585126,20.851720703281828,104.25860351640914,208.51720703281828,0.20515027395987012,0.20515027395987012,,,,0.20515027395987012,336.11820885585126,0.22667985699008653,336.11820885585126,21.005384969407242,105.02692484703621,210.05384969407243,0.20515027395987012,0.20515027395987012,,,
Snapshot vis size2 [GB],0.6188583073103874,572.6896494646255,0.34355555062161136,572.6896494646255,21.211675510761502,106.05837755380752,212.11675510761503,0.6188583073103874,0.6188583073103874,,,,0.11399523758023662,186.7697972514597,0.15564149770954974,186.7697972514597,18.67697972514597,93.38489862572985,186.7697972514597,0.11399523758023662,0.11399523758023662,,,,0.11399523758023662,186.7697972514597,0.12562033928409516,186.7697972514597,11.640661957674821,58.203309788374106,116.40661957674821,0.11399523758023662,0.11399523758023662,,,,0.11399523758023662,186.7697972514597,0.12503707051490312,186.7697972514597,11.586613118500246,57.93306559250123,115.86613118500246,0.11399523758023662,0.11399523758023662,,,,0.11399523758023662,186.7697972514597,0.12595851642534814,186.7697972514597,11.671999280489901,58.359996402449504,116.71999280489901,0.11399523758023662,0.11399523758023662,,,
Snapshot vis size3 [GB],0.7781021302734848,720.0534128250862,0.43195882263867114,720.0534128250862,26.669836546793665,133.34918273396832,266.69836546793664,0.7781021302734848,0.7781021302734848,,,,0.19815417657747825,324.6558029045404,0.2705465024204503,324.6558029045404,32.46558029045404,162.3279014522702,324.6558029045404,0.19815417657747825,0.19815417657747825,,,,0.19815417657747825,324.6558029045404,0.21836170896790943,324.6558029045404,20.234580268463194,101.17290134231598,202.34580268463196,0.19815417657747825,0.19815417657747825,,,,0.19815417657747825,324.6558029045404,0.2173478320276446,324.6558029045404,20.140628946908485,100.70314473454242,201.40628946908484,0.19815417657747825,0.19815417657747825,,,,0.19815417657747825,324.6558029045404,0.21894955118294182,324.6558029045404,20.289052907236318,101.4452645361816,202.8905290723632,0.19815417657747825,0.19815417657747825,,,
Snapshot vis size4 [GB],0.3039236385955841,281.25003735955687,0.16872142099606735,281.25003735955687,10.417133495319039,52.0856674765952,104.1713349531904,0.3039236385955841,0.3039236385955841,,,,0.25124221122087453,411.63523886428084,0.343029365720234,411.63523886428084,41.16352388642808,205.81761943214042,411.63523886428084,0.25124221122087453,0.25124221122087453,,,,0.25124221122087453,411.63523886428084,0.2768635996204487,411.63523886428084,25.65568274957461,128.27841374787306,256.5568274957461,0.25124221122087453,0.25124221122087453,,,,0.25124221122087453,411.63523886428084,0.275578092099095,411.63523886428084,25.536560669070294,127.68280334535146,255.36560669070292,0.25124221122087453,0.25124221122087453,,,,0.25124221122087453,411.63523886428084,0.27760893227255135,411.63523886428084,25.72474930397572,128.6237465198786,257.2474930397572,0.25124221122087453,0.25124221122087453,,,
Snapshot vis size5 [GB],,,,,,,,,,,,,0.1841619814155425,301.7309903512248,0.25144249195935403,301.7309903512248,30.173099035122483,150.8654951756124,301.7309903512248,0.1841619814155425,0.1841619814155425,,,,0.1841619814155425,301.7309903512248,0.20294260602218797,301.7309903512248,18.8057625618352,94.028812809176,188.057625618352,0.1841619814155425,0.1841619814155425,,,,0.1841619814155425,301.7309903512248,0.20200032163810033,301.7309903512248,18.71844539379479,93.59222696897396,187.18445393794792,0.1841619814155425,0.1841619814155425,,,,0.1841619814155425,301.7309903512248,0.20348893912982113,301.7309903512248,18.856388742229985,94.28194371114992,188.56388742229984,0.1841619814155425,0.1841619814155425,,,
Snapshot vis size6 [GB],,,,,,,,,,,,,0.22778470753199823,373.2024648204259,0.3110020540170216,373.2024648204259,37.32024648204259,186.60123241021296,373.2024648204259,0.22778470753199823,0.22778470753199823,,,,0.22778470753199823,373.2024648204259,0.25101392699635805,373.2024648204259,23.26031188488456,116.3015594244228,232.6031188488456,0.22778470753199823,0.22778470753199823,,,,0.22778470753199823,373.2024648204259,0.24984844228995134,373.2024648204259,23.152311767641425,115.76155883820712,231.52311767641424,0.22778470753199823,0.22778470753199823,,,,0.22778470753199823,373.2024648204259,0.2516896708506581,373.2024648204259,23.32292996493588,116.6146498246794,233.2292996493588,0.22778470753199823,0.22778470753199823,,,
Snapshot vis size7 [GB],,,,,,,,,,,,,0.21852516663353272,358.03163301238004,0.2983596941769833,358.03163301238004,35.803163301238,179.01581650619002,358.03163301238004,0.21852516663353272,0.21852516663353272,,,,0.21852516663353272,358.03163301238004,0.24081010888982116,358.03163301238004,22.314770757287587,111.57385378643795,223.1477075728759,0.21852516663353272,0.21852516663353272,,,,0.21852516663353272,358.03163301238004,0.2396920016102068,358.03163301238004,22.21116088868532,111.0558044434266,222.1116088868532,0.21852516663353272,0.21852516663353272,,,,0.21852516663353272,358.03163301238004,0.2414583834819237,358.03163301238004,22.374843386946296,111.87421693473149,223.74843386946299,0.21852516663353272,0.21852516663353272,,,
Snapshot vis size8 [GB],,,,,,,,,,,,,0.07160711683747924,117.321100226526,0.09776758352210499,117.321100226526,11.7321100226526,58.660550113263,117.321100226526,0.07160711683747924,0.07160711683747924,,,,0.07160711683747924,117.321100226526,0.07890952730326609,117.321100226526,7.312184776860661,36.560923884303314,73.12184776860663,0.07160711683747924,0.07160711683747924,,,,0.07160711683747924,117.321100226526,0.07854314186656053,117.321100226526,7.2782335204410264,36.39116760220513,72.78233520441026,0.07160711683747924,0.07160711683747924,,,,0.07160711683747924,117.321100226526,0.07912195626590957,117.321100226526,7.331869593383052,36.65934796691526,73.31869593383053,0.07160711683747924,0.07160711683747924,,,
Snapshot vis size9 [GB],,,,,,,,,,,,,0.057614921675543475,94.39628767321044,0.0786635730610087,94.39628767321044,9.439628767321043,47.19814383660522,94.39628767321044,0.057614921675543475,0.057614921675543475,,,,0.057614921675543475,94.39628767321044,0.06349042435754461,94.39628767321044,5.883367070232665,29.41683535116333,58.83367070232666,0.057614921675543475,0.057614921675543475,,,,0.057614921675543475,94.39628767321044,0.06319563147701626,94.39628767321044,5.8560499673273325,29.280249836636663,58.56049967327333,0.057614921675543475,0.057614921675543475,,,,0.057614921675543475,94.39628767321044,0.06366134421278888,94.39628767321044,5.899205428376717,29.496027141883587,58.992054283767175,0.057614921675543475,0.057614921675543475,,,
Snapshot vis size10 [GB],,,,,,,,,,,,,0.004321119125665762,7.079721575490785,0.0058997679795756534,7.079721575490785,0.7079721575490785,3.5398607877453925,7.079721575490785,0.004321119125665762,0.004321119125665762,,,,0.004321119125665762,7.079721575490785,0.004761781826815847,7.079721575490785,0.44125253026745,2.20626265133725,4.4125253026745,0.004321119125665762,0.004321119125665762,,,,0.004321119125665762,7.079721575490785,0.004739672360776221,7.079721575490785,0.43920374754955005,2.1960187377477505,4.392037475495501,0.004321119125665762,0.004321119125665762,,,,0.004321119125665762,7.079721575490785,0.004774600815959167,7.079721575490785,0.4424404071282539,2.2122020356412695,4.424404071282539,0.004321119125665762,0.004321119125665762,,,
Snapshot vis size11 [GB],,,,,,,,,,,,,0.001851908191607658,3.034166381129987,0.0025284719842749892,3.034166381129987,0.3034166381129987,1.5170831905649935,3.034166381129987,0.001851908191607658,0.001851908191607658,,,,0.001851908191607658,3.034166381129987,0.002040763634436966,3.034166381129987,0.18910822673605318,0.9455411336802659,1.8910822673605319,0.001851908191607658,0.001851908191607658,,,,0.001851908191607658,3.034166381129987,0.0020312881490175388,3.034166381129987,0.18823017700223138,0.9411508850111568,1.8823017700223137,0.001851908191607658,0.001851908191607658,,,,0.001851908191607658,3.034166381129987,0.002046257486911812,3.034166381129987,0.18961731681785113,0.9480865840892556,1.8961731681785112,0.001851908191607658,0.001851908191607658,,,
Facet size [GB],(undefined),19.653907270212084,0.9705633219857813,19.653907270212084,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,(undefined),(undefined),(undefined),(undefined),(undefined),14.644882158748036,40.68022821874454,14.644882158748036,18.080101430553125,18.080101430553125,18.080101430553125,10.170057054686135,(undefined),(undefined),(undefined),(undefined),(undefined),21.083379912995184,35.42817612265994,21.083379912995184,15.745856054515533,15.745856054515533,98.41160034072209,15.745856054515533,(undefined),(undefined),(undefined),(undefined),(undefined),41.25193521021444,35.36688546829085,41.25193521021444,98.24134852303013,98.24134852303013,98.24134852303013,98.24134852303013,(undefined),(undefined),(undefined),(undefined),(undefined),41.364903604591575,35.46373765825752,41.364903604591575,98.51038238404868,98.51038238404868,98.51038238404868,98.51038238404868,(undefined),(undefined),(undefined),(undefined)
Image size [GB],2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,(undefined),(undefined),(undefined),113.00063394095704,823.7746214295769,40.680228218744546,823.7746214295769,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,(undefined),(undefined),(undefined),98.41160034072206,717.4205664838641,35.42817612265995,717.4205664838641,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,(undefined),(undefined),(undefined),98.24134852303014,716.1794307328895,35.36688546829085,716.1794307328895,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,(undefined),(undefined),(undefined),98.51038238404865,718.1406875797147,35.463737658257536,718.1406875797147,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,(undefined),(undefined),(undefined)
Image cube size [GB],706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,431.36147643812524,706742.6429962243,706742.6429962243,(undefined),(undefined),(undefined),29622438.183818243,131803.93942873232,3254.4182574995634,131803.93942873232,9040.050715276564,9040.050715276564,18080.101430553128,29622438.183818243,29622438.183818243,(undefined),(undefined),(undefined),25798010.559718244,114787.29063741826,2834.254089812796,114787.29063741826,7872.928027257764,7872.928027257764,15745.856054515529,25798010.559718244,25798010.559718244,(undefined),(undefined),(undefined),25753380.067221213,114588.70891726232,2829.3508374632684,114588.70891726232,7859.307881842411,7859.307881842411,15718.615763684822,25753380.067221213,25753380.067221213,(undefined),(undefined),(undefined),25823905.67968405,114902.51001275436,2837.099012660603,114902.51001275436,7880.830590723893,7880.830590723893,15761.661181447786,25823905.67968405,25823905.67968405,(undefined),(undefined),(undefined)
Calibration output [GB],0.0,0.4718592,0.0,3.3193984,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1815552,0.0,0.20601472,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined)
Calibration process interval [s],600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600
Calibration process in [MB],0.0,71.76192,0.0,31037.0304,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,18.53376,0.0,1454.90016,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,24.71168,0.0,1532.12416,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,24.71168,0.0,1532.12416,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,24.71168,0.0,1532.12416,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined)
