Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.05,1.05,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Channels backward, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,1373.4278293411337,414.1383024984219,1885.9751150023908,429.9899422466631,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,358.44033998018244,398.1901223156782,398.1901223156782,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,238.85374289707516,894.2545468709208,894.2545468709208,894.2545468709208,1005.0053854489457,2511.6897145573553,372.78105657217833,483.15612439994436,483.15612439994436,559.0389802377872,483.15612439994436,483.15612439994436,652.167937578682,1207.4924417886202,483.15612439994436,726.1926570419781,1008.5130422414231,403.5407769988023,653.5959856457442,1008.5130422414231,403.5407769988023
"Channels backward, no-smear1",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Channels backward, no-smear2",8931.554112875032,28930.855905350065,18080.76052947859,41186.9071966738,12417.442324443025,56572.54569243952,6869.447804173029,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,1073.8030119774014,2485.5084313703824,2485.5084313703824,1396.2560606678828,644.7501595153672,1193.9041270392163,1193.9041270392163,76.98569793480485,7735.999196790231,11938.220846287122,7162.968971877786,8940.721027388057,8940.721027388057,8940.721027388057,4018.373998645579,10045.11108995104,11175.739473704114,14486.991077609053,14486.991077609053,16763.476555282203,14486.991077609053,14486.991077609053,12386.41584142446,22937.581107860868,9175.19162948914,21779.22662946886,30248.837988860792,12099.670789899565,19601.326565676056,30248.837988860792,12099.670789899565
Frequencies predict ifft,2500,200.0,2500,200.0,2500,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,2500.0,200.0,40.0,200.0,2500.0,200.0,200.0,200.0,200.0,200,200.0,200.0,200.0,200.0,2500.0,200.0,2500.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Frequencies predict kernels0,265.1065067737253,526.4087852468448,225.45973353923983,422.2208242221278,94.51243545347477,181.91902883101721,188.69639923387206,188.3862469397226,188.5382975305016,369.3512980402438,188.34969721886733,188.3862469397226,188.5382975305016,369.3512980402438,188.34969721886733,188.3862469397226,188.5382975305016,369.3512980402438,40.0,40.0,41.06905548099284,77.14720984865818,47.37512033836724,46.73559503401756,48.5952542552531,40.0,40.18227262593691,40.0,40.0,40.0,40.0,40.0,40.0,84.49969684253824,83.99831746039364,86.18586050962082,232.17821986717388,240.1462799343519,109.59523657801624,108.32443120973022,109.2276230879996,108.69112068759569,108.32443120973022,109.2276230879996,108.60505507820486,109.19696873302986,108.83205177269771,92.283711703172,92.32681327532998,92.32885038312114,92.24880875771048,92.32681327532998,92.32885038312114
Frequencies predict kernels1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies predict kernels2,344.489884740379,1125.3890593724275,472.516222140298,1553.2657722222798,161.04934940885315,826.3044417051408,237.98186250845842,228.51046420261045,228.51046420261045,656.4775310701624,218.20451950931115,228.51046420261045,228.51046420261045,656.4775310701624,218.20451950931115,228.51046420261045,228.51046420261045,656.4775310701624,56.74257019711543,65.30894006348109,89.01334595385178,186.19949765062435,64.79188338867328,59.308662732588225,74.3242994712337,94.87043562514728,51.41197904024537,44.2171796606188,50.58526177488482,40.0,66.36062969973071,62.598423621813104,79.36512546201584,135.0074551110992,124.5436508795969,165.841447561728,287.936561764316,336.64515677912686,279.08438309401066,176.55392633187415,253.52252288290265,211.06055958743895,176.55392633187415,253.52252288290265,162.9790427508302,193.5221196589596,175.28983523357394,151.7993551333687,156.13602289313454,156.33812068799025,148.19816956613613,156.13602289313454,156.33812068799025
Frequencies predict de-grid0,559.1337152950158,65536.0,603.2228470378325,65536.0,500.0,65536.0,429.9899422466631,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,1005.0053854489457,2511.6897145573553,500.0,483.15612439994436,700.0,559.0389802377872,483.15612439994436,700.0,652.167937578682,1207.4924417886202,700.0,726.1926570419781,1008.5130422414231,1000.0,653.5959856457442,1008.5130422414231,1000.0
Frequencies predict de-grid1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Frequencies predict de-grid2,8931.554112875032,65536.0,18080.76052947859,65536.0,12417.442324443025,65536.0,6869.447804173029,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,5724.655352792174,6360.65115931682,6360.65115931682,20603.253899857915,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,1073.8030119774014,2485.5084313703824,100.0,5000.0,644.7501595153672,1193.9041270392163,1193.9041270392163,2500.0,7735.999196790231,11938.220846287122,7162.968971877786,8940.721027388057,8940.721027388057,8940.721027388057,4018.373998645579,10045.11108995104,11175.739473704114,14486.991077609053,14486.991077609053,16763.476555282203,14486.991077609053,14486.991077609053,12386.41584142446,22937.581107860868,9175.19162948914,21779.22662946886,30248.837988860792,12099.670789899565,19601.326565676056,30248.837988860792,12099.670789899565
