Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Delta W snapshot0 [lambda],1126.3171439589719,3.2598679753150135,3.259867750259523,1.3173389729330272,1.9674641171390768,1.5784557379777706,3.822777209330984,1126.3171439589719,0.05214431222032277,6895.819248728399,77.5739091484988,77.57390471832132,44.923569816033066,55.9194870531252,31.329240890162033,340.22025227825486,6895.819248728399,0.3192508911448333
Delta W snapshot1 [lambda],1632.0105555323878,4.723482168313591,4.723481842212778,1.9087972873111212,2.850815353405601,2.287150150947382,5.539126160459181,1632.0105555323878,0.07555604423761055,10343.728873092597,116.3608637227482,116.36085707748198,67.3853547240496,83.8792305796878,46.99386133524305,510.3303784173823,10343.728873092597,0.4788763367172499
Delta W snapshot2 [lambda],2390.5506728925116,6.918903457811457,6.9189029801426605,2.795984758878262,4.175842207805387,3.350191770401799,8.113649587151476,2390.5506728925116,0.1106736422635422,13791.638497456797,155.1478182969976,155.14780943664263,89.84713963206613,111.8389741062504,62.65848178032407,680.4405045565097,13791.638497456797,0.6385017822896666
Delta W snapshot3 [lambda],3470.8956885266275,10.045715597399328,10.045714903860977,4.059554794140554,6.063001667102053,4.86422074356415,11.780395073652624,3470.8956885266275,0.1606896152095661,20687.457746185195,232.7217274454964,232.72171415496396,134.7707094480992,167.7584611593756,93.9877226704861,1020.6607568347646,20687.457746185195,0.9577526734344998
Delta W snapshot4 [lambda],5079.920179896587,14.702669847849346,14.702668832803154,5.941467612616306,8.873664691586448,7.119157512103823,17.241505372696885,5079.920179896587,0.2351814898100272,34479.096243641994,387.869545742494,387.8695235916066,224.61784908016534,279.597435265626,156.64620445081016,1701.1012613912742,34479.096243641994,1.5962544557241662
Delta W snapshot5 [lambda],7401.512660301815,21.42198955207009,21.421988073134006,8.656798964988464,12.929049912628217,10.372709135282493,25.121107375603607,7401.512660301815,0.3426626231621211,48270.73474109879,543.0173640394917,543.0173330282493,314.46498871223145,391.43640937187644,219.30468623113424,2381.541765947784,48270.73474109879,2.234756238013833
Delta W snapshot6 [lambda],10803.450156341158,31.2681213958787,31.26811923718318,12.635700352622914,18.871594592966655,15.140289731623515,36.66745486501148,10803.450156341158,0.5001597294602388,75854.01173601238,853.3130006334868,853.3129519015345,494.15926797636376,615.1143575843772,344.6216497917824,3742.4227750608034,75854.01173601238,3.511759802593166
Delta W snapshot7 [lambda],18388.851329942398,53.22233429085737,53.222330616482004,21.507575068294322,32.12186313696452,25.770705926167686,62.41268913193443,18388.851329942398,0.8513357097195555,103437.28873092598,1163.608637227482,1163.6085707748198,673.853547240496,838.792305796878,469.9386133524305,5103.303784173822,103437.28873092598,4.788763367172499
Delta W snapshot8 [lambda],,,,,,,,,,124124.74647711117,1396.3303646729785,1396.3302849297838,808.6242566885952,1006.5507669562537,563.9263360229166,6123.964541008588,124124.74647711117,5.746516040606998
Delta W snapshot9 [lambda],,,,,,,,,,151708.02347202477,1706.6260012669736,1706.625903803069,988.3185359527275,1230.2287151687544,689.2432995835647,7484.845550121607,151708.02347202477,7.023519605186332
Delta W snapshot10 [lambda],,,,,,,,,,179291.30046693835,2016.9216378609688,2016.9215226763542,1168.0128152168597,1453.9066633812554,814.5602631442129,8845.726559234627,179291.30046693835,8.300523169765665
Delta W snapshot11 [lambda],,,,,,,,,,206874.57746185196,2327.217274454964,2327.2171415496396,1347.707094480992,1677.584611593756,939.877226704861,10206.607568347645,206874.57746185196,9.577526734344998
Delta W max0 [lambda],1126.3171439589719,3.2598679753150135,3.259867750259523,1.3173389729330272,1.9674641171390768,1.5784557379777706,3.822777209330984,1126.3171439589719,0.13733959037942622,6895.819248728399,77.5739091484988,77.57390471832132,44.923569816033066,55.9194870531252,31.329240890162033,340.22025227825486,6895.819248728399,0.8580149336490602
Delta W max1 [lambda],1632.0105555323878,4.723482168313591,4.723481842212778,1.9087972873111212,2.850815353405601,2.287150150947382,5.539126160459181,1632.0105555323878,0.28835021870166083,10343.728873092597,116.3608637227482,116.36085707748198,67.3853547240496,83.8792305796878,46.99386133524305,510.3303784173823,10343.728873092597,1.9305336007103855
Delta W max2 [lambda],2390.5506728925116,6.918903457811457,6.9189029801426605,2.795984758878262,4.175842207805387,3.350191770401799,8.113649587151476,2390.5506728925116,0.618685968156549,13791.638497456797,155.1478182969976,155.14780943664263,89.84713963206613,111.8389741062504,62.65848178032407,680.4405045565097,13791.638497456797,3.432059734596241
Delta W max3 [lambda],3470.8956885266275,10.045715597399328,10.045714903860977,4.059554794140554,6.063001667102053,4.86422074356415,11.780395073652624,3470.8956885266275,1.304239900142148,20687.457746185195,232.7217274454964,232.72171415496396,134.7707094480992,167.7584611593756,93.9877226704861,1020.6607568347646,20687.457746185195,7.722134402841542
Delta W max4 [lambda],5079.920179896587,14.702669847849346,14.702668832803154,5.941467612616306,8.873664691586448,7.119157512103823,17.241505372696885,5079.920179896587,2.7937538249569163,34479.096243641994,387.869545742494,387.8695235916066,224.61784908016534,279.597435265626,156.64620445081016,1701.1012613912742,34479.096243641994,21.450373341226506
Delta W max5 [lambda],7401.512660301815,21.42198955207009,21.421988073134006,8.656798964988464,12.929049912628217,10.372709135282493,25.121107375603607,7401.512660301815,5.93082802536461,48270.73474109879,543.0173640394917,543.0173330282493,314.46498871223145,391.43640937187644,219.30468623113424,2381.541765947784,48270.73474109879,42.04273174880395
Delta W max6 [lambda],10803.450156341158,31.2681213958787,31.26811923718318,12.635700352622914,18.871594592966655,15.140289731623515,36.66745486501148,10803.450156341158,12.635699922871826,75854.01173601238,853.3130006334868,853.3129519015345,494.15926797636376,615.1143575843772,344.6216497917824,3742.4227750608034,75854.01173601238,103.81980697153628
Delta W max7 [lambda],18388.851329942398,53.22233429085737,53.222330616482004,36.608637169026565,36.608637169026565,36.608637169026565,62.41268913193443,18388.851329942398,36.608637169026565,103437.28873092598,1163.608637227482,1163.6085707748198,673.853547240496,838.792305796878,469.9386133524305,5103.303784173822,103437.28873092598,193.05336007103855
Delta W max8 [lambda],,,,,,,,,,124124.74647711117,1396.3303646729785,1396.3302849297838,808.6242566885952,1006.5507669562537,563.9263360229166,6123.964541008588,124124.74647711117,277.99683850229553
Delta W max9 [lambda],,,,,,,,,,151708.02347202477,1706.6260012669736,1706.625903803069,988.3185359527275,1230.2287151687544,689.2432995835647,7484.845550121607,151708.02347202477,415.2792278861451
Delta W max10 [lambda],,,,,,,,,,179291.30046693835,2016.9216378609688,2016.9215226763542,1168.0128152168597,1453.9066633812554,814.5602631442129,8845.726559234627,179291.30046693835,580.0180951467647
Delta W max11 [lambda],,,,,,,,,,206874.57746185196,2327.217274454964,2327.2171415496396,1347.707094480992,1677.584611593756,939.877226704861,10206.607568347645,206874.57746185196,772.2134402841542
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],238.3921794542643,1.4540383295291401,1.454038254115108,1.4127516116112506,0.8864708277589015,0.7513232014576883,3.1464966402659598,238.3921794542643,0.22092451946065872,264.00678784247657,1.5695059889592806,1.5695059216162366,0.9275933699959681,1.0933717230087758,1.0900945354098028,1.4982380557742556,264.00678784247657,0.24736096700338506
W kernel support pred1 [uv-pixels],318.8648742916812,1.9212962024633071,1.9212961027811593,1.866723919335652,1.17117265101789,0.992582627173209,4.159041095665414,318.8648742916812,0.38545809701171524,363.17195644289546,2.128573901127762,2.128573809760902,1.2577887377287553,1.4826506045660517,1.4782052526768084,2.031883427795216,363.17195644289546,0.4546068283389465
W kernel support pred2 [uv-pixels],431.12565859877884,2.559769044809765,2.559768911946262,2.487031917612772,1.5600930692231039,1.3221345574786965,5.543478063655035,431.12565859877884,0.6836743186732165,456.1335432946283,2.64246639042173,2.642466276959174,1.5612223156906333,1.840405283011337,1.8348858632817941,2.522394280956961,456.1335432946283,0.7001834252893276
W kernel support pred3 [uv-pixels],580.3240263776497,3.3883065280531026,3.3883063520981747,3.291979792336587,2.064628654542674,1.7496164273438224,7.341400662228986,580.3240263776497,1.1969137654855102,630.5686589971883,3.584601877091967,3.58460172309103,2.1173351469004302,2.496133444554432,2.4886442309534753,3.42163328761556,630.5686589971883,1.2873121222810928
W kernel support pred4 [uv-pixels],788.4305731917235,4.512771786817589,4.512771552327327,4.384401639816995,2.749105292429522,2.329498462942747,9.783701867747052,788.4305731917235,2.1214323949540788,952.9151270818414,5.265042749353305,5.265042522960833,3.1087239568964873,3.665278145104132,3.6542735760164695,5.025475034457041,952.9151270818414,2.7741230716750493
W kernel support pred5 [uv-pixels],1070.7194520294245,5.991240957360546,5.991240645822956,5.820694641325206,3.648651599246753,3.0914904694092114,12.998394694512285,1070.7194520294245,3.73648020622455,1254.9454091521347,6.783654398602684,6.783654106706076,4.004125054659228,4.721392875637579,4.707209580065244,6.474778606587734,1254.9454091521347,4.602401107953138
W kernel support pred6 [uv-pixels],1461.330325789208,7.966620022065909,7.966619607451404,7.739650501023795,4.849865985860253,4.108868820423107,17.29913959422336,1461.330325789208,6.603243584827808,1824.948358955593,9.537735847599953,9.537735436727315,5.626871803783395,6.635765850256743,6.615813662345853,9.102982040583523,1824.948358955593,9.09397381662716
W kernel support pred7 [uv-pixels],2277.9636035434714,11.899609450554781,11.899608830309319,17.278147215545847,7.9892513617227925,7.9892513617227925,25.87879941842106,2277.9636035434714,14.733589458076755,2367.3890989259794,12.053078051332971,12.053077531613878,7.107820343078442,8.38322752374667,8.358002342775313,11.503170693167355,2367.3890989259794,14.525154584862845
W kernel support pred8 [uv-pixels],,,,,,,,,,2762.3205170439783,13.832499198975901,13.83249860215855,8.154885475730522,9.618919599591324,9.589961946047424,13.201029964041565,2762.3205170439783,19.137129746472176
W kernel support pred9 [uv-pixels],,,,,,,,,,3277.335566931181,16.097818873826593,16.09781817874886,9.48719646998076,11.191464331594315,11.15775250781718,15.362404741073428,3277.335566931181,25.936262324485085
W kernel support pred10 [uv-pixels],,,,,,,,,,3782.121607374892,18.265800180868595,18.265799391644038,10.761591773785938,12.695869576668036,12.657605389152849,17.43079693670011,3782.121607374892,33.42188312681315
W kernel support pred11 [uv-pixels],,,,,,,,,,4278.839953832411,20.355103463989785,20.355102583939527,11.989150278886076,14.145177783764767,14.10252426204717,19.424027944527214,4278.839953832411,41.54727978628811
AW kernel support pred0 [uv-pixels],238.60182569493082,10.105158458121272,10.105158447269895,10.099300328047988,10.039214637035487,10.028184609043086,10.483341123287222,238.60182569493082,10.002440084464336,264.19610903058816,10.122418142389646,10.12241813194794,10.042929326648698,10.059595505022813,10.059239836892761,10.111612990604922,264.19610903058816,10.003058904554988
AW kernel support pred1 [uv-pixels],319.0216419885172,10.182896400219336,10.182896381411433,10.17274093796848,10.068348691741475,10.049140275255693,10.830402708830071,319.0216419885172,10.00742613984994,363.3096061853586,10.224031829594539,10.22403181057258,10.078791222599925,10.10931515065289,10.108664143646346,10.204339776004561,363.3096061853586,10.010328035003269
AW kernel support pred2 [uv-pixels],431.24161847186184,10.322423047074087,10.32242301412641,10.304626522063993,10.120962917857073,10.08702333635049,11.433728571302739,431.24161847186184,10.023343283257004,456.24314714690513,10.343240721577954,10.343240692590813,10.121137046745806,10.167944315629194,10.16694674576745,10.31321835842742,456.24314714690513,10.024482870904109
AW kernel support pred3 [uv-pixels],580.4101787453138,10.558438384915037,10.558438328449375,10.527921492543172,10.210910413922878,10.151904138772753,12.405489256106595,580.4101787453138,10.071375405673681,630.647947518671,10.62305843988685,10.623058387921398,10.221697908092366,10.306826969199744,10.305015774284774,10.569180401285564,630.647947518671,10.082518162650233
AW kernel support pred4 [uv-pixels],788.4939877661906,10.971103372035868,10.971103275582397,10.918927499495084,10.370997054712918,10.26774381686905,13.99002581259081,788.4939877661906,10.22254740298917,952.9675962074481,11.30135722612633,11.301357120655279,10.472065920351254,10.650552280561698,10.646770184820005,11.191755864114933,952.9675962074481,10.377656711261931
AW kernel support pred5 [uv-pixels],1070.7661485843635,11.657399719026303,11.657399558913689,11.570673537333597,10.644841872601297,10.466962946454334,16.399947092424572,1070.7661485843635,10.675265070784326,1254.985250890232,12.083789430459369,12.083789266593083,10.77186230200469,11.058551021093193,11.052502975826696,11.913133844808685,1254.985250890232,11.008273977263114
AW kernel support pred6 [uv-pixels],1461.3645407875454,12.785422737476512,12.78542247912947,12.645243765068267,11.114009181245274,10.811235035066307,19.981497208678494,1461.3645407875454,11.98343964980713,1824.9757567854733,13.8191318503947,13.819131566817214,11.474392632998603,12.001391103511025,11.990370737174144,13.522732047599929,1824.9757567854733,13.516669699948297
AW kernel support pred7 [uv-pixels],2277.9855528665585,15.543510062908336,15.54350958806844,19.963325654862086,12.799536605705281,12.799536605705281,27.743688639740576,2277.9855528665585,17.806702623426677,2367.410219145292,15.66131190263206,15.661311502651856,12.268704496786926,13.049080569714622,13.032889286794298,15.242143418697527,2367.410219145292,17.634628312333724
AW kernel support pred8 [uv-pixels],,,,,,,,,,2762.3386177082107,17.06862718819733,17.06862670453362,12.903571487083745,13.875287898396994,13.855228981385968,16.561014223516725,2762.3386177082107,21.59235362190306
AW kernel support pred9 [uv-pixels],,,,,,,,,,3277.3508231912133,18.95098341760996,18.950982827179633,13.784298925227041,15.008293503438281,14.983171928056507,18.330397688772475,3277.3508231912133,27.79729669166598
AW kernel support pred10 [uv-pixels],,,,,,,,,,3782.134827444949,20.824011531100805,20.824010838831786,14.690536324641695,16.16122224052887,16.131180185823702,20.095588616621157,3782.134827444949,34.88584629534387
AW kernel support pred11 [uv-pixels],,,,,,,,,,4278.851639226645,22.678849993545285,22.678849203667756,15.612165910267354,17.322992077996002,17.288180660833834,21.84703324457978,4278.851639226645,42.73378590342897
"W kernel support pred, ff0 [pixels]",1908.8146055594466,80.84126766497018,80.84126757815916,80.7944026243839,80.3137170962839,80.22547687234469,83.86672898629777,1908.8146055594466,80.01952067571469,2113.5688722447053,80.97934513911717,80.97934505558352,80.34343461318959,80.4767640401825,80.47391869514209,80.89290392483937,2113.5688722447053,80.02447123643991
"W kernel support pred, ff1 [pixels]",2552.1731359081377,81.46317120175469,81.46317105129147,81.38192750374785,80.5467895339318,80.39312220204555,86.64322167064057,2552.1731359081377,80.05940911879952,2906.4768494828686,81.79225463675631,81.79225448458064,80.6303297807994,80.87452120522312,80.86931314917076,81.63471820803649,2906.4768494828686,80.08262428002615
"W kernel support pred, ff2 [pixels]",3449.9329477748947,82.5793843765927,82.57938411301129,82.43701217651194,80.96770334285658,80.69618669080393,91.46982857042191,3449.9329477748947,80.18674626605603,3649.945177175241,82.74592577262364,82.7459255407265,80.96909637396645,81.34355452503355,81.3355739661396,82.50574686741936,3649.945177175241,80.19586296723287
"W kernel support pred, ff3 [pixels]",4643.281429962511,84.4675070793203,84.467506627595,84.22337194034537,81.68728331138303,81.21523311018203,99.24391404885276,4643.281429962511,80.57100324538945,5045.183580149368,84.9844675190948,84.98446710337119,81.77358326473893,82.45461575359795,82.44012619427819,84.55344321028451,5045.183580149368,80.66014530120187
"W kernel support pred, ff4 [pixels]",6307.951902129525,87.76882697628695,87.76882620465918,87.35141999596067,82.96797643770334,82.1419505349524,111.92020650072648,6307.951902129525,81.78037922391336,7623.740769659585,90.41085780901064,90.41085696524223,83.77652736281003,85.20441824449358,85.17416147856004,89.53404691291946,7623.740769659585,83.02125369009545
"W kernel support pred, ff5 [pixels]",8566.129188674908,93.25919775221043,93.25919647130951,92.56538829866878,85.15873498081038,83.73570357163467,131.19957673939658,8566.129188674908,85.4021205662746,10039.882007121856,96.67031544367495,96.67031413274466,86.17489841603752,88.46840816874554,88.42002380661357,95.30507075846948,10039.882007121856,88.06619181810491
"W kernel support pred, ff6 [pixels]",11690.916326300363,102.2833818998121,102.28337983303577,101.16195012054614,88.9120734499622,86.48988028053046,159.85197766942795,11690.916326300363,95.86751719845704,14599.806054283787,110.5530548031576,110.55305253453771,91.79514106398882,96.0111288280882,95.92296589739315,108.18185638079943,14599.806054283787,108.13335759958638
"W kernel support pred, ff7 [pixels]",18223.884422932468,124.34808050326669,124.34807670454752,159.70660523889669,102.39629284564225,102.39629284564225,221.9495091179246,18223.884422932468,142.45362098741342,18939.281753162337,125.29049522105647,125.29049202121485,98.1496359742954,104.39264455771698,104.26311429435438,121.93714734958021,18939.281753162337,141.0770264986698
"W kernel support pred, ff8 [pixels]",,,,,,,,,,22098.708941665685,136.54901750557863,136.54901363626897,103.22857189666996,111.00230318717595,110.84183185108775,132.4881137881338,22098.708941665685,172.7388289752245
"W kernel support pred, ff9 [pixels]",,,,,,,,,,26218.806585529706,151.6078673408797,151.60786261743706,110.27439140181633,120.06634802750625,119.86537542445205,146.6431815101798,26218.806585529706,222.37837353332785
"W kernel support pred, ff10 [pixels]",,,,,,,,,,30257.078619559594,166.59209224880644,166.59208671065429,117.52429059713356,129.28977792423095,129.04944148658961,160.76470893296926,30257.078619559594,279.08677036275094
"W kernel support pred, ff11 [pixels]",,,,,,,,,,34230.81311381316,181.43079994836228,181.43079362934205,124.89732728213883,138.58393662396801,138.30544528667068,174.77626595663824,34230.81311381316,341.8702872274318
W kernel support bw0 [uv-pixels],238.3921794542643,1.4540383295291401,1.454038254115108,1.4127516116112506,0.8864708277589015,0.7513232014576883,3.1464966402659598,238.3921794542643,0.22092451946065872,264.00678784247657,1.5695059889592806,1.5695059216162366,0.9275933699959681,1.0933717230087758,1.0900945354098028,1.4982380557742556,264.00678784247657,0.24736096700338506
W kernel support bw1 [uv-pixels],318.8648742916812,1.9212962024633071,1.9212961027811593,1.866723919335652,1.17117265101789,0.992582627173209,4.159041095665414,318.8648742916812,0.38545809701171524,363.17195644289546,2.128573901127762,2.128573809760902,1.2577887377287553,1.4826506045660517,1.4782052526768084,2.031883427795216,363.17195644289546,0.4546068283389465
W kernel support bw2 [uv-pixels],431.12565859877884,2.559769044809765,2.559768911946262,2.487031917612772,1.5600930692231039,1.3221345574786965,5.543478063655035,431.12565859877884,0.6836743186732165,456.1335432946283,2.64246639042173,2.642466276959174,1.5612223156906333,1.840405283011337,1.8348858632817941,2.522394280956961,456.1335432946283,0.7001834252893276
W kernel support bw3 [uv-pixels],580.3240263776497,3.3883065280531026,3.3883063520981747,3.291979792336587,2.064628654542674,1.7496164273438224,7.341400662228986,580.3240263776497,1.1969137654855102,630.5686589971883,3.584601877091967,3.58460172309103,2.1173351469004302,2.496133444554432,2.4886442309534753,3.42163328761556,630.5686589971883,1.2873121222810928
W kernel support bw4 [uv-pixels],788.4305731917235,4.512771786817589,4.512771552327327,4.384401639816995,2.749105292429522,2.329498462942747,9.783701867747052,788.4305731917235,2.1214323949540788,952.9151270818414,5.265042749353305,5.265042522960833,3.1087239568964873,3.665278145104132,3.6542735760164695,5.025475034457041,952.9151270818414,2.7741230716750493
W kernel support bw5 [uv-pixels],1070.7194520294245,5.991240957360546,5.991240645822956,5.820694641325206,3.648651599246753,3.0914904694092114,12.998394694512285,1070.7194520294245,3.73648020622455,1254.9454091521347,6.783654398602684,6.783654106706076,4.004125054659228,4.721392875637579,4.707209580065244,6.474778606587734,1254.9454091521347,4.602401107953138
W kernel support bw6 [uv-pixels],1461.330325789208,7.966620022065909,7.966619607451404,7.739650501023795,4.849865985860253,4.108868820423107,17.29913959422336,1461.330325789208,6.603243584827808,1824.948358955593,9.537735847599953,9.537735436727315,5.626871803783395,6.635765850256743,6.615813662345853,9.102982040583523,1824.948358955593,9.09397381662716
W kernel support bw7 [uv-pixels],2277.9636035434714,11.899609450554781,11.899608830309319,17.278147215545847,7.9892513617227925,7.9892513617227925,25.87879941842106,2277.9636035434714,14.733589458076755,2367.3890989259794,12.053078051332971,12.053077531613878,7.107820343078442,8.38322752374667,8.358002342775313,11.503170693167355,2367.3890989259794,14.525154584862845
W kernel support bw8 [uv-pixels],,,,,,,,,,2762.3205170439783,13.832499198975901,13.83249860215855,8.154885475730522,9.618919599591324,9.589961946047424,13.201029964041565,2762.3205170439783,19.137129746472176
W kernel support bw9 [uv-pixels],,,,,,,,,,3277.335566931181,16.097818873826593,16.09781817874886,9.48719646998076,11.191464331594315,11.15775250781718,15.362404741073428,3277.335566931181,25.936262324485085
W kernel support bw10 [uv-pixels],,,,,,,,,,3782.121607374892,18.265800180868595,18.265799391644038,10.761591773785938,12.695869576668036,12.657605389152849,17.43079693670011,3782.121607374892,33.42188312681315
W kernel support bw11 [uv-pixels],,,,,,,,,,4278.839953832411,20.355103463989785,20.355102583939527,11.989150278886076,14.145177783764767,14.10252426204717,19.424027944527214,4278.839953832411,41.54727978628811
AW kernel support bw0 [uv-pixels],238.60182569493082,10.105158458121272,10.105158447269895,10.099300328047988,10.039214637035487,10.028184609043086,10.483341123287222,238.60182569493082,10.002440084464336,264.19610903058816,10.122418142389646,10.12241813194794,10.042929326648698,10.059595505022813,10.059239836892761,10.111612990604922,264.19610903058816,10.003058904554988
AW kernel support bw1 [uv-pixels],319.0216419885172,10.182896400219336,10.182896381411433,10.17274093796848,10.068348691741475,10.049140275255693,10.830402708830071,319.0216419885172,10.00742613984994,363.3096061853586,10.224031829594539,10.22403181057258,10.078791222599925,10.10931515065289,10.108664143646346,10.204339776004561,363.3096061853586,10.010328035003269
AW kernel support bw2 [uv-pixels],431.24161847186184,10.322423047074087,10.32242301412641,10.304626522063993,10.120962917857073,10.08702333635049,11.433728571302739,431.24161847186184,10.023343283257004,456.24314714690513,10.343240721577954,10.343240692590813,10.121137046745806,10.167944315629194,10.16694674576745,10.31321835842742,456.24314714690513,10.024482870904109
AW kernel support bw3 [uv-pixels],580.4101787453138,10.558438384915037,10.558438328449375,10.527921492543172,10.210910413922878,10.151904138772753,12.405489256106595,580.4101787453138,10.071375405673681,630.647947518671,10.62305843988685,10.623058387921398,10.221697908092366,10.306826969199744,10.305015774284774,10.569180401285564,630.647947518671,10.082518162650233
AW kernel support bw4 [uv-pixels],788.4939877661906,10.971103372035868,10.971103275582397,10.918927499495084,10.370997054712918,10.26774381686905,13.99002581259081,788.4939877661906,10.22254740298917,952.9675962074481,11.30135722612633,11.301357120655279,10.472065920351254,10.650552280561698,10.646770184820005,11.191755864114933,952.9675962074481,10.377656711261931
AW kernel support bw5 [uv-pixels],1070.7661485843635,11.657399719026303,11.657399558913689,11.570673537333597,10.644841872601297,10.466962946454334,16.399947092424572,1070.7661485843635,10.675265070784326,1254.985250890232,12.083789430459369,12.083789266593083,10.77186230200469,11.058551021093193,11.052502975826696,11.913133844808685,1254.985250890232,11.008273977263114
AW kernel support bw6 [uv-pixels],1461.3645407875454,12.785422737476512,12.78542247912947,12.645243765068267,11.114009181245274,10.811235035066307,19.981497208678494,1461.3645407875454,11.98343964980713,1824.9757567854733,13.8191318503947,13.819131566817214,11.474392632998603,12.001391103511025,11.990370737174144,13.522732047599929,1824.9757567854733,13.516669699948297
AW kernel support bw7 [uv-pixels],2277.9855528665585,15.543510062908336,15.54350958806844,19.963325654862086,12.799536605705281,12.799536605705281,27.743688639740576,2277.9855528665585,17.806702623426677,2367.410219145292,15.66131190263206,15.661311502651856,12.268704496786926,13.049080569714622,13.032889286794298,15.242143418697527,2367.410219145292,17.634628312333724
AW kernel support bw8 [uv-pixels],,,,,,,,,,2762.3386177082107,17.06862718819733,17.06862670453362,12.903571487083745,13.875287898396994,13.855228981385968,16.561014223516725,2762.3386177082107,21.59235362190306
AW kernel support bw9 [uv-pixels],,,,,,,,,,3277.3508231912133,18.95098341760996,18.950982827179633,13.784298925227041,15.008293503438281,14.983171928056507,18.330397688772475,3277.3508231912133,27.79729669166598
AW kernel support bw10 [uv-pixels],,,,,,,,,,3782.134827444949,20.824011531100805,20.824010838831786,14.690536324641695,16.16122224052887,16.131180185823702,20.095588616621157,3782.134827444949,34.88584629534387
AW kernel support bw11 [uv-pixels],,,,,,,,,,4278.851639226645,22.678849993545285,22.678849203667756,15.612165910267354,17.322992077996002,17.288180660833834,21.84703324457978,4278.851639226645,42.73378590342897
"W kernel support bw, ff0 [pixels]",1908.8146055594466,80.84126766497018,80.84126757815916,80.7944026243839,80.3137170962839,80.22547687234469,83.86672898629777,1908.8146055594466,80.01952067571469,2113.5688722447053,80.97934513911717,80.97934505558352,80.34343461318959,80.4767640401825,80.47391869514209,80.89290392483937,2113.5688722447053,80.02447123643991
"W kernel support bw, ff1 [pixels]",2552.1731359081377,81.46317120175469,81.46317105129147,81.38192750374785,80.5467895339318,80.39312220204555,86.64322167064057,2552.1731359081377,80.05940911879952,2906.4768494828686,81.79225463675631,81.79225448458064,80.6303297807994,80.87452120522312,80.86931314917076,81.63471820803649,2906.4768494828686,80.08262428002615
"W kernel support bw, ff2 [pixels]",3449.9329477748947,82.5793843765927,82.57938411301129,82.43701217651194,80.96770334285658,80.69618669080393,91.46982857042191,3449.9329477748947,80.18674626605603,3649.945177175241,82.74592577262364,82.7459255407265,80.96909637396645,81.34355452503355,81.3355739661396,82.50574686741936,3649.945177175241,80.19586296723287
"W kernel support bw, ff3 [pixels]",4643.281429962511,84.4675070793203,84.467506627595,84.22337194034537,81.68728331138303,81.21523311018203,99.24391404885276,4643.281429962511,80.57100324538945,5045.183580149368,84.9844675190948,84.98446710337119,81.77358326473893,82.45461575359795,82.44012619427819,84.55344321028451,5045.183580149368,80.66014530120187
"W kernel support bw, ff4 [pixels]",6307.951902129525,87.76882697628695,87.76882620465918,87.35141999596067,82.96797643770334,82.1419505349524,111.92020650072648,6307.951902129525,81.78037922391336,7623.740769659585,90.41085780901064,90.41085696524223,83.77652736281003,85.20441824449358,85.17416147856004,89.53404691291946,7623.740769659585,83.02125369009545
"W kernel support bw, ff5 [pixels]",8566.129188674908,93.25919775221043,93.25919647130951,92.56538829866878,85.15873498081038,83.73570357163467,131.19957673939658,8566.129188674908,85.4021205662746,10039.882007121856,96.67031544367495,96.67031413274466,86.17489841603752,88.46840816874554,88.42002380661357,95.30507075846948,10039.882007121856,88.06619181810491
"W kernel support bw, ff6 [pixels]",11690.916326300363,102.2833818998121,102.28337983303577,101.16195012054614,88.9120734499622,86.48988028053046,159.85197766942795,11690.916326300363,95.86751719845704,14599.806054283787,110.5530548031576,110.55305253453771,91.79514106398882,96.0111288280882,95.92296589739315,108.18185638079943,14599.806054283787,108.13335759958638
"W kernel support bw, ff7 [pixels]",18223.884422932468,124.34808050326669,124.34807670454752,159.70660523889669,102.39629284564225,102.39629284564225,221.9495091179246,18223.884422932468,142.45362098741342,18939.281753162337,125.29049522105647,125.29049202121485,98.1496359742954,104.39264455771698,104.26311429435438,121.93714734958021,18939.281753162337,141.0770264986698
"W kernel support bw, ff8 [pixels]",,,,,,,,,,22098.708941665685,136.54901750557863,136.54901363626897,103.22857189666996,111.00230318717595,110.84183185108775,132.4881137881338,22098.708941665685,172.7388289752245
"W kernel support bw, ff9 [pixels]",,,,,,,,,,26218.806585529706,151.6078673408797,151.60786261743706,110.27439140181633,120.06634802750625,119.86537542445205,146.6431815101798,26218.806585529706,222.37837353332785
"W kernel support bw, ff10 [pixels]",,,,,,,,,,30257.078619559594,166.59209224880644,166.59208671065429,117.52429059713356,129.28977792423095,129.04944148658961,160.76470893296926,30257.078619559594,279.08677036275094
