Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Number subbands,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0
Station/antenna diameter,35,35,35,35,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,35,35,13.5,13.5
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.333333333333334,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.22,10.0,10.0,10.0,10.0
Coalesce time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.384615384615386,5.833333333333334,9.333333333333334,9.333333333333334,10.0,10.0,10.0,8.166666666666668,8.166666666666668,8.166666666666668,2.1,10.0,8.1,10.0,10.0
Coalesce time pred2 [s],10.0,10.0,10.0,10.0,10.0,9.187500000000004,8.166666666666668,10.0,9.333333333333334,5.384615384615386,4.666666666666667,7.466666666666668,7.466666666666668,8.166666666666668,8.166666666666668,9.333333333333334,5.716666666666668,5.716666666666668,5.716666666666668,1.54,10.0,5.4,10.0,10.0
Coalesce time pred3 [s],10.0,10.0,10.0,10.0,6.416666666666667,6.125000000000002,5.833333333333334,10.0,5.833333333333334,5.384615384615386,2.916666666666667,4.666666666666667,4.666666666666667,5.833333333333334,5.833333333333334,5.833333333333334,4.083333333333334,4.083333333333334,4.083333333333334,0.9800000000000001,10.0,3.6,7.583333333333336,7.350000000000001
Coalesce time pred4 [s],9.000000000000002,9.000000000000002,7.5,7.5,3.8500000000000005,3.062500000000001,3.5,6.416666666666667,3.5,5.384615384615386,1.75,2.8000000000000003,2.8000000000000003,3.5,3.5,3.5,2.45,2.45,2.45,0.56,7.5,1.8,4.550000000000001,4.200000000000001
Coalesce time pred5 [s],4.500000000000001,9.000000000000002,3.75,3.75,2.566666666666667,3.062500000000001,2.3333333333333335,3.8500000000000005,2.3333333333333335,5.384615384615386,1.1666666666666667,1.866666666666667,1.866666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.6333333333333335,1.6333333333333335,1.6333333333333335,0.42000000000000004,3.75,1.8,3.033333333333334,3.150000000000001
