Frequency Max [GHz],0.2,0.2,0.2,0.2,0.95,0.95,1.5,1.4,1.56,1.425,12.0,1.5,1.5,1.7,1.7,1.5,11.0,11.0,13.5,13.5,0.35,0.35,1.05,1.05
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support pred3 [uv-pixels],2.709488996879716,4.066183599576295,3.0244822650883125,3.0244822650883125,3.350180453089186,8.16509968529259,3.0362945300237265,3.7833346046687013,3.0676795973046747,9.816313037570584,2.3557437963572787,2.3786840544288705,2.3786840544288705,2.4622916044725685,2.4622916044725685,2.580609302308308,1.7595315636923368,1.7595315636923368,1.6535277033347595,7.498365680694913,2.673073478964779,7.341400653375085,2.2050885894658507,3.421633241389383
W kernel support pred4 [uv-pixels],3.608223202738827,5.416247979964888,4.02793958642596,4.02793958642596,4.920442654580031,12.004189191483352,4.459081540753387,5.557205712406611,4.505209741375619,16.084962597566452,3.4589974023353736,3.4927036301467105,3.4927036301467105,3.615551611697627,3.615551611697627,3.7894086401166716,2.583109857503495,2.583109857503495,2.4274082854114707,11.02261833122394,3.559703616449814,9.783701855935925,3.2376479863253773,5.025474966505697
W kernel support pred5 [uv-pixels],4.78962778682035,7.1917146658133895,5.347147170713127,5.347147170713127,6.339365054509821,15.478399222076387,5.7445910436948955,7.16036345862245,5.804055405448293,20.748137239207825,4.455533419752761,4.49897384629134,4.49897384629134,4.65730288794286,4.65730288794286,4.881381798887329,3.3268290087804537,3.3268290087804537,3.1262140710328437,14.211342097538523,4.7251822904780365,12.998394678801779,4.170268697280842,6.474778518980072
W kernel support pred6 [uv-pixels],6.367669476563801,9.56451140240359,7.10948462356468,7.10948462356468,8.91239445724874,17.12278975238753,8.075368177263972,10.068017619049849,8.159045959793826,29.225902547117684,6.261786087966311,6.322890788991042,6.322890788991042,6.545608709058538,6.545608709058538,6.860834594158096,4.67442383589276,4.67442383589276,4.392352607820983,20.002562710276134,6.281927426669733,17.29913957328508,5.860544963581923,9.102981917277907
W kernel support pred7 [uv-pixels],9.508261760123856,14.290568957589823,10.617545861476614,10.617545861476614,11.262114373830174,27.563960048102334,10.203529370901197,12.723868079640212,10.309349698020407,36.98993294995829,7.910427424611423,7.987676157929981,7.987676157929981,8.269244263577383,8.269244263577383,8.667784176056955,5.904001961124147,5.904001961124147,5.547531849048052,25.300202584265218,9.380063934975821,25.878799387020702,7.403199556489603,11.50317053720723
W kernel support pred8 [uv-pixels],,,,,12.924229681537556,31.654581322733485,11.708745951882744,14.602819834336605,11.830245378138526,42.49359482519991,9.076172907990735,9.164848192928849,9.164848192928849,9.488071238418984,9.488071238418984,9.945585865301044,6.773203591438846,6.773203591438846,6.364099714571488,29.052354256086463,,,8.493933323927637,13.201029784953732
W kernel support pred9 [uv-pixels],,,,,15.040054009623029,36.868458416531006,13.624645934435787,16.994995823431285,13.766122571339853,49.51264078352582,10.55962788468269,10.662856465647286,10.662856465647286,11.039134514256007,11.039134514256007,11.571768392367202,7.879040747390154,7.879040747390154,7.402928385726109,33.83408791200243,,,9.881855454830074,15.362404532512176
W kernel support pred10 [uv-pixels],,,,,17.064807242631044,41.86450469935863,15.45788443310888,19.28452899339693,15.618496475636277,56.24251454566885,11.978728527017315,12.095891578623764,12.095891578623764,12.52297031837904,12.52297031837904,13.127536016388335,8.936651754190835,8.936651754190835,8.396407922109114,38.41531955809848,,,11.209490364438562,17.43079669990173
W kernel support pred11 [uv-pixels],,,,,19.015942706194615,46.68469364805807,17.224296160010777,21.491101759879207,17.4033637743508,62.73907538246621,13.345790092429056,13.476387658261485,13.476387658261485,13.952445862556331,13.952445862556331,14.626368456127533,9.955256390142669,9.955256390142669,9.353206456437887,42.83465843691619,,,12.48837224205008,19.424027680489925
AW kernel support pred0 [uv-pixels],10.067405507379975,10.15102649106671,10.083899440113585,10.083899440113585,10.10703003230277,10.618178858899212,10.088017412871505,10.13625555687032,10.08983617569048,11.082906923337829,10.053103616827656,10.054139087161612,10.054139087161612,10.057996706991448,10.057996706991448,10.063680236441526,10.029675130298559,10.029675130298559,10.026214325051523,10.523926584444556,10.065613588727913,10.483341122150605,10.04654963817958,10.11161298760949
AW kernel support pred1 [uv-pixels],10.117379207905234,10.262274368548603,10.146023451615289,10.146023451615289,10.195982642784605,11.111397796520478,10.161281872657549,10.249226765150121,10.164603526080924,11.918328977107826,10.09742982207384,10.099325943513938,10.099325943513938,10.10638861052782,10.10638861052782,10.116790510629528,10.05448953758698,10.05448953758698,10.048140286805708,10.944984633190904,10.114265366925139,10.830402706906785,10.085424993373987,10.20433977054326
AW kernel support pred2 [uv-pixels],10.20739088321281,10.46110337809582,10.25774718322071,10.25774718322071,10.300468597517519,11.669871784162853,10.247473859672045,10.381611793043577,10.2525504958411,12.84015061242058,10.149726872186646,10.15263389076256,10.15263389076256,10.163459587110598,10.163459587110598,10.179396913332821,10.083821835787452,10.083821835787452,10.074065388782433,11.424635743278534,10.201910750590397,11.433728568063973,10.131315579991568,10.313218350097246
AW kernel support pred3 [uv-pixels],10.360566134348655,10.795084486258698,10.447367753258892,10.447367753258892,10.54626517153162,12.910029158401043,10.450793485331724,10.691754801288873,10.459954976562727,14.012851303413528,10.273730035098051,10.279014438689838,10.279014438689838,10.298683408351579,10.298683408351579,10.327610777481894,10.153617647106355,10.153617647106355,10.135785804055624,12.499019476799903,10.35110244485798,12.405489250866976,10.240235138286254,10.569180386320447
AW kernel support pred4 [uv-pixels],10.631052378799703,11.372587312501661,10.780737326913096,10.780737326913096,11.14498792807828,15.623717808029102,10.949128193015534,11.440390523491962,10.967995022509163,18.940063932445206,10.5813355976154,10.592401930064776,10.592401930064776,10.633541905538781,10.633541905538781,10.693905640213536,10.328235886923368,10.328235886923368,10.290398971083883,14.88281273401752,10.614682747824633,13.990025804330887,10.511059151358477,11.191755833602492
AW kernel support pred5 [uv-pixels],11.087855263137303,12.317498115870585,11.339840513219988,11.339840513219988,11.840082317886996,18.427719405232295,11.532576739796689,12.299219684987161,11.562312015748129,23.032264302430242,10.947683684439085,10.965435042423692,10.965435042423692,11.0313403623513,11.0313403623513,11.127797997200906,10.538870492309085,10.538870492309085,10.47727132501224,17.377060862334307,11.06016942357789,16.399947079972616,10.834719239902824,11.913133797193995
AW kernel support pred6 [uv-pixels],11.855261049962683,13.837625459836246,12.269668765402862,12.269668765402862,13.395177302357666,19.82901734591171,12.853465338124488,14.190312849881014,12.906201260402998,30.88937324863714,11.798727262355396,11.831269920406168,11.831269920406168,11.95177783311349,11.95177783311349,12.127285406404704,11.038579537130781,11.038579537130781,10.922122569877697,22.362971962119197,11.80942895291493,19.981497190551007,11.5907716425683,13.52273196459534
AW kernel support pred7 [uv-pixels],13.798805806990458,17.44191391824962,14.585344703522065,14.585344703522065,15.06104976982787,29.321867156328597,14.28677751009105,16.183226467799525,14.362544732604785,38.31781752191022,12.750484776668083,12.798553449666219,12.798553449666219,12.976147374729816,12.976147374729816,13.233687412157783,11.612804965078755,11.612804965078755,11.43569454017562,27.204783601507664,13.710784055780112,27.743688610450903,12.442160731689969,15.242143300995187
AW kernel support pred8 [uv-pixels],,,,,16.341227397632537,33.196573900291995,15.397880755666689,17.69865382208756,15.490471448828405,43.65438810896627,13.504699724753046,13.56445510882878,13.56445510882878,13.784901008905127,13.784901008905127,14.103711504567725,12.077925603806314,12.077925603806314,11.853344050393918,30.725222339653545,,,13.120476489492614,16.561014080763155
AW kernel support pred9 [uv-pixels],,,,,18.061096993604174,38.200565781300625,16.900620605135707,19.71876981554496,17.01487968365197,50.51239053300154,14.543236952720267,14.618362015184742,14.618362015184742,14.895049205149954,14.895049205149954,15.293979983202172,12.731036214661962,12.731036214661962,12.441999384511695,35.28095101945396,,,14.058843026015863,18.33039751398072
AW kernel support pred10 [uv-pixels],,,,,19.778969796937172,43.04226706067678,18.41049133367575,21.723099652148328,18.545550198348465,57.12460452746935,15.604164095650187,15.694285363845697,15.694285363845697,16.025753822987625,16.025753822987625,16.50249077750304,13.41132896381571,13.41132896381571,13.057552067461065,39.69555109518979,,,15.021740053350708,20.095588411223616
AW kernel support pred11 [uv-pixels],,,,,21.485019827900462,47.74369718625731,19.916736133407053,23.70374347763414,20.07179789312322,63.53102848094604,16.67663374878688,16.78132963491697,16.78132963491697,17.165976393656297,17.165976393656297,17.718088334083973,14.11053258362265,14.11053258362265,13.692423854699774,43.98645204386546,,,15.998732489044466,21.84703300982627
"W kernel support pred, ff0 [pixels]",80.5392440590398,81.20821192853369,80.67119552090868,80.67119552090868,80.85624025842216,84.9454308711937,80.70413930297204,81.09004445496257,80.71868940552385,88.66325538670263,80.42482893462125,80.4331126972929,80.4331126972929,80.46397365593158,80.46397365593158,80.5094418915322,80.23740104238847,80.23740104238847,80.20971460041218,84.19141267555645,80.52490870982331,83.86672897720484,80.37239710543663,80.89290390087592
"W kernel support pred, ff1 [pixels]",80.93903366324187,82.09819494838882,81.16818761292231,81.16818761292231,81.56786114227684,88.89118237216383,81.29025498126039,81.99381412120097,81.3168282086474,95.34663181686261,80.77943857659072,80.7946075481115,80.7946075481115,80.85110888422255,80.85110888422255,80.93432408503622,80.43591630069584,80.43591630069584,80.38512229444567,87.55987706552723,80.91412293540111,86.64322165525428,80.6833999469919,81.63471816434608
"W kernel support pred, ff2 [pixels]",81.65912706570248,83.68882702476655,82.06197746576568,82.06197746576568,82.40374878014015,93.35897427330282,81.97979087737636,83.05289434434862,82.0204039667288,102.72120489936464,81.19781497749317,81.22107112610048,81.22107112610048,81.30767669688478,81.30767669688478,81.43517530666257,80.67057468629962,80.67057468629962,80.59252311025946,91.39708594622827,81.61528600472317,91.46982854451178,81.05052463993255,82.50574680077797
"W kernel support pred, ff3 [pixels]",82.88452907478924,86.36067589006959,83.57894202607113,83.57894202607113,84.37012137225295,103.28023326720835,83.6063478826538,85.53403841031098,83.67963981250182,112.10281042730823,82.18984028078441,82.2321155095187,82.2321155095187,82.38946726681263,82.38946726681263,82.62088621985515,81.22894117685084,81.22894117685084,81.086286432445,99.99215581439923,82.80881955886385,99.24391400693581,81.92188110629003,84.55344309056358
"W kernel support pred, ff4 [pixels]",85.04841903039762,90.98069850001329,86.24589861530477,86.24589861530477,89.15990342462624,124.98974246423282,87.59302554412427,91.5231241879357,87.7439601800733,151.52051145956165,84.6506847809232,84.73921544051821,84.73921544051821,85.06833524431025,85.06833524431025,85.55124512170829,82.62588709538694,82.62588709538694,82.32319176867107,119.06250187214016,84.91746198259706,111.9202064346471,84.08847321086782,89.53404666881994
"W kernel support pred, ff5 [pixels]",88.70284210509843,98.53998492696468,90.7187241057599,90.7187241057599,94.72065854309596,147.42175524185836,92.26061391837351,98.39375747989729,92.49849612598503,184.25811441944194,87.58146947551268,87.72348033938954,87.72348033938954,88.2507228988104,88.2507228988104,89.02238397760725,84.31096393847268,84.31096393847268,83.81817060009791,139.01648689867446,88.48135538862311,131.19957663978093,86.6777539192226,95.30507037755196
"W kernel support pred, ff6 [pixels]",94.84208839970147,110.70100367868997,98.1573501232229,98.1573501232229,107.16141841886133,158.63213876729367,102.8277227049959,113.52250279904811,103.24961008322398,247.1149859890971,94.38981809884316,94.65015936324934,94.65015936324934,95.61422266490791,95.61422266490791,97.01828325123763,88.30863629704625,88.30863629704625,87.37698055902158,178.90377569695357,94.47543162331944,159.85197752440806,92.7261731405464,108.18185571676273
"W kernel support pred, ff7 [pixels]",110.39044645592367,139.53531134599697,116.68275762817652,116.68275762817652,120.48839815862296,234.57493725062878,114.2942200807284,129.4658117423962,114.90035786083828,306.5425401752818,102.00387821334466,102.38842759732975,102.38842759732975,103.80917899783853,103.80917899783853,105.86949929726227,92.90243972063004,92.90243972063004,91.48555632140496,217.6382688120613,109.68627244624089,221.94950888360722,99.53728585351975,121.93714640796149
"W kernel support pred, ff8 [pixels]",,,,,130.7298191810603,265.57259120233596,123.18304604533351,141.5892305767005,123.92377159062724,349.2351048717302,108.03759779802436,108.51564087063024,108.51564087063024,110.27920807124102,110.27920807124102,112.8296920365418,96.62340483045051,96.62340483045051,94.82675240315135,245.80177871722836,,,104.96381191594091,132.48811264610524
"W kernel support pred, ff9 [pixels]",,,,,144.4887759488334,305.604526250405,135.20496484108565,157.75015852435968,136.11903746921575,404.09912426401235,116.34589562176214,116.94689612147793,116.94689612147793,119.16039364119963,119.16039364119963,122.35183986561738,101.8482897172957,101.8482897172957,99.53599507609356,282.24760815563167,,,112.4707442081269,146.64318011184577
"W kernel support pred, ff10 [pixels]",,,,,158.23175837549738,344.3381364854142,147.283930669406,173.78479721718662,148.36440158678772,456.9968362197548,124.8333127652015,125.55428291076558,125.55428291076558,128.206030583901,128.206030583901,132.01992622002433,107.29063171052567,107.29063171052567,104.46041653968852,317.56440876151834,,,120.17392042680567,160.76470728978893
"W kernel support pred, ff11 [pixels]",,,,,171.8801586232037,381.94957749005846,159.33388906725642,189.62994782107313,160.57438314498577,508.24822784756833,133.41306999029504,134.25063707933575,134.25063707933575,137.32781114925038,137.32781114925038,141.74470667267178,112.8842606689812,112.8842606689812,109.53939083759819,351.8916163509237,,,127.98985991235573,174.77626407861015
W kernel support bw0 [uv-pixels],1.1630363923904807,1.744516787634368,1.2980862522664234,1.2980862522664234,1.4669887776905968,3.57011516334896,1.3296974552125382,1.6564047555426915,1.3434262362602287,4.778161348402709,1.0319362047497356,1.0419754238900887,1.0419754238900887,1.0785628205398143,1.0785628205398143,1.130336189522291,0.7709625278373922,0.7709625278373922,0.724550682746461,3.2791814153503074,1.1474218568530121,3.1464966364790388,0.9660018801256236,1.4982380355580691
W kernel support bw1 [uv-pixels],1.5366723907694617,2.3052711804405184,1.7151652633864227,1.7151652633864227,1.9894878868605719,4.843878713646755,1.8032330120089604,2.246474857074884,1.8218575252792852,6.484332317715379,1.3993173377422854,1.4129347165859032,1.4129347165859032,1.4625630745394942,1.4625630745394942,1.5327916479299037,1.0453515492149252,1.0453515492149252,0.9824068522398863,4.448897461257677,1.5160355908029637,4.159041090657056,1.3098844593981112,2.0318834003679647
W kernel support bw2 [uv-pixels],2.0471513482632373,3.0715930536462293,2.285033320298069,2.285033320298069,2.4697476244435435,6.015472338794377,2.238463871645438,2.7888821096384584,2.2615905177046494,8.054158413493282,1.7369385654039966,1.7538457514446684,1.7538457514446684,1.8154643424838501,1.8154643424838501,1.9026616933048803,1.2974832622827328,1.2974832622827328,1.2193414031616279,5.524699255760213,2.0196492178128107,5.543478056974902,1.625901405799223,2.522394246897693
W kernel support bw3 [uv-pixels],2.709488996879716,4.066183599576295,3.0244822650883125,3.0244822650883125,3.350180453089186,8.16509968529259,3.0362945300237265,3.7833346046687013,3.0676795973046747,9.816313037570584,2.3557437963572787,2.3786840544288705,2.3786840544288705,2.4622916044725685,2.4622916044725685,2.580609302308308,1.7595315636923368,1.7595315636923368,1.6535277033347595,7.498365680694913,2.673073478964779,7.341400653375085,2.2050885894658507,3.421633241389383
W kernel support bw4 [uv-pixels],3.608223202738827,5.416247979964888,4.02793958642596,4.02793958642596,4.920442654580031,12.004189191483352,4.459081540753387,5.557205712406611,4.505209741375619,16.084962597566452,3.4589974023353736,3.4927036301467105,3.4927036301467105,3.615551611697627,3.615551611697627,3.7894086401166716,2.583109857503495,2.583109857503495,2.4274082854114707,11.02261833122394,3.559703616449814,9.783701855935925,3.2376479863253773,5.025474966505697
W kernel support bw5 [uv-pixels],4.78962778682035,7.1917146658133895,5.347147170713127,5.347147170713127,6.339365054509821,15.478399222076387,5.7445910436948955,7.16036345862245,5.804055405448293,20.748137239207825,4.455533419752761,4.49897384629134,4.49897384629134,4.65730288794286,4.65730288794286,4.881381798887329,3.3268290087804537,3.3268290087804537,3.1262140710328437,14.211342097538523,4.7251822904780365,12.998394678801779,4.170268697280842,6.474778518980072
W kernel support bw6 [uv-pixels],6.367669476563801,9.56451140240359,7.10948462356468,7.10948462356468,8.91239445724874,17.12278975238753,8.075368177263972,10.068017619049849,8.159045959793826,29.225902547117684,6.261786087966311,6.322890788991042,6.322890788991042,6.545608709058538,6.545608709058538,6.860834594158096,4.67442383589276,4.67442383589276,4.392352607820983,20.002562710276134,6.281927426669733,17.29913957328508,5.860544963581923,9.102981917277907
W kernel support bw7 [uv-pixels],9.508261760123856,14.290568957589823,10.617545861476614,10.617545861476614,11.262114373830174,27.563960048102334,10.203529370901197,12.723868079640212,10.309349698020407,36.98993294995829,7.910427424611423,7.987676157929981,7.987676157929981,8.269244263577383,8.269244263577383,8.667784176056955,5.904001961124147,5.904001961124147,5.547531849048052,25.300202584265218,9.380063934975821,25.878799387020702,7.403199556489603,11.50317053720723
W kernel support bw8 [uv-pixels],,,,,12.924229681537556,31.654581322733485,11.708745951882744,14.602819834336605,11.830245378138526,42.49359482519991,9.076172907990735,9.164848192928849,9.164848192928849,9.488071238418984,9.488071238418984,9.945585865301044,6.773203591438846,6.773203591438846,6.364099714571488,29.052354256086463,,,8.493933323927637,13.201029784953732
W kernel support bw9 [uv-pixels],,,,,15.040054009623029,36.868458416531006,13.624645934435787,16.994995823431285,13.766122571339853,49.51264078352582,10.55962788468269,10.662856465647286,10.662856465647286,11.039134514256007,11.039134514256007,11.571768392367202,7.879040747390154,7.879040747390154,7.402928385726109,33.83408791200243,,,9.881855454830074,15.362404532512176
W kernel support bw10 [uv-pixels],,,,,17.064807242631044,41.86450469935863,15.45788443310888,19.28452899339693,15.618496475636277,56.24251454566885,11.978728527017315,12.095891578623764,12.095891578623764,12.52297031837904,12.52297031837904,13.127536016388335,8.936651754190835,8.936651754190835,8.396407922109114,38.41531955809848,,,11.209490364438562,17.43079669990173
W kernel support bw11 [uv-pixels],,,,,19.015942706194615,46.68469364805807,17.224296160010777,21.491101759879207,17.4033637743508,62.73907538246621,13.345790092429056,13.476387658261485,13.476387658261485,13.952445862556331,13.952445862556331,14.626368456127533,9.955256390142669,9.955256390142669,9.353206456437887,42.83465843691619,,,12.48837224205008,19.424027680489925
AW kernel support bw0 [uv-pixels],10.067405507379975,10.15102649106671,10.083899440113585,10.083899440113585,10.10703003230277,10.618178858899212,10.088017412871505,10.13625555687032,10.08983617569048,11.082906923337829,10.053103616827656,10.054139087161612,10.054139087161612,10.057996706991448,10.057996706991448,10.063680236441526,10.029675130298559,10.029675130298559,10.026214325051523,10.523926584444556,10.065613588727913,10.483341122150605,10.04654963817958,10.11161298760949
AW kernel support bw1 [uv-pixels],10.117379207905234,10.262274368548603,10.146023451615289,10.146023451615289,10.195982642784605,11.111397796520478,10.161281872657549,10.249226765150121,10.164603526080924,11.918328977107826,10.09742982207384,10.099325943513938,10.099325943513938,10.10638861052782,10.10638861052782,10.116790510629528,10.05448953758698,10.05448953758698,10.048140286805708,10.944984633190904,10.114265366925139,10.830402706906785,10.085424993373987,10.20433977054326
AW kernel support bw2 [uv-pixels],10.20739088321281,10.46110337809582,10.25774718322071,10.25774718322071,10.300468597517519,11.669871784162853,10.247473859672045,10.381611793043577,10.2525504958411,12.84015061242058,10.149726872186646,10.15263389076256,10.15263389076256,10.163459587110598,10.163459587110598,10.179396913332821,10.083821835787452,10.083821835787452,10.074065388782433,11.424635743278534,10.201910750590397,11.433728568063973,10.131315579991568,10.313218350097246
AW kernel support bw3 [uv-pixels],10.360566134348655,10.795084486258698,10.447367753258892,10.447367753258892,10.54626517153162,12.910029158401043,10.450793485331724,10.691754801288873,10.459954976562727,14.012851303413528,10.273730035098051,10.279014438689838,10.279014438689838,10.298683408351579,10.298683408351579,10.327610777481894,10.153617647106355,10.153617647106355,10.135785804055624,12.499019476799903,10.35110244485798,12.405489250866976,10.240235138286254,10.569180386320447
AW kernel support bw4 [uv-pixels],10.631052378799703,11.372587312501661,10.780737326913096,10.780737326913096,11.14498792807828,15.623717808029102,10.949128193015534,11.440390523491962,10.967995022509163,18.940063932445206,10.5813355976154,10.592401930064776,10.592401930064776,10.633541905538781,10.633541905538781,10.693905640213536,10.328235886923368,10.328235886923368,10.290398971083883,14.88281273401752,10.614682747824633,13.990025804330887,10.511059151358477,11.191755833602492
AW kernel support bw5 [uv-pixels],11.087855263137303,12.317498115870585,11.339840513219988,11.339840513219988,11.840082317886996,18.427719405232295,11.532576739796689,12.299219684987161,11.562312015748129,23.032264302430242,10.947683684439085,10.965435042423692,10.965435042423692,11.0313403623513,11.0313403623513,11.127797997200906,10.538870492309085,10.538870492309085,10.47727132501224,17.377060862334307,11.06016942357789,16.399947079972616,10.834719239902824,11.913133797193995
AW kernel support bw6 [uv-pixels],11.855261049962683,13.837625459836246,12.269668765402862,12.269668765402862,13.395177302357666,19.82901734591171,12.853465338124488,14.190312849881014,12.906201260402998,30.88937324863714,11.798727262355396,11.831269920406168,11.831269920406168,11.95177783311349,11.95177783311349,12.127285406404704,11.038579537130781,11.038579537130781,10.922122569877697,22.362971962119197,11.80942895291493,19.981497190551007,11.5907716425683,13.52273196459534
AW kernel support bw7 [uv-pixels],13.798805806990458,17.44191391824962,14.585344703522065,14.585344703522065,15.06104976982787,29.321867156328597,14.28677751009105,16.183226467799525,14.362544732604785,38.31781752191022,12.750484776668083,12.798553449666219,12.798553449666219,12.976147374729816,12.976147374729816,13.233687412157783,11.612804965078755,11.612804965078755,11.43569454017562,27.204783601507664,13.710784055780112,27.743688610450903,12.442160731689969,15.242143300995187
AW kernel support bw8 [uv-pixels],,,,,16.341227397632537,33.196573900291995,15.397880755666689,17.69865382208756,15.490471448828405,43.65438810896627,13.504699724753046,13.56445510882878,13.56445510882878,13.784901008905127,13.784901008905127,14.103711504567725,12.077925603806314,12.077925603806314,11.853344050393918,30.725222339653545,,,13.120476489492614,16.561014080763155
AW kernel support bw9 [uv-pixels],,,,,18.061096993604174,38.200565781300625,16.900620605135707,19.71876981554496,17.01487968365197,50.51239053300154,14.543236952720267,14.618362015184742,14.618362015184742,14.895049205149954,14.895049205149954,15.293979983202172,12.731036214661962,12.731036214661962,12.441999384511695,35.28095101945396,,,14.058843026015863,18.33039751398072
AW kernel support bw10 [uv-pixels],,,,,19.778969796937172,43.04226706067678,18.41049133367575,21.723099652148328,18.545550198348465,57.12460452746935,15.604164095650187,15.694285363845697,15.694285363845697,16.025753822987625,16.025753822987625,16.50249077750304,13.41132896381571,13.41132896381571,13.057552067461065,39.69555109518979,,,15.021740053350708,20.095588411223616
AW kernel support bw11 [uv-pixels],,,,,21.485019827900462,47.74369718625731,19.916736133407053,23.70374347763414,20.07179789312322,63.53102848094604,16.67663374878688,16.78132963491697,16.78132963491697,17.165976393656297,17.165976393656297,17.718088334083973,14.11053258362265,14.11053258362265,13.692423854699774,43.98645204386546,,,15.998732489044466,21.84703300982627
"W kernel support bw, ff0 [pixels]",80.5392440590398,81.20821192853369,80.67119552090868,80.67119552090868,80.85624025842216,84.9454308711937,80.70413930297204,81.09004445496257,80.71868940552385,88.66325538670263,80.42482893462125,80.4331126972929,80.4331126972929,80.46397365593158,80.46397365593158,80.5094418915322,80.23740104238847,80.23740104238847,80.20971460041218,84.19141267555645,80.52490870982331,83.86672897720484,80.37239710543663,80.89290390087592
"W kernel support bw, ff1 [pixels]",80.93903366324187,82.09819494838882,81.16818761292231,81.16818761292231,81.56786114227684,88.89118237216383,81.29025498126039,81.99381412120097,81.3168282086474,95.34663181686261,80.77943857659072,80.7946075481115,80.7946075481115,80.85110888422255,80.85110888422255,80.93432408503622,80.43591630069584,80.43591630069584,80.38512229444567,87.55987706552723,80.91412293540111,86.64322165525428,80.6833999469919,81.63471816434608
"W kernel support bw, ff2 [pixels]",81.65912706570248,83.68882702476655,82.06197746576568,82.06197746576568,82.40374878014015,93.35897427330282,81.97979087737636,83.05289434434862,82.0204039667288,102.72120489936464,81.19781497749317,81.22107112610048,81.22107112610048,81.30767669688478,81.30767669688478,81.43517530666257,80.67057468629962,80.67057468629962,80.59252311025946,91.39708594622827,81.61528600472317,91.46982854451178,81.05052463993255,82.50574680077797
"W kernel support bw, ff3 [pixels]",82.88452907478924,86.36067589006959,83.57894202607113,83.57894202607113,84.37012137225295,103.28023326720835,83.6063478826538,85.53403841031098,83.67963981250182,112.10281042730823,82.18984028078441,82.2321155095187,82.2321155095187,82.38946726681263,82.38946726681263,82.62088621985515,81.22894117685084,81.22894117685084,81.086286432445,99.99215581439923,82.80881955886385,99.24391400693581,81.92188110629003,84.55344309056358
"W kernel support bw, ff4 [pixels]",85.04841903039762,90.98069850001329,86.24589861530477,86.24589861530477,89.15990342462624,124.98974246423282,87.59302554412427,91.5231241879357,87.7439601800733,151.52051145956165,84.6506847809232,84.73921544051821,84.73921544051821,85.06833524431025,85.06833524431025,85.55124512170829,82.62588709538694,82.62588709538694,82.32319176867107,119.06250187214016,84.91746198259706,111.9202064346471,84.08847321086782,89.53404666881994
"W kernel support bw, ff5 [pixels]",88.70284210509843,98.53998492696468,90.7187241057599,90.7187241057599,94.72065854309596,147.42175524185836,92.26061391837351,98.39375747989729,92.49849612598503,184.25811441944194,87.58146947551268,87.72348033938954,87.72348033938954,88.2507228988104,88.2507228988104,89.02238397760725,84.31096393847268,84.31096393847268,83.81817060009791,139.01648689867446,88.48135538862311,131.19957663978093,86.6777539192226,95.30507037755196
"W kernel support bw, ff6 [pixels]",94.84208839970147,110.70100367868997,98.1573501232229,98.1573501232229,107.16141841886133,158.63213876729367,102.8277227049959,113.52250279904811,103.24961008322398,247.1149859890971,94.38981809884316,94.65015936324934,94.65015936324934,95.61422266490791,95.61422266490791,97.01828325123763,88.30863629704625,88.30863629704625,87.37698055902158,178.90377569695357,94.47543162331944,159.85197752440806,92.7261731405464,108.18185571676273
"W kernel support bw, ff7 [pixels]",110.39044645592367,139.53531134599697,116.68275762817652,116.68275762817652,120.48839815862296,234.57493725062878,114.2942200807284,129.4658117423962,114.90035786083828,306.5425401752818,102.00387821334466,102.38842759732975,102.38842759732975,103.80917899783853,103.80917899783853,105.86949929726227,92.90243972063004,92.90243972063004,91.48555632140496,217.6382688120613,109.68627244624089,221.94950888360722,99.53728585351975,121.93714640796149
"W kernel support bw, ff8 [pixels]",,,,,130.7298191810603,265.57259120233596,123.18304604533351,141.5892305767005,123.92377159062724,349.2351048717302,108.03759779802436,108.51564087063024,108.51564087063024,110.27920807124102,110.27920807124102,112.8296920365418,96.62340483045051,96.62340483045051,94.82675240315135,245.80177871722836,,,104.96381191594091,132.48811264610524
"W kernel support bw, ff9 [pixels]",,,,,144.4887759488334,305.604526250405,135.20496484108565,157.75015852435968,136.11903746921575,404.09912426401235,116.34589562176214,116.94689612147793,116.94689612147793,119.16039364119963,119.16039364119963,122.35183986561738,101.8482897172957,101.8482897172957,99.53599507609356,282.24760815563167,,,112.4707442081269,146.64318011184577
"W kernel support bw, ff10 [pixels]",,,,,158.23175837549738,344.3381364854142,147.283930669406,173.78479721718662,148.36440158678772,456.9968362197548,124.8333127652015,125.55428291076558,125.55428291076558,128.206030583901,128.206030583901,132.01992622002433,107.29063171052567,107.29063171052567,104.46041653968852,317.56440876151834,,,120.17392042680567,160.76470728978893
