,Ingest (Low) [blcoal] [spbf],ICAL (Low) [blcoal] [spbf],RCAL (Low) [blcoal] [spbf],DPrepA (Low) [blcoal] [spbf],DPrepA_Image (Low) [blcoal] [spbf],DPrepB (Low) [blcoal] [spbf],DPrepC (Low) [blcoal] [spbf],DPrepD (Low) [blcoal] [spbf],Fast_Img (Low) [blcoal] [spbf],Ingest (Mid1) [blcoal] [spbf],ICAL (Mid1) [blcoal] [spbf],RCAL (Mid1) [blcoal] [spbf],DPrepA (Mid1) [blcoal] [spbf],DPrepA_Image (Mid1) [blcoal] [spbf],DPrepB (Mid1) [blcoal] [spbf],DPrepC (Mid1) [blcoal] [spbf],DPrepD (Mid1) [blcoal] [spbf],Fast_Img (Mid1) [blcoal] [spbf],Ingest (Mid2) [blcoal] [spbf],ICAL (Mid2) [blcoal] [spbf],RCAL (Mid2) [blcoal] [spbf],DPrepA (Mid2) [blcoal] [spbf],DPrepA_Image (Mid2) [blcoal] [spbf],DPrepB (Mid2) [blcoal] [spbf],DPrepC (Mid2) [blcoal] [spbf],DPrepD (Mid2) [blcoal] [spbf],Fast_Img (Mid2) [blcoal] [spbf],Ingest (Mid5A) [blcoal] [spbf],ICAL (Mid5A) [blcoal] [spbf],RCAL (Mid5A) [blcoal] [spbf],DPrepA (Mid5A) [blcoal] [spbf],DPrepA_Image (Mid5A) [blcoal] [spbf],DPrepB (Mid5A) [blcoal] [spbf],DPrepC (Mid5A) [blcoal] [spbf],DPrepD (Mid5A) [blcoal] [spbf],Fast_Img (Mid5A) [blcoal] [spbf],Ingest (Mid5B) [blcoal] [spbf],ICAL (Mid5B) [blcoal] [spbf],RCAL (Mid5B) [blcoal] [spbf],DPrepA (Mid5B) [blcoal] [spbf],DPrepA_Image (Mid5B) [blcoal] [spbf],DPrepB (Mid5B) [blcoal] [spbf],DPrepC (Mid5B) [blcoal] [spbf],DPrepD (Mid5B) [blcoal] [spbf],Fast_Img (Mid5B) [blcoal] [spbf],Ingest (Mid5C) [blcoal] [spbf],ICAL (Mid5C) [blcoal] [spbf],RCAL (Mid5C) [blcoal] [spbf],DPrepA (Mid5C) [blcoal] [spbf],DPrepA_Image (Mid5C) [blcoal] [spbf],DPrepB (Mid5C) [blcoal] [spbf],DPrepC (Mid5C) [blcoal] [spbf],DPrepD (Mid5C) [blcoal] [spbf],Fast_Img (Mid5C) [blcoal] [spbf]
"Channels backward, no-smear9",,,,,,,,,,55245.639170555,17899.958417113157,17899.958417113157,17899.958417113157,19888.781652859445,22374.810697404097,15102.21386022389,100678.31304361316,64387.887423621025,30132.583568244918,12203.880775232541,12203.880775232541,13947.248033770105,13947.248033770105,16271.737711798904,10982.824176836979,54912.88101689317,35119.03080474535,21206.396787594203,11451.55409312558,11451.55409312558,13741.821508373107,13741.821508373107,13741.821508373107,11593.957357958352,38646.01815217868,24715.707034426418,9681.719805811686,6273.789610246891,6273.789610246891,6273.789610246891,6273.789610246891,7842.212029786747,17643.728363088867,17643.728363088867,11283.885221562772,36456.12107261481,19686.47459016477,19686.47459016477,19686.47459016477,19686.47459016477,23623.695938386394,19931.281450115563,66436.74651652182,42489.01100007879
"Channels backward, no-smear10",,,,,,,,,,65290.200964363954,21154.396439210148,21154.396439210148,21154.396439210148,23504.823899465737,26442.85822453133,17847.97105410027,118983.36099533516,76094.67617268747,35611.17876840851,14422.711831578674,14422.711831578674,16483.05495522998,16483.05495522998,19230.1791200106,12979.644942641835,64896.98484398008,41504.25277471908,25062.065836560167,13533.615379753917,13533.615379753917,16240.295052214517,16240.295052214517,16240.295052214517,13701.910147255921,45672.52744954128,29209.432492013344,11442.014328212696,7414.460460822171,7414.460460822171,7414.460460822171,7414.460460822171,9268.050593015527,20851.660804924362,20851.660804924362,13335.48254691276,43084.43984028982,23265.766724891524,23265.766724891524,23265.766724891524,23265.766724891524,27918.846499861975,23555.08392291557,78516.08809186322,50214.21884546187
"Channels backward, no-smear11",,,,,,,,,,75334.76275845508,24408.834461039172,24408.834461039172,24408.834461039172,27120.86614583087,30510.905751541883,20593.728247660394,137288.40894903094,87801.4649224931,41089.773967896894,16641.54288784227,16641.54288784227,19018.861876534043,19018.861876534043,22188.620528023996,14976.465708384547,74881.08867071281,47889.47474523953,28917.734885444417,15615.676666319912,15615.676666319912,18738.76859601465,18738.76859601465,18738.76859601465,15809.862936518966,52699.03674708295,33703.157949091255,13202.3088507373,8555.131311379297,8555.131311379297,8555.131311379297,8555.131311379297,10693.889156165913,24059.59324690075,24059.59324690075,15387.079872106855,49712.75860750632,26845.05885953878,26845.05885953878,26845.05885953878,26845.05885953878,32213.99706127872,27178.88639584766,90595.4296673419,57939.42669078791
Frequencies predict ifft,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100,0,500,500,500,500,100,500,500,100
Frequencies predict kernels0,6965.43862281431,295.92784479960636,295.92784448287426,295.6344777896915,296.0841938773866,295.164431859029,595.7190196732032,13537.461113775895,568.4362556970387,6535.104859086754,250.91407562135439,250.91407536309563,249.4750572396417,250.46159768819675,249.95843174602032,456.3235124181452,11909.018326105532,320.9447391063214,1803.49588483093,141.59109378973372,141.59109373005177,140.93812173055994,141.392102156921,141.14717284290143,257.2147570323884,3286.4070183868507,181.06580428946253,411.37818646118035,100.0,100.0,100.0,100.0,100.0,179.84982611111045,749.510569799473,126.76079324381075,108.7546134826685,100.0,100.0,100.0,100.0,100.0,100.0,198.1105151818147,100.0,658.6323714193409,167.05976237881694,167.05976237873307,166.555108435587,166.79824749321455,166.68920563667945,304.8093855185414,1199.9786170230032,214.8627280819143
Frequencies predict kernels1,9312.784684896713,298.19691867081707,298.1969181218335,297.6882758585597,298.46785854682236,296.87259133787796,615.4087227215862,18099.881753647216,568.7191275714604,8986.551469016284,253.42736523127377,253.4273647607892,250.8001182090479,252.60250596495487,251.68390866770662,460.50311439868693,16376.495217053138,321.1775679609643,2465.1314922041943,143.0107563404107,143.01075623169154,141.81913351718825,142.64805659033473,142.20109219634554,259.3376633327599,4492.161107768407,181.0986895150543,552.913010864576,100.0,100.0,100.0,100.0,100.0,181.14314666645768,1007.4413462597746,126.76322321000433,141.92211651754783,100.0,100.0,100.0,100.0,100.0,100.0,258.55443045554637,100.0,883.6403917032022,167.9421400295691,167.94214002940805,167.01769379125264,167.46334644512325,167.2635416499971,306.9678180139405,1610.0295941046502,214.8663821777743
Frequencies predict kernels2,12588.334561202259,302.2695277008333,302.2695267391307,301.37795507098343,302.74400945021455,299.94595138428696,649.6369597830658,24466.406326993965,569.622148463563,11285.144701150904,256.3758504971499,256.3758497801876,252.36202889508613,255.11786559689293,253.71455070639993,465.4107485037654,20565.414571817124,321.63094464022424,3081.9726616349126,144.67622771866672,144.67622755299834,142.8566418001175,144.12318117703038,143.44069988567912,261.8326361438705,5616.2825362524845,181.16275284055416,684.988123035448,100.38759166798526,100.38759166802633,100.0,100.25141259695162,100.0,182.66477007531898,1248.1329006749827,126.76795654369104,173.39071856467706,100.0,100.0,100.0,100.0,100.0,100.0,315.90229956567913,100.0,1093.7803691186466,168.9822702859131,168.98227028565572,167.56433709671043,168.24836694664162,167.94179778109466,309.50754841992006,1992.9852985756581,214.87349993375022
Frequencies predict kernels3,16942.36379799136,309.15852058120873,309.1585189330521,307.62905998904387,309.9712683567764,305.166221422443,704.7674519876616,32929.117993918495,572.3471355203595,15598.826171491737,263.29679706383274,263.29679577853074,256.05937621764343,261.0375586733084,258.50763096634563,476.94807754366934,28426.59834025773,323.4898038917681,4231.545704343195,148.5855013358457,148.5855010388534,145.30844053575953,147.59269371016137,146.3636712129524,267.7075262550282,7711.24596695844,181.42596454196993,930.2882700105453,102.40233577354229,102.40233577361705,100.87784615160527,102.15647578280401,100.85684308822972,186.2545559288374,1695.1639377638774,126.78740920165475,232.37595802553636,100.0,100.0,100.0,100.0,100.0,100.18482222609464,423.3960455988922,100.0,1484.2025927121103,171.4445940688604,171.44459406840107,168.8643388563824,170.11115329439437,169.55283340184303,315.5004186106682,2704.4844692194742,214.9027516495355
Frequencies predict kernels4,23016.04974033832,321.20369365514676,321.20369083978596,318.58699612558047,322.59086661145574,314.35580699210635,794.6622899386352,44734.24150487495,580.9235154001583,23570.993753474908,280.073679858609,280.0736772499147,265.19520091899676,275.4704656512525,270.27205269205405,505.0102762643426,42954.9483909275,332.9430346251011,6333.876974677991,158.0615020453172,158.06150144256353,151.34261802673998,156.0405059206572,153.52139543988852,282.04856979045724,11542.500677047814,182.78034482061048,1374.9061185830358,107.33836995584048,107.33836995599897,104.17678348146224,106.83156384400853,104.1329009100145,195.05535140350543,2505.4283510725713,126.88779493556193,339.78972696741937,100.0,100.0,100.0,100.0,100.0,117.73558381634906,619.1451657356973,100.0,2191.858115983332,177.52955067017572,177.52955066922846,172.11226090664695,174.7403321283736,173.56593191359664,330.19929803631214,3994.104507166983,215.05370784657586
Frequencies predict kernels5,31255.193681948327,341.23581672889355,341.23581205541365,336.8822018550743,343.53579073654856,329.79910271263265,931.3833093057151,60748.258825710844,606.6073626612161,31041.01726995775,299.42617096273716,299.42616690969834,276.0139637426681,292.2475281432064,284.07279867782165,537.5259350124119,56568.19916960008,353.1415823259769,8283.442756222714,168.9917167568189,168.99171582039511,158.44815547514548,165.84282501316744,161.89123513713557,298.7461698078757,15095.358017627677,185.76512484910464,1782.7273726736255,113.11409365082794,113.11409365107573,108.09479878778663,112.31454720296246,108.02458283271153,205.36294891735943,3248.6352457018106,127.11108348482301,438.2937608458435,100.0,100.0,100.0,100.0,100.0,136.28952589979372,798.6573308752038,100.0,2840.766890432387,184.7367417060549,184.73674170453654,176.0218505046947,180.2681051138752,178.3750270269409,347.4255546297843,5176.665420899425,215.3895132367963
Frequencies predict kernels6,42656.23431852444,374.1613697019883,374.1613621611715,367.1154900447129,377.8667085944899,355.55701409383124,1134.573813643293,65536.0,680.8234890771128,45139.00928078515,342.3477061855232,342.3476991715823,300.9247149232235,329.84680128054686,315.40536143141856,610.077556969921,65536.0,433.4849908184258,11922.924818093803,193.23200750676543,193.23200588637124,174.6703411767721,187.756819436084,180.8063026760732,336.25261931621304,21727.89162303642,198.78195176314279,2534.2606542131684,126.1790067684264,126.17900676886474,117.15684356579322,124.75848937208974,117.02875052177973,228.7105841573167,4618.217414179959,128.12012201168568,619.27777307043,100.0,100.0,100.0,100.0,100.0,173.7126205511347,1128.4796827102862,100.0,4036.0280818077294,201.33627770272054,201.33627769997784,185.26373828462232,193.16362722242985,189.6587755074139,386.4797534168903,7354.890196921038,216.90772303582705
Frequencies predict kernels7,65536.0,454.66637080589146,454.66635694593407,469.7093091785,469.7093091785,469.7093091785,1574.9427455306127,65536.0,1011.1921537914995,58555.43751499453,387.9117270920275,387.9117171990381,328.486099014411,370.1985900869139,349.5123894090373,687.5789329153919,65536.0,565.3823411269022,15349.737941181267,218.96288624686633,218.96288396146494,192.44103829012238,211.2135245991404,201.2908869235778,376.603144036507,27972.86077373115,223.42910514562718,3232.2878913223817,140.3427511314492,140.34275113209208,127.23732230328544,138.29899930156668,127.04893385559639,254.05977446114287,5890.2910289908,130.18767983115583,786.652713208462,100.0,100.0,100.0,100.0,100.0,210.290932791609,1433.50108170211,100.0,5145.589342573645,219.70816203269044,219.70816202866837,195.8327717006809,207.6610959244077,202.4374938008316,428.92462501649794,9376.936799901678,220.02242511280556
Frequencies predict kernels8,,,,,,,,,,65536.0,422.71990655419614,422.71989459137814,350.1509311747069,401.24575224914713,376.0103948329681,747.0261945149172,65536.0,692.1474329256977,17827.06741642581,238.6188621929512,238.6188594295099,206.30913340379107,229.23004720136083,217.14897324298963,407.7000917262256,32487.506187336734,249.96349582703067,3732.0984667107155,151.31544334637292,151.31544334714377,135.19312853657405,148.81582854008195,134.95958787104377,273.71819202670133,6801.137786569669,132.63528170340362,906.0842343463268,100.0,100.0,100.0,100.0,100.0,236.96969564259226,1651.1511653173595,100.0,5939.750458246571,234.15305441707858,234.15305441209688,204.3591113965738,219.1963826077599,212.66444553365739,461.8638034882959,10824.203249914208,223.71625308711026
Frequencies predict kernels9,,,,,,,,,,65536.0,469.2776233281321,469.2776087246066,379.78105791077337,442.9949659926576,411.91017888948426,826.7800247435498,65536.0,890.8904083609574,21039.32717235818,264.90887392971047,264.90887055634494,225.1646859874691,253.42513065892294,238.57397466471588,449.56821251506796,38341.47673092655,295.31337461164065,4375.027234446489,166.14832260401897,166.14832260497678,146.11048482448118,163.0610570751871,145.81778931780565,300.3138904231862,7972.8008373799685,137.31605111753885,1059.241031033422,100.0,100.0,100.0,100.0,100.0,271.5592790232464,1930.2616490170035,100.0,6960.958972815726,253.91275088513024,253.91275087890222,216.28682124104415,235.13590844769539,226.86834217926514,506.45127884369157,12685.237230056628,230.7992898252916
Frequencies predict kernels10,,,,,,,,,,65536.0,515.6046166410407,515.6045995186079,409.8565531696975,484.72930748429496,448.03611035368624,906.3448767473504,65536.0,1117.9350945725434,24170.696539704742,291.0678697798565,291.06786582473273,244.20015382480025,277.58393783681015,260.08036446388394,491.46695395386274,44048.03393091892,350.6504186691082,4996.848595233864,181.0449422774268,181.04494227854758,157.2268179555815,177.39323316377244,156.8765879620151,327.04312982648275,9105.998089305007,143.79737652531196,1206.8998997114204,100.0,100.0,100.0,100.0,100.0,305.12459606880816,2199.3527972737593,100.0,7948.292837534071,273.9732336146964,273.9732336072631,228.66331924051087,251.47406287945833,241.50035173409418,551.2845499196599,14484.538593273315,240.64489972425974
Frequencies predict kernels11,,,,,,,,,,65536.0,561.4817086940748,561.4816891574404,440.10134823679573,526.2016736621476,484.11844784022077,985.2901213714107,65536.0,1369.302866892395,27237.895134715927,316.97228514707405,316.9722806343482,263.26050314213586,301.570347173028,281.5195278112136,533.137060722113,49637.64734611989,414.5082373488821,5601.7779200508385,195.90067559187156,195.90067559316444,168.43412205057462,191.70595199109243,168.02809755976523,353.7138357861001,10208.411566491804,152.1903066598548,1350.1381680792392,100.0,100.0,100.0,100.0,100.0,337.77976166322844,2460.3879146940108,100.0,8908.505263221075,294.1496916813041,294.149691672708,241.34096541521743,268.03610878200686,256.39528348379247,596.0365671001462,16234.414282222822,253.45240403612777
Frequencies predict de-grid0,65536.0,728.0592243433563,728.0592243433563,909.8309866017943,909.8309866017943,909.8309866017943,65536.0,65536.0,1963.754084524924,65536.0,814.1586879068773,814.1586879068773,814.1586879068773,904.5597563976627,1017.5610889260679,65536.0,65536.0,2927.246459022404,65536.0,555.0176765454198,555.0176765454198,634.2616500381702,634.2616500381702,739.9202789596652,65536.0,65536.0,1596.6154427183094,65536.0,520.732310694957,520.732310694957,624.8353800384707,624.8353800384707,624.8353800384707,65536.0,65536.0,1123.6483696216517,65536.0,285.2676338925193,285.2676338925193,285.2676338925193,285.2676338925193,356.5595643828025,65536.0,65536.0,512.9992577598294,65536.0,895.1908366040094,895.1908366040094,895.1908366040094,895.1908366040094,1074.1554517174807,65536.0,65536.0,1931.6697913193286
Frequencies predict de-grid1,65536.0,1054.506449513207,1054.506449513207,1317.8899577352893,1317.8899577352893,1317.8899577352893,65536.0,65536.0,2845.002876807837,65536.0,1220.9634817176923,1220.9634817176923,1220.9634817176923,1356.5650741686497,1526.0670626744802,65536.0,65536.0,4390.595064095621,65536.0,832.3715777641756,832.3715777641756,951.2375319971059,951.2375319971059,1109.7254693717287,65536.0,65536.0,2394.7681956579695,65536.0,780.9899815429653,780.9899815429653,937.1445813732993,937.1445813732993,937.1445813732993,65536.0,65536.0,1685.3640564542193,65536.0,427.85149409557937,427.85149409557937,427.85149409557937,427.85149409557937,534.7893878870661,65536.0,65536.0,769.4489255803708,65536.0,1342.6023701914512,1342.6023701914512,1342.6023701914512,1342.6023701914512,1611.049285867178,65536.0,65536.0,2897.3207797379746
Frequencies predict de-grid2,65536.0,1544.177180900574,1544.177180900574,1929.9783292924083,1929.9783292924083,1929.9783292924083,65536.0,65536.0,4166.876025758605,65536.0,1627.768254954736,1627.768254954736,1627.768254954736,1808.570373420898,2034.5730199598029,65536.0,65536.0,5853.943663441757,65536.0,1109.7254693717287,1109.7254693717287,1268.2134055444637,1268.2134055444637,1479.5306525735034,65536.0,65536.0,3192.9209452546934,65536.0,1041.2476473687243,1041.2476473687243,1249.4537785218913,1249.4537785218913,1249.4537785218913,65536.0,65536.0,2247.0797409596876,65536.0,570.4353523546921,570.4353523546921,570.4353523546921,570.4353523546921,713.0192098358275,65536.0,65536.0,1025.8985923202388,65536.0,1790.0138953853188,1790.0138953853188,1790.0138953853188,1790.0138953853188,2147.943113021092,65536.0,65536.0,3862.9717642657424
Frequencies predict de-grid3,65536.0,2241.586938882596,2241.586938882596,2801.7404981711366,2801.7404981711366,2801.7404981711366,65536.0,65536.0,6049.543817415792,65536.0,2441.3777808470027,2441.3777808470027,2441.3777808470027,2712.580953399158,3051.5849180597625,65536.0,65536.0,8780.640856407961,65536.0,1664.433242972053,1664.433242972053,1902.165144226012,1902.165144226012,2219.14101176475,65536.0,65536.0,4789.226441112072,65536.0,1561.7629739965976,1561.7629739965976,1874.0721686334662,1874.0721686334662,1874.0721686334662,65536.0,65536.0,3370.5111076432245,65536.0,855.6030669285161,855.6030669285161,855.6030669285161,855.6030669285161,1069.4788521775574,65536.0,65536.0,1538.7979247168228,65536.0,2684.8369373752475,2684.8369373752475,2684.8369373752475,2684.8369373752475,3221.730760331539,65536.0,65536.0,5794.273729429907
Frequencies predict de-grid4,65536.0,3280.2822729956692,3280.2822729956692,4100.1096457592,4100.1096457592,4100.1096457592,65536.0,65536.0,8853.517105553552,65536.0,4068.596807922735,4068.596807922735,4068.596807922735,4520.602091119545,5085.608694493264,65536.0,65536.0,14634.035235477146,65536.0,2773.848778633059,2773.848778633059,3170.0686114902282,3170.0686114902282,3698.3617214896512,65536.0,65536.0,7981.837428793979,65536.0,2602.7936212227987,2602.7936212227987,3123.308943830835,3123.308943830835,3123.308943830835,65536.0,65536.0,5617.3738382134225,65536.0,1425.9384937424293,1425.9384937424293,1425.9384937424293,1425.9384937424293,1782.3981349931155,65536.0,65536.0,2564.5965882148244,65536.0,4474.4830112811205,4474.4830112811205,4474.4830112811205,4474.4830112811205,5369.306046552494,65536.0,65536.0,9656.87765508817
Frequencies predict de-grid5,65536.0,4778.971220927756,4778.971220927756,5973.470817098378,5973.470817098378,5973.470817098378,65536.0,65536.0,12899.249980086895,65536.0,5695.815825583903,5695.815825583903,5695.815825583903,6328.623220362096,7119.632463393907,65536.0,65536.0,20487.429611910986,65536.0,3883.2643098952803,3883.2643098952803,4437.972074905572,4437.972074905572,5177.5824279175995,65536.0,65536.0,11174.448414962055,65536.0,3643.8242661545974,3643.8242661545974,4372.54571711229,4372.54571711229,4372.54571711229,65536.0,65536.0,7864.236567728094,65536.0,1996.2739196668836,1996.2739196668836,1996.2739196668836,1996.2739196668836,2495.317417100678,65536.0,65536.0,3590.395251217516,65536.0,6264.129081348491,6264.129081348491,6264.129081348491,6264.129081348491,7516.881329584529,65536.0,65536.0,13519.481578975125
Frequencies predict de-grid6,65536.0,6975.0698538862025,6975.0698538862025,8718.594098944057,8718.594098944057,8718.594098944057,65536.0,65536.0,18827.650619227432,65536.0,8950.253853200655,8950.253853200655,8950.253853200655,9944.665471916558,11187.679995031649,65536.0,65536.0,32194.218362539585,65536.0,6102.095368827354,6102.095368827354,6973.778998592241,6973.778998592241,8136.023838057545,65536.0,65536.0,17559.670386028447,65536.0,5725.885554126607,5725.885554126607,6871.019262117228,6871.019262117228,6871.019262117228,65536.0,65536.0,12357.962025880577,65536.0,3136.944770783244,3136.944770783244,3136.944770783244,3136.944770783244,3921.1559807232757,65536.0,65536.0,5641.992576805486,65536.0,9843.421218344438,9843.421218344438,9843.421218344438,9843.421218344438,11812.031892985902,65536.0,65536.0,21244.689425282002
Frequencies predict de-grid7,65536.0,11871.776237515218,11871.776237515218,14839.477070095914,14839.477070095914,14839.477070095914,65536.0,65536.0,32046.381763758778,65536.0,12204.691877411036,12204.691877411036,12204.691877411036,13560.707720387763,15255.727523945518,65536.0,65536.0,43901.00711260044,65536.0,8320.926426143746,8320.926426143746,9509.585920875255,9509.585920875255,11094.465247025146,65536.0,65536.0,23944.89235654539,65536.0,7807.946841272109,7807.946841272109,9369.492806415708,9369.492806415708,9369.492806415708,65536.0,65536.0,16851.68748361234,65536.0,4277.615621592935,4277.615621592935,4277.615621592935,4277.615621592935,5346.994544082644,65536.0,65536.0,7693.589902261288,65536.0,13422.713353947864,13422.713353947864,13422.713353947864,13422.713353947864,16107.182455237864,65536.0,65536.0,28969.89727092497
Frequencies predict de-grid8,,,,,,,,,,65536.0,14645.520394671583,14645.520394671583,14645.520394671583,16272.739405947037,18306.763169934395,65536.0,65536.0,52681.09867435777,65536.0,9985.049718736069,9985.049718736069,11411.441112215982,11411.441112215982,13313.296303445573,65536.0,65536.0,28733.8088344391,65536.0,9369.492806415708,9369.492806415708,11243.34796445438,11243.34796445438,11243.34796445438,65536.0,65536.0,20221.98157672374,65536.0,5133.118759595582,5133.118759595582,5133.118759595582,5133.118759595582,6416.373466571292,65536.0,65536.0,9232.287896301332,65536.0,16107.182455237864,16107.182455237864,16107.182455237864,16107.182455237864,19328.54537663272,65536.0,65536.0,34763.803155122936
Frequencies predict de-grid9,,,,,,,,,,65536.0,17899.958417113157,17899.958417113157,17899.958417113157,19888.781652859445,22374.810697404097,65536.0,65536.0,64387.887423621025,65536.0,12203.880775232541,12203.880775232541,13947.248033770105,13947.248033770105,16271.737711798904,65536.0,65536.0,35119.03080474535,65536.0,11451.55409312558,11451.55409312558,13741.821508373107,13741.821508373107,13741.821508373107,65536.0,65536.0,24715.707034426418,65536.0,6273.789610246891,6273.789610246891,6273.789610246891,6273.789610246891,7842.212029786747,65536.0,65536.0,11283.885221562772,65536.0,19686.47459016477,19686.47459016477,19686.47459016477,19686.47459016477,23623.695938386394,65536.0,65536.0,42489.01100007879
Frequencies predict de-grid10,,,,,,,,,,65536.0,21154.396439210148,21154.396439210148,21154.396439210148,23504.823899465737,26442.85822453133,65536.0,65536.0,65536.0,65536.0,14422.711831578674,14422.711831578674,16483.05495522998,16483.05495522998,19230.1791200106,65536.0,65536.0,41504.25277471908,65536.0,13533.615379753917,13533.615379753917,16240.295052214517,16240.295052214517,16240.295052214517,65536.0,65536.0,29209.432492013344,65536.0,7414.460460822171,7414.460460822171,7414.460460822171,7414.460460822171,9268.050593015527,65536.0,65536.0,13335.48254691276,65536.0,23265.766724891524,23265.766724891524,23265.766724891524,23265.766724891524,27918.846499861975,65536.0,65536.0,50214.21884546187
Frequencies predict de-grid11,,,,,,,,,,65536.0,24408.834461039172,24408.834461039172,24408.834461039172,27120.86614583087,30510.905751541883,65536.0,65536.0,65536.0,65536.0,16641.54288784227,16641.54288784227,19018.861876534043,19018.861876534043,22188.620528023996,65536.0,65536.0,47889.47474523953,65536.0,15615.676666319912,15615.676666319912,18738.76859601465,18738.76859601465,18738.76859601465,65536.0,65536.0,33703.157949091255,65536.0,8555.131311379297,8555.131311379297,8555.131311379297,8555.131311379297,10693.889156165913,65536.0,65536.0,15387.079872106855,65536.0,26845.05885953878,26845.05885953878,26845.05885953878,26845.05885953878,32213.99706127872,65536.0,65536.0,57939.42669078791
Frequencies backward kernels0,6965.43862281431,295.92784479960636,295.92784448287426,295.6344777896915,296.0841938773866,295.164431859029,595.7190196732032,13537.461113775895,568.4362556970387,6535.104859086754,250.91407562135439,250.91407536309563,249.4750572396417,250.46159768819675,249.95843174602032,456.3235124181452,11909.018326105532,320.9447391063214,1803.49588483093,141.59109378973372,141.59109373005177,140.93812173055994,141.392102156921,141.14717284290143,257.2147570323884,3286.4070183868507,181.06580428946253,411.37818646118035,100.0,100.0,100.0,100.0,100.0,179.84982611111045,749.510569799473,126.76079324381075,108.7546134826685,100.0,100.0,100.0,100.0,100.0,100.0,198.1105151818147,100.0,658.6323714193409,167.05976237881694,167.05976237873307,166.555108435587,166.79824749321455,166.68920563667945,304.8093855185414,1199.9786170230032,214.8627280819143
Frequencies backward kernels1,9312.784684896713,298.19691867081707,298.1969181218335,297.6882758585597,298.46785854682236,296.87259133787796,615.4087227215862,18099.881753647216,568.7191275714604,8986.551469016284,253.42736523127377,253.4273647607892,250.8001182090479,252.60250596495487,251.68390866770662,460.50311439868693,16376.495217053138,321.1775679609643,2465.1314922041943,143.0107563404107,143.01075623169154,141.81913351718825,142.64805659033473,142.20109219634554,259.3376633327599,4492.161107768407,181.0986895150543,552.913010864576,100.0,100.0,100.0,100.0,100.0,181.14314666645768,1007.4413462597746,126.76322321000433,141.92211651754783,100.0,100.0,100.0,100.0,100.0,100.0,258.55443045554637,100.0,883.6403917032022,167.9421400295691,167.94214002940805,167.01769379125264,167.46334644512325,167.2635416499971,306.9678180139405,1610.0295941046502,214.8663821777743
Frequencies backward kernels2,12588.334561202259,302.2695277008333,302.2695267391307,301.37795507098343,302.74400945021455,299.94595138428696,649.6369597830658,24466.406326993965,569.622148463563,11285.144701150904,256.3758504971499,256.3758497801876,252.36202889508613,255.11786559689293,253.71455070639993,465.4107485037654,20565.414571817124,321.63094464022424,3081.9726616349126,144.67622771866672,144.67622755299834,142.8566418001175,144.12318117703038,143.44069988567912,261.8326361438705,5616.2825362524845,181.16275284055416,684.988123035448,100.38759166798526,100.38759166802633,100.0,100.25141259695162,100.0,182.66477007531898,1248.1329006749827,126.76795654369104,173.39071856467706,100.0,100.0,100.0,100.0,100.0,100.0,315.90229956567913,100.0,1093.7803691186466,168.9822702859131,168.98227028565572,167.56433709671043,168.24836694664162,167.94179778109466,309.50754841992006,1992.9852985756581,214.87349993375022
Frequencies backward kernels3,16942.36379799136,309.15852058120873,309.1585189330521,307.62905998904387,309.9712683567764,305.166221422443,704.7674519876616,32929.117993918495,572.3471355203595,15598.826171491737,263.29679706383274,263.29679577853074,256.05937621764343,261.0375586733084,258.50763096634563,476.94807754366934,28426.59834025773,323.4898038917681,4231.545704343195,148.5855013358457,148.5855010388534,145.30844053575953,147.59269371016137,146.3636712129524,267.7075262550282,7711.24596695844,181.42596454196993,930.2882700105453,102.40233577354229,102.40233577361705,100.87784615160527,102.15647578280401,100.85684308822972,186.2545559288374,1695.1639377638774,126.78740920165475,232.37595802553636,100.0,100.0,100.0,100.0,100.0,100.18482222609464,423.3960455988922,100.0,1484.2025927121103,171.4445940688604,171.44459406840107,168.8643388563824,170.11115329439437,169.55283340184303,315.5004186106682,2704.4844692194742,214.9027516495355
Frequencies backward kernels4,23016.04974033832,321.20369365514676,321.20369083978596,318.58699612558047,322.59086661145574,314.35580699210635,794.6622899386352,44734.24150487495,580.9235154001583,23570.993753474908,280.073679858609,280.0736772499147,265.19520091899676,275.4704656512525,270.27205269205405,505.0102762643426,42954.9483909275,332.9430346251011,6333.876974677991,158.0615020453172,158.06150144256353,151.34261802673998,156.0405059206572,153.52139543988852,282.04856979045724,11542.500677047814,182.78034482061048,1374.9061185830358,107.33836995584048,107.33836995599897,104.17678348146224,106.83156384400853,104.1329009100145,195.05535140350543,2505.4283510725713,126.88779493556193,339.78972696741937,100.0,100.0,100.0,100.0,100.0,117.73558381634906,619.1451657356973,100.0,2191.858115983332,177.52955067017572,177.52955066922846,172.11226090664695,174.7403321283736,173.56593191359664,330.19929803631214,3994.104507166983,215.05370784657586
