Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Visibilities bw2 [1/s],1843600.5216456666,93913314.25963916,88519.0642098734,3592303.1625583977,385893.14797792333,23326643.91271687,850967.0681152543,525493.4790656228,787972.1844120782,1160732.796482967,709228.5775326544,525493.4790656228,787972.1844120782,1160732.796482967,709228.5775326544,525493.4790656228,787972.1844120782,1160732.796482967,23191.03192560209,13744.191971851244,37883.24387185278,202043.96731654817,63911.4207835314,15890.465979637436,5325.9517319609495,399446.37989707117,43740.55769063116,18571.732065599095,41782.41035843055,218702.7884531558,60587.50429937519,23748.438965251404,148402.25252641633,48543.05217236209,48543.05217236209,303342.49995906337,89124.42732135474,72045.0206994302,72045.0206994302,82063.50319526755,72045.0206994302,72045.0206994302,89124.42732135474,72045.0206994302,72045.0206994302,116303.19633150009,376017.9501183044,376017.9501183044,175445.61241030757,376017.9501183044,376017.9501183044
Visibilities bw3 [1/s],5750120.047863057,217907711.28810063,366009.9514271882,9853013.835914573,1555837.862278284,65686758.90609715,1910844.5255262067,1179851.0765418618,1769361.927294504,1795504.2128841297,1592508.6771060992,1179851.0765418618,1769361.927294504,1795504.2128841297,1592508.6771060992,1179851.0765418618,1769361.927294504,1795504.2128841297,124661.22037091134,61565.15331705358,113142.77805916328,543085.3346839837,147586.06176376424,64061.33022683572,14315.92498048247,1431592.498048247,101073.35889977725,99830.47909945706,224604.2887968443,391909.0108320021,260555.14381437245,95743.01005115149,598325.2910600234,228321.23182050386,228321.23182050386,1426845.9516772085,376423.5403156173,290454.20174766175,290454.20174766175,308788.4252659107,290454.20174766175,290454.20174766175,376423.5403156173,290454.20174766175,290454.20174766175,491222.7234295465,1516023.046090397,1516023.046090397,660188.1199401233,1516023.046090397,1516023.046090397
Visibilities bw4 [1/s],10882610.385121226,352259039.839726,1390882.7780472052,24196072.185178738,6367602.162721325,161307147.9011916,3013555.879861242,1395421.3519188901,2790395.7394021186,1612513.9152819482,2092871.301716837,1395421.3519188901,2790395.7394021186,1612513.9152819482,2092871.301716837,1395421.3519188901,2790395.7394021186,1612513.9152819482,291531.26885231904,215957.6277312749,383910.03205645364,1524178.3947889772,345145.12575015944,299618.8399187765,40177.89132414716,2008894.5662073581,236373.4084329047,233462.14983193818,525269.7848602284,549949.7122131303,1015580.6388430484,391830.69168078806,2448773.5479409676,1067898.4498925242,1067898.4498925242,6673911.3494959455,1540536.0000797145,1188694.859104088,1188694.859104088,1203551.912382536,1188694.859104088,1188694.859104088,1540536.0000797145,1188694.859104088,1188694.859104088,2010383.6646992576,6204650.944006525,6204650.944006525,2573255.4928009044,6204650.944006525,6204650.944006525
Visibilities bw5 [1/s],37761366.43246723,503373794.50238633,1639114.3242150142,16973538.792926878,6253540.054241977,113156925.2861792,12547606.30165176,4303563.249420393,9681952.711021801,3136763.779053475,6535477.774517892,4303563.249420393,9681952.711021801,3136763.779053475,6535477.774517892,4303563.249420393,9681952.711021801,3136763.779053475,214727.6382724964,318124.005778508,565538.3832864015,801908.0818147864,254217.63680032443,220682.2379446276,21138.58579367314,1056929.289683657,174102.4633007112,171956.69714328763,386892.0183881028,289342.1927007979,1122053.9122688351,384804.19847814797,2404908.193775761,786561.5538075453,786561.5538075453,4915770.866840747,1512915.9095059743,1167380.1733090275,1167380.1733090275,1329717.6903164764,1167380.1733090275,1167380.1733090275,1512915.9095059743,1167380.1733090275,1167380.1733090275,1974350.2945514324,6093507.554281699,6093507.554281699,2843036.33025094,6093507.554281699,6093507.554281699
Visibilities bw6 [1/s],47650924.91554782,580268544.376171,6554594.153619922,38875256.74824015,30009250.41978592,259168378.32160106,10555612.775649361,5430311.671161319,12217280.786631925,5277348.9325497905,10995736.806265227,5430311.671161319,12217280.786631925,5277348.9325497905,10995736.806265227,5430311.671161319,12217280.786631925,5277348.9325497905,93675.30926197277,138781.66618792596,246717.0816946977,306107.6709789143,609955.5896997701,529486.3413394094,32276.433730137956,1613821.6865068977,417733.78858579893,412582.1499611723,928293.7281073986,441795.5959397856,5384433.329880977,1846550.2787589142,11540578.747011723,2573504.8890296826,2573504.8890296826,16083858.514053378,5445011.881981132,5601884.800585102,5601884.800585102,6380892.971258871,5601884.800585102,5601884.800585102,5445011.881981132,5601884.800585102,5601884.800585102,7105757.196779048,29241291.63496894,29241291.63496894,13642968.023711385,29241291.63496894,29241291.63496894
Visibilities bw7 [1/s],14446243.153038548,51678117.2427348,12813447.990430966,74308982.27029818,58665216.05526454,495393215.1353213,1600030.4074876886,1646205.4860946897,3703798.3823860832,799915.1628601787,1666725.668394179,1646205.4860946897,3703798.3823860832,799915.1628601787,1666725.668394179,1646205.4860946897,3703798.3823860832,799915.1628601787,671444.5187719316,994745.7343783196,1768414.3800205328,1170232.7597671303,794930.8781124332,690054.6811556895,30847.756933590546,1542387.8466795273,544417.1025192571,537701.2259195643,1209812.3619527502,422240.0551383048,7017346.205381783,3609798.7347642924,22560725.281398576,4919090.7491670465,4919090.7491670465,30743620.071872257,14192538.890121954,10951062.805184705,10951062.805184705,8315959.557401557,10951062.805184705,10951062.805184705,14192538.890121954,10951062.805184705,10951062.805184705,18521348.80726438,57163929.21354139,57163929.21354139,17780412.857907638,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,4868586.337187604,23528836.456981257,22290508.691201698,156858909.7132084,,,,,,,,,,,,,255121.92916560505,377962.565944483,671926.3322286102,370536.83659678197,302041.93490038643,262192.5093927224,9767.484438355355,488374.22191776783,206856.94033048136,204304.8361437898,459681.0062770078,133696.04722613643,2666315.769385217,1371578.3105326276,8572200.799852684,1869056.7288445183,1869056.7288445183,11681383.82500101,5392597.698540538,4160964.4218790988,4160964.4218790988,3159731.167221197,4160964.4218790988,4160964.4218790988,5392597.698540538,4160964.4218790988,4160964.4218790988,7037379.827608906,21720077.7258466,21720077.7258466,6755858.67129279,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,10408847.927650793,20578952.548825152,47656482.604345754,137193016.99216768,,,,,,,,,,,,,272720.8250511913,404034.4837136594,718277.3006834709,327245.08108482166,322877.62869229185,280278.63168834156,8542.904327029004,427145.2163514502,221126.72106764303,218398.23547547508,491391.7659569947,116934.15511058134,2850250.436500511,2932385.630127086,18327123.937945276,1997988.5119833578,1997988.5119833578,12487235.142739862,5764594.736199852,8895995.987454155,8895995.987454155,3377697.435112968,8895995.987454155,8895995.987454155,5764594.736199852,8895995.987454155,8895995.987454155,7522845.82633853,46436916.91469365,46436916.91469365,7221909.285073025,46436916.91469365,46436916.91469365
Visibilities bw10 [1/s],,,881663.3576589461,1474941.9947464184,4036673.7330393577,9832946.63164279,,,,,,,,,,,,,23100.36960097025,34223.03007869951,60840.49613451778,27718.744987654005,27348.827977292538,23740.510798361625,612.290072545763,30614.50362728815,18730.19419777725,18499.062872453953,41622.58586122123,8380.946288864168,241426.13938593873,248382.8956763391,1552372.5816993127,169236.33345339773,169236.33345339773,1057713.247192469,488280.7222927832,753520.8126331392,753520.8126331392,286102.3589086487,753520.8126331392,753520.8126331392,488280.7222927832,753520.8126331392,753520.8126331392,637210.9693258124,3933372.1611527153,3933372.1611527153,611720.9029981366,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,435985.74326236336,632117.9960055351,1996155.046750689,4214119.9733702345,,,,,,,,,,,,,11423.226561860236,16923.41016738241,30085.871278872142,13707.027526891297,13524.109632291866,11739.767958204004,262.41003036750186,13120.501518375095,9262.1637688615,9147.861342346425,20582.557047970862,3591.8341138952164,119386.33567811208,122826.34558970161,767655.8672308879,83688.0532468223,83688.0532468223,523044.4026879711,241456.86945736388,372619.13119011646,372619.13119011646,141478.79438607697,372619.13119011646,372619.13119011646,241456.86945736388,372619.13119011646,372619.13119011646,315103.65392702585,1945071.904603555,1945071.904603555,302498.81024768576,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.13733959037942622,0.13733959037942622,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.28835021870166083,0.28835021870166083,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],0.618685968156549,0.618685968156549,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],1.304239900142148,1.304239900142148,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],2.7937538249569163,2.7937538249569163,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,57.94386564902744,57.94386564902744,57.94386564902744,58.017433327854576,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],5.93082802536461,5.93082802536461,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,106.77519174299415,106.77519174299415,106.77519174299415,107.96158276236076,113.56997667209377,113.56997667209377,113.56997667209377,113.71416932259497,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],12.635699922871826,12.635699922871826,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,263.6693510388223,263.6693510388223,263.6693510388223,266.59901049480925,280.4483097412928,280.4483097412928,280.4483097412928,280.80437730681615,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],36.608637169026565,36.608637169026565,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,317.21192497715253,317.21192497715253,317.21192497715253,317.21192497715253,490.29424779946294,490.29424779946294,490.29424779946294,495.74196166390146,521.4947908412469,521.4947908412469,521.4947908412469,522.1568999506912,4011.4983910865153,4011.4983910865153,4011.4983910865153,441.2648230195167,441.2648230195167,441.2648230195167,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,456.78517196709964,456.78517196709964,456.78517196709964,456.78517196709964,706.0237168312267,706.0237168312267,706.0237168312267,713.8684247960181,750.9524988113956,750.9524988113956,750.9524988113956,751.9059359289954,5776.557683164582,5776.557683164582,5776.557683164582,635.421345148104,635.421345148104,635.421345148104,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,682.358096395297,682.358096395297,682.358096395297,682.358096395297,1054.6774041552892,1054.6774041552892,1054.6774041552892,1066.396041979237,1121.7932389651712,1121.7932389651712,1121.7932389651712,1123.2175092272646,8629.178761270548,8629.178761270548,8629.178761270548,949.2096637397603,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,953.0456057091338,953.0456057091338,953.0456057091338,953.0456057091338,1473.0618289441643,1473.0618289441643,1473.0618289441643,1489.4291825990995,1566.8021271497018,1566.8021271497018,1566.8021271497018,1568.7913971851879,12052.324054997707,12052.324054997707,12052.324054997707,1325.7556460497478,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,1268.8476999086101,1268.8476999086101,1268.8476999086101,1268.8476999086101,1961.1769911978517,1961.1769911978517,1961.1769911978517,1982.9678466556059,2085.9791633649875,2085.9791633649875,2085.9791633649875,2088.627599802765,16045.993564346061,16045.993564346061,16045.993564346061,1765.0592920780668,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],1.3173389729330272,3.822776975132372,44.923569816033066,340.22024616774627,1831.0338174859276,8948.19540939488,3.2129504080011406,2.950941962155939,1.5587009164225243,36.47950025207413,3.3728134273672015,2.950941962155939,1.5587009164225243,36.47950025207413,3.3728134273672015,2.950941962155939,1.5587009164225243,36.47950025207413,372.696016636327,273.8232776750673,156.4329756586207,1794.9699793258453,556.5654880893276,501.0533831358408,485.6333508797457,2185.250872854696,487.2005683405368,378.3154169645189,191.78776164571664,2826.4298362111035,8998.174341011258,8408.05556287233,2729.267145067346,161.55918685627503,161.5591858673004,60.74012480526625,263.49106957743555,216.62784106341408,170.14758756061264,323.15975253742727,216.62784106341408,170.14758756061264,263.49106957743555,216.62784106341408,170.14758756061264,4653.530676410162,1680.810385293506,1306.4033354024593,4258.356077345194,1680.810385293506,1306.4033354024593
Delta W snapshot1 [lambda],1.9087972873111212,5.539125821110172,67.3853547240496,510.33036925161946,2746.550726228891,13422.293114092321,4.655499570777163,4.275854679858606,2.2585258176734535,52.858051385658435,4.887137823327985,4.275854679858606,2.2585258176734535,52.858051385658435,4.887137823327985,4.275854679858606,2.2585258176734535,52.858051385658435,559.0440249544904,410.73491651260093,234.64946348793103,2692.454968988768,834.8482321339915,751.5800747037612,728.4500263196186,3277.876309282044,730.8008525108052,567.4731254467782,287.681642468575,4239.644754316655,13497.261511516886,12612.083344308496,4093.900717601019,242.33878028441256,242.33877880095062,91.11018720789937,395.2366043661533,324.94176159512114,255.22138134091895,484.7396288061409,324.94176159512114,255.22138134091895,395.2366043661533,324.94176159512114,255.22138134091895,6980.296014615244,2521.215577940259,1959.605003103689,6387.534116017791,2521.215577940259,1959.605003103689
Delta W snapshot2 [lambda],2.795984758878262,8.113649090076871,89.84713963206613,680.4404923354925,3662.067634971855,17896.39081878976,6.8193233149411965,6.263223756412606,3.3082631695498472,77.42587808603488,7.158624417269162,6.263223756412606,3.3082631695498472,77.42587808603488,7.158624417269162,6.263223756412606,3.3082631695498472,77.42587808603488,745.392033272654,547.6465553501346,312.8659513172414,3589.9399586516906,1113.1309761786551,1002.1067662716816,971.2667017594914,4370.501745709392,974.4011366810736,756.6308339290377,383.5755232914333,5652.859672422207,17996.348682022515,16816.11112574466,5458.534290134692,323.11837371255007,323.1183717346008,121.4802496105325,526.9821391548711,433.25568212682816,340.29517512122527,646.3195050748545,433.25568212682816,340.29517512122527,526.9821391548711,433.25568212682816,340.29517512122527,9307.061352820325,3361.620770587012,2612.8066708049187,8516.712154690387,3361.620770587012,2612.8066708049187
Delta W snapshot3 [lambda],4.059554794140554,11.780394351938535,134.7707094480992,1020.6607385032389,5493.101452457782,26844.586228184642,9.9011328899627,9.093719107868303,4.803343640404106,112.41641914414681,10.393771990458111,9.093719107868303,4.803343640404106,112.41641914414681,10.393771990458111,9.093719107868303,4.803343640404106,112.41641914414681,1118.0880499089808,821.4698330252019,469.29892697586206,5384.909937977536,1669.696464267983,1503.1601494075223,1456.9000526392372,6555.752618564088,1461.6017050216103,1134.9462508935565,575.36328493715,8479.28950863331,26994.523023033773,25224.16668861699,8187.801435202038,484.67756056882513,484.67755760190124,182.22037441579874,790.4732087323066,649.8835231902423,510.4427626818379,969.4792576122818,649.8835231902423,510.4427626818379,790.4732087323066,649.8835231902423,510.4427626818379,13960.592029230487,5042.431155880518,3919.210006207378,12775.068232035583,5042.431155880518,3919.210006207378
Delta W snapshot4 [lambda],5.941467612616306,17.24150431641335,224.61784908016534,1701.1012308387315,9155.169087429638,44740.9770469744,14.491062044250043,13.309350482376788,7.030059235293426,164.52999093282415,15.21207688669697,13.309350482376788,7.030059235293426,164.52999093282415,15.21207688669697,13.309350482376788,7.030059235293426,164.52999093282415,1863.4800831816349,1369.1163883753366,782.1648782931035,8974.849896629226,2782.827440446638,2505.266915679204,2428.1667543987287,10926.25436427348,2436.002841702684,1891.5770848225943,958.9388082285832,14132.149181055518,44990.87170505629,42040.27781436165,13646.33572533673,807.7959342813753,807.795929336502,303.70062402633124,1317.4553478871778,1083.1392053170705,850.7379378030632,1615.7987626871363,1083.1392053170705,850.7379378030632,1317.4553478871778,1083.1392053170705,850.7379378030632,23267.653382050812,8404.05192646753,6532.016677012296,21291.780386725968,8404.05192646753,6532.016677012296
Delta W snapshot5 [lambda],8.656798964988464,25.12110583658416,314.46498871223145,2381.541723174224,12817.236722401492,62637.36786576417,21.11367410972178,19.39190432273903,10.242891736490874,239.7224302279157,22.16420252269875,19.39190432273903,10.242891736490874,239.7224302279157,22.16420252269875,19.39190432273903,10.242891736490874,239.7224302279157,2608.872116454289,1916.7629437254711,1095.0308296103449,12564.789855280917,3895.9584166252935,3507.373681950886,3399.43345615822,15296.756109982873,3410.4039783837575,2648.207918751632,1342.5143315200164,19785.008853477724,62987.22038707881,58856.38894010631,19104.870015471424,1130.9143079939254,1130.914301071103,425.18087363686374,1844.4374870420488,1516.3948874438986,1191.0331129242884,2262.118267761991,1516.3948874438986,1191.0331129242884,1844.4374870420488,1516.3948874438986,1191.0331129242884,32574.714734871137,11765.672697054542,9144.823347817215,29808.49254141636,11765.672697054542,9144.823347817215
Delta W snapshot6 [lambda],12.635700352622914,36.66745261861663,494.15926797636376,3742.422707845209,20141.371992345204,98430.1495033437,30.818095750215026,28.30495351455697,14.950804708542579,349.9054105811192,32.35147573188948,28.30495351455697,14.950804708542579,349.9054105811192,32.35147573188948,28.30495351455697,14.950804708542579,349.9054105811192,2981.568133090616,2190.5862214005383,1251.4638052689656,14359.759834606763,6122.220368982604,5511.587214494249,5341.966859677203,24037.759601401656,5359.206251745904,4161.469586609707,2109.665378102883,31090.728198322136,98979.91775112384,92488.61119159564,30021.93859574081,1615.5918685627505,1615.591858673004,607.4012480526625,2898.4017653517913,2382.906251697555,1871.623463166739,3554.7572779117,2382.906251697555,1871.623463166739,2898.4017653517913,2382.906251697555,1871.623463166739,51188.83744051179,18488.914238228568,14370.436689427052,46841.91685079713,18488.914238228568,14370.436689427052
Delta W snapshot7 [lambda],21.507575068294322,62.41268530828363,673.853547240496,5103.303692516194,27465.507262288913,134222.93114092323,52.45633319185536,48.17864428009697,25.448178227306517,595.5836775848837,55.066341671301245,48.17864428009697,25.448178227306517,595.5836775848837,55.066341671301245,48.17864428009697,25.448178227306517,595.5836775848837,5590.440249544905,4107.349165126009,2346.4946348793105,26924.54968988768,8348.482321339914,7515.800747037612,7284.500263196186,32778.76309282044,7308.008525108052,5674.7312544677825,2876.8164246857496,42396.44754316655,134972.61511516888,126120.83344308496,40939.00717601019,2423.387802844126,2423.387788009506,911.1018720789937,3952.3660436615332,3249.4176159512112,2552.2138134091897,4847.396288061409,3249.4176159512112,2552.2138134091897,3952.3660436615332,3249.4176159512112,2552.2138134091897,69802.96014615244,25212.15577940259,19596.050031036888,63875.34116017791,25212.15577940259,19596.050031036888
Delta W snapshot8 [lambda],,,808.6242566885952,6123.9644310194335,32958.6087147467,161067.51736910787,,,,,,,,,,,,,6708.528299453886,4928.818998151211,2815.7935618551724,32309.459627865213,10018.178785607897,9018.960896445134,8741.400315835423,39334.51571138453,8769.610230129661,6809.677505361339,3452.1797096228993,50875.737051799864,161967.13813820263,151345.00013170196,49126.80861121223,2908.065363412951,2908.0653456114073,1093.3222464947924,4742.83925239384,3899.3011391414534,3062.6565760910275,5816.875545673691,3899.3011391414534,3062.6565760910275,4742.83925239384,3899.3011391414534,3062.6565760910275,83763.55217538292,30254.58693528311,23515.26003724427,76650.40939221349,30254.58693528311,23515.26003724427
Delta W snapshot9 [lambda],,,988.3185359527275,7484.845415690418,40282.74398469041,196860.2990066874,,,,,,,,,,,,,8199.312365999192,6024.11210885148,3441.5254644896554,39489.339545168594,12244.440737965208,11023.174428988497,10683.933719354405,48075.51920280331,10718.412503491809,8322.939173219414,4219.330756205766,62181.45639664427,197959.83550224768,184977.22238319129,60043.87719148162,3554.302110838051,3554.302089080609,1336.2827457158573,5796.8035307035825,4765.81250339511,3743.246926333478,7109.5145558234,4765.81250339511,3743.246926333478,5796.8035307035825,4765.81250339511,3743.246926333478,102377.67488102357,36977.828476457136,28740.873378854103,93683.83370159427,36977.828476457136,28740.873378854103
