Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Frequencies predict kernels11,,,386.6961625079277,985.2901107899636,169.98052299564662,835.125992819422,,,,,,,,,,,,,176.54406906276284,100.0,100.0,361.36096986550695,172.51364070689232,101.12037297884658,100.0,145.66751496622862,156.47508159666612,100.0,100.0,100.0,100.0,100.0,100.0,151.56011847459575,151.56011802931138,248.0603044993176,277.7630923158834,226.59210285491272,200.0720961627875,291.0528107025291,226.59210285491272,200.0720961627875,277.7630923158834,226.59210285491272,200.0720961627875,173.5769270293322,194.06560259878606,170.37962775201083,200.83514545198625,194.06560259878606,170.37962775201083
Frequencies predict de-grid0,1123.0200547686838,65536.0,753.8913072681331,65536.0,1034.9988790363216,65536.0,518.4912680476514,320.32130754783145,500.0,1500.0,432.19146807987215,320.32130754783145,500.0,1500.0,432.19146807987215,320.32130754783145,500.0,1500.0,163.29175506988688,120.98075250414692,500.0,3200.0,500.0,149.23535564691704,100.0,5000.0,500.0,159.26620586296931,300.0,2500.0,257.9547512531722,159.26620586296931,500.0,357.823426121423,357.823426121423,894.2545468709208,521.7873967024967,483.15612439994436,700.0,489.19226073465074,483.15612439994436,700.0,521.7873967024967,483.15612439994436,700.0,544.700977250144,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies predict de-grid1,1626.7965167781667,65536.0,1130.5624189861267,65536.0,1552.3826770323226,65536.0,750.9722913093254,463.8282076941827,695.3960255703084,1500.0,625.9256891403746,463.8282076941827,695.3960255703084,1500.0,625.9256891403746,463.8282076941827,695.3960255703084,1500.0,244.89153980831534,181.4250410169773,500.0,3200.0,500.0,223.7972707483437,100.0,5000.0,500.0,238.85374289707516,358.2350436199255,2500.0,386.88655543856316,238.85374289707516,596.9976404288616,536.6338048065327,536.6338048065327,1341.280466795748,782.5484754593473,724.6015700009231,724.6015700009231,733.6557740038452,724.6015700009231,724.6015700009231,782.5484754593473,724.6015700009231,724.6015700009231,816.9384956364858,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies predict de-grid2,2382.4611407963093,65536.0,1507.2335084877068,65536.0,2069.7664721575957,65536.0,1099.6937503967672,679.0884353287946,1018.2862758762946,1500.0,916.5269298174715,679.0884353287946,1018.2862758762946,1500.0,916.5269298174715,679.0884353287946,1018.2862758762946,1500.0,326.49132165556017,241.8693256283889,500.0,3200.0,500.0,298.3591812197435,100.0,5000.0,500.0,318.4412770343517,477.6163424109698,2500.0,515.818357835032,318.4412770343517,795.9664696855765,715.4441771146105,715.4441771146105,1788.3063841681017,1043.3095467261069,966.0470075132783,966.0470075132783,978.1192792840136,966.0470075132783,966.0470075132783,1043.3095467261069,966.0470075132783,966.0470075132783,1089.1760088165274,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies predict de-grid3,3458.7107104119405,65536.0,2260.575665262745,65536.0,3104.5340595364714,65536.0,1596.3575956667946,985.6711012501548,1478.160213658619,1500.0,1330.413484144414,985.6711012501548,1478.160213658619,1500.0,1330.413484144414,985.6711012501548,1478.160213658619,1500.0,489.69088245777766,362.75789094767003,500.0,3200.0,644.3264317751682,447.4829975301865,100.0,5000.0,644.7501595153672,477.6163424109698,716.3789380602059,2500.0,773.6819608386259,477.6163424109698,1193.9041270392163,1073.0649153513252,1073.0649153513252,2682.3582163564483,1564.8316817669963,1448.937874446404,1448.937874446404,1467.0462818524363,1448.937874446404,1448.937874446404,1564.8316817669963,1448.937874446404,1448.937874446404,1633.6510299688712,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies predict de-grid4,5061.635568840222,65536.0,3767.259952131288,65536.0,5174.069230853,65536.0,2336.0696699277173,1442.283524599228,2163.078805830194,1500.0,1946.840224337752,1442.283524599228,2163.078805830194,1500.0,1946.840224337752,1442.283524599228,2163.078805830194,1500.0,816.0900005904109,604.5350169007022,806.0159537629055,3200.0,1073.8030119774014,745.7306245903046,100.0,5000.0,1074.522829922399,795.9664696855765,1193.9041270392163,2500.0,1289.4091646977774,795.9664696855765,1989.779440352671,1788.3063841681017,1788.3063841681017,4470.461877672626,2607.875942853118,2414.7195985996987,2414.7195985996987,2444.9002773955567,2414.7195985996987,2414.7195985996987,2607.875942853118,2414.7195985996987,2414.7195985996987,2722.601066020032,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies predict de-grid5,7374.427128148128,65536.0,5273.94422883101,65536.0,7243.604400849842,65536.0,3403.3684955976228,2101.109981744475,3151.3184625392573,2041.931396401626,2836.2559202763196,2101.109981744475,3151.3184625392573,2041.931396401626,2836.2559202763196,2101.109981744475,3151.3184625392573,2041.931396401626,1142.489117401017,846.312141068514,1128.3854518718204,3200.0,1503.2795907071318,1043.9782495320885,100.0,5000.0,1504.2954993496796,1114.3165956341188,1671.4293151335298,2500.0,1805.136367739783,1114.3165956341188,2785.654753143743,2503.547850066781,2503.547850066781,6258.565537827592,3650.9202005175316,3380.5013190529257,3380.5013190529257,3422.754269286298,3380.5013190529257,3380.5013190529257,3650.9202005175316,3380.5013190529257,3380.5013190529257,3811.551099692947,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies predict de-grid6,10763.468209784225,65536.0,8287.312773910124,65536.0,11382.674739763022,65536.0,4967.3311145435555,3066.519020635739,4599.432000882095,2980.140341877421,4139.5581081635855,3066.519020635739,4599.432000882095,2980.140341877421,4139.5581081635855,3066.519020635739,4599.432000882095,2980.140341877421,1305.6886756205524,967.200702901157,1289.570200737334,3200.0,2362.2327469617067,1640.473497680768,100.0,5000.0,2363.8408373967463,1751.0168464482263,2626.4796906042498,2500.0,2836.590773151726,1751.0168464482263,4377.4053782844685,3576.4100472733885,3576.4100472733885,8940.721027388057,5737.008713030386,5312.06475692582,5312.06475692582,5378.462250070566,5312.06475692582,5312.06475692582,5737.008713030386,5312.06475692582,5312.06475692582,5989.451165093498,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies predict de-grid7,18320.113846845565,65536.0,11300.681315299544,65536.0,15521.745078190484,65536.0,8454.545042454996,5219.120224037805,7828.333788036723,5072.092687410612,7045.56971963068,5219.120224037805,7828.333788036723,5072.092687410612,7045.56971963068,5219.120224037805,7828.333788036723,5072.092687410612,2448.085581991677,1813.420634167433,2417.86344162498,3200.0,3221.185902688852,2236.9687450573742,100.0,5000.0,3223.386175080744,2387.717096780291,3581.5300657480143,2500.0,3868.045178265424,2387.717096780291,5969.156003228102,5364.513707820007,5364.513707820007,13410.980176081997,7823.097224300908,7243.628193459831,7243.628193459831,7334.170229535046,7243.628193459831,7243.628193459831,7823.097224300908,7243.628193459831,7243.628193459831,8167.351229610696,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies predict de-grid8,,,13560.707720387763,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,2937.684255914099,2176.0863186701217,2901.4176874826626,3200.0,3865.400769341334,2684.3401803962356,100.0,5000.0,3868.045178265424,2865.2422844010507,4297.817847033029,2500.0,4641.6359820297885,2865.2422844010507,7162.968971877786,6437.375903805813,6437.375903805813,16093.135665209433,9387.663607423423,8692.300770509128,8692.300770509128,8800.951213784592,8692.300770509128,8692.300770509128,9387.663607423423,8692.300770509128,8692.300770509128,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
