Frequency Max [GHz],0.2,0.2,0.2,0.2,0.95,0.95,1.5,1.4,1.56,1.425,12.0,1.5,1.5,1.7,1.7,1.5,11.0,11.0,13.5,13.5,0.35,0.35,1.05,1.05
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support pred8 [uv-pixels],,,,,12.084863632703986,31.623133906983057,10.954742551929442,14.588672057351744,11.0664488622281,42.44868801885223,10.222731106024298,9.164848171096372,9.164848171096372,8.878931102862214,8.878931102862214,9.935652640300617,6.3467808465340925,6.3467808465340925,5.96357052991028,29.028090132900747,,,7.939952912395247,13.188583027538074
W kernel support pred9 [uv-pixels],,,,,14.062610949498849,36.83178562762325,12.746703977563692,16.978517650639102,12.876767912309734,49.460238735102095,11.894429950937608,10.662856440231572,10.662856440231572,10.330018363351389,10.330018363351389,11.560203972293422,7.382773306781374,7.382773306781374,6.936817492748901,33.805796719903306,,,9.237017802381423,15.347909355480262
W kernel support pred10 [uv-pixels],,,,,15.95509172246178,41.82281546467206,14.461234011380986,19.265817757725813,14.608880069349448,56.18291019269583,13.493785030138028,12.095891549777146,12.095891549777146,11.718128315396543,11.718128315396543,13.114409561387966,8.373538510431084,8.373538510431084,7.867535732542539,38.38316326668842,,,10.477671620523902,17.414339027816027
W kernel support pred11 [uv-pixels],,,,,17.778641939985373,46.638156312650416,16.11316131383772,21.470236036025625,16.277763138592626,62.6725045342218,15.03464680649727,13.476387626107048,13.476387626107048,13.055311731404583,13.055311731404583,14.611735834389481,9.327721224758232,9.327721224758232,8.763852756423963,42.79876758756631,,,11.672704450259669,19.40567689137192
AW kernel support pred0 [uv-pixels],10.073557260626691,10.15074328177125,10.073034975605536,10.073034975605536,10.093706630116046,10.616997978506369,10.077138122604378,10.135994936091295,10.078705525784542,11.080755172435431,10.067250053515245,10.05413908690546,10.05413908690546,10.05083573388319,10.05083573388319,10.063554066253683,10.026072504121327,10.026072504121327,10.023032017285473,10.52308107538601,10.060073343985945,10.482557909764303,10.040709235712683,10.111404897066462
AW kernel support pred1 [uv-pixels],10.128066361166198,10.261784998863131,10.127159190240368,10.127159190240368,10.171670722907315,11.109318978252873,10.141403246416258,10.248752472664812,10.144268207006432,11.914640769875046,10.123321667392197,10.099325943044898,10.099325943044898,10.093276434234943,10.093276434234943,10.116559644073634,10.047880066411276,10.047880066411276,10.042300596978572,10.943487217939593,10.10463566031447,10.829077389902722,10.0747223064831,10.203960374946071
AW kernel support pred2 [uv-pixels],10.226190485094621,10.460250673772203,10.224595236404632,10.224595236404632,10.263348912419701,11.666817339090274,10.217075395863363,10.380889883353538,10.221458307498127,12.83486510169152,10.189399543513073,10.15263389004349,10.15263389004349,10.143358213466751,10.143358213466751,10.179043277335627,10.073665463438669,10.073665463438669,10.065089347631922,11.422422287144775,10.1849556656169,11.43149668731817,10.114892281682788,10.312639649240657
AW kernel support pred3 [uv-pixels],10.393005396419063,10.793635552693384,10.390254303233657,10.390254303233657,10.47943103702223,12.904937131492025,10.395864503348742,10.690464038111774,10.403791788327128,14.005651581578112,10.345748807459936,10.279014437382846,10.279014437382846,10.262149019895668,10.262149019895668,10.326969274307096,10.13505458199591,10.13505458199591,10.11936875791022,12.495289023430106,10.321800832760532,12.401878383977458,10.21031787294298,10.568140731706197
AW kernel support pred4 [uv-pixels],10.687088381984031,11.37014528161088,10.682340598808747,10.682340598808747,11.008051849588826,15.614609088678925,10.835679997641172,11.43778537807492,10.852087930843554,18.925728489496354,10.731670098582264,10.592401927328446,10.592401927328446,10.557063276288787,10.557063276288787,10.692568801789651,10.288845935378784,10.288845935378784,10.255502855189738,14.876032737616837,10.563935385816567,13.984333179660709,10.448092299217702,11.189635983205273
AW kernel support pred5 [uv-pixels],11.18243401144624,12.313519517976603,11.174432163976428,11.174432163976428,11.625362131662781,18.41486367231588,11.353242481857494,12.295193536928403,11.37923688944856,23.012621039372082,11.187998749036945,10.96543503803561,10.96543503803561,10.908713749577709,10.908713749577709,11.125664904914474,10.474740157309073,10.474740157309073,10.420343226138476,17.367397034140257,10.974174496853756,16.391364877653647,10.733152652678875,11.909825625376428
AW kernel support pred6 [uv-pixels],12.011371273788619,13.831354949686009,11.998190604212992,11.998190604212992,13.017764065425254,19.814388794748474,12.533700619642811,14.183405027684387,12.580237125841904,30.860243413673825,12.236318394029743,11.831269912366183,11.831269912366183,11.727157850719404,11.727157850719404,12.12341503399317,10.917325654367643,10.917325654367643,10.814010475677447,22.3480676257268,11.666670936847119,19.969002653535615,11.402477126809012,13.516964553814699
AW kernel support pred7 [uv-pixels],14.0970218650509,17.430788287446376,14.07193598752433,14.07193598752433,14.522541655373878,29.29615343706773,13.82539279825224,16.173542237172864,13.89275710437288,38.28012954529628,13.39305034793839,12.798553437796246,12.798553437796246,12.644600676130402,12.644600676130402,13.228021727955229,11.428381413954572,11.428381413954572,11.270519242483852,27.185152972749908,13.435182441894563,27.723499448605978,12.161177319967361,15.23396454385867
AW kernel support pred8 [uv-pixels],,,,,15.685787484887436,33.16658858096475,14.832612190003944,17.686982569023908,14.915303899696767,43.61067661160337,14.300497588058843,13.564455094077628,13.564455094077628,13.372936010068022,13.372936010068022,14.096708601255564,11.844054504853142,11.844054504853142,11.643202886887027,30.702280318631217,,,12.768823448190275,16.55109429235014
AW kernel support pred9 [uv-pixels],,,,,17.255637534352793,38.16517303143265,16.2011870642752,19.704569561730178,16.30371589140002,50.461026701141286,15.539545162512374,14.618361996646133,14.618361996646133,14.377387780371544,14.377387780371544,15.285231953785607,12.430017767458082,12.430017767458082,12.170432898122693,35.25382095415227,,,13.613320604522299,18.318251051452442
AW kernel support pred10 [uv-pixels],,,,,18.829895163600046,43.00171965621855,17.582016071313387,21.706490593228175,17.703654336905572,57.06592150943087,16.795303940077332,15.694285341613048,15.694285341613048,15.405016430244347,15.405016430244347,16.492050756162016,13.042858091142156,13.042858091142156,12.72391914870704,39.66443271190525,,,14.483839359352617,20.08131479200793
AW kernel support pred11 [uv-pixels],,,,,20.39804179891312,47.6981930920157,18.96401770526901,23.684827114476757,19.104072152191137,63.46528834403931,18.056594490548836,16.781329609095074,16.781329609095074,16.445095451354184,16.445095451354184,17.706010959388387,13.675027723803897,13.675027723803897,13.29680845677939,43.95150176062835,,,15.37049215812922,21.830719081430328
"W kernel support pred, ff0 [pixels]",80.58845808501353,81.20594625417,80.58427980484429,80.58427980484429,80.74965304092837,84.93598382805095,80.61710498083502,81.08795948873036,80.62964420627634,88.64604137948345,80.53800042812196,80.43311269524368,80.43311269524368,80.40668587106552,80.40668587106552,80.50843253002947,80.20858003297062,80.20858003297062,80.18425613828379,84.18464860308808,80.48058675188756,83.86046327811442,80.32567388570146,80.8912391765317
"W kernel support pred, ff1 [pixels]",81.02453088932958,82.09427999090505,81.01727352192295,81.01727352192295,81.37336578325852,88.87455182602298,81.13122597133007,81.9900197813185,81.15414565605145,95.31712615900037,80.98657333913758,80.79460754435918,80.79460754435918,80.74621147387954,80.74621147387954,80.93247715258907,80.3830405312902,80.3830405312902,80.33840477582858,87.54789774351674,80.83708528251576,86.63261911922177,80.5977784518648,81.63168299956857
"W kernel support pred, ff2 [pixels]",81.80952388075697,83.68200539017762,81.79676189123705,81.79676189123705,82.10679129935761,93.33453871272219,81.7366031669069,83.0471190668283,81.77166645998501,102.67892081353216,81.51519634810458,81.22107112034791,81.22107112034791,81.14686570773401,81.14686570773401,81.43234621868501,80.58932370750935,80.58932370750935,80.52071478105537,91.3793782971582,81.4796453249352,91.45197349854536,80.91913825346231,82.50111719392525
"W kernel support pred, ff3 [pixels]",83.14404317135251,86.34908442154708,83.12203442586926,83.12203442586926,83.83544829617784,103.2394970519362,83.16691602678993,85.52371230489419,83.23033430661702,112.0452126526249,82.76599045967949,82.23211549906277,82.23211549906277,82.09719215916535,82.09719215916535,82.61575419445677,81.08043665596728,81.08043665596728,80.95495006328176,99.96231218744084,82.57440666208426,99.21502707181966,81.68254298354384,84.54512585364958
"W kernel support pred, ff4 [pixels]",85.49670705587225,90.96116225288704,85.45872479046997,85.45872479046997,88.06441479671061,124.9168727094314,86.68543998112938,91.50228302459936,86.81670344674843,151.40582791597083,85.85336078865811,84.73921541862757,84.73921541862757,84.4565062103103,84.4565062103103,85.54055041431721,82.31076748303028,82.31076748303028,82.0440228415179,119.0082619009347,84.51148308653254,111.87466543728567,83.58473839374162,89.51708786564218
"W kernel support pred, ff5 [pixels]",89.45947209156992,98.50815614381283,89.39545731181143,89.39545731181143,93.00289705330225,147.31890937852705,90.82593985485995,98.36154829542723,91.03389511558848,184.10096831497665,89.50398999229556,87.72348030428488,87.72348030428488,87.26970999662167,87.26970999662167,89.0053192393158,83.79792125847258,83.79792125847258,83.3627458091078,138.93917627312206,87.79339597483005,131.13091902122918,85.865221221431,95.27860500301142
"W kernel support pred, ff6 [pixels]",96.09097019030895,110.65083959748807,95.98552483370393,95.98552483370393,104.14211252340203,158.5151103579878,100.26960495714249,113.4672402214751,100.64189700673523,246.8819473093906,97.89054715223794,94.65015929892947,94.65015929892947,93.81726280575523,93.81726280575523,96.98732027194536,87.33860523494114,87.33860523494114,86.51208380541958,178.7845410058144,93.33336749477695,159.75202122828492,91.2198170144721,108.13571643051759
"W kernel support pred, ff7 [pixels]",112.7761749204072,139.446306299571,112.57548790019464,112.57548790019464,116.18033324299103,234.36922749654184,110.60314238601792,129.3883378973829,111.14205683498304,306.24103636237027,107.14440278350712,102.38842750236996,102.38842750236996,101.15680540904322,101.15680540904322,105.82417382364183,91.42705131163657,91.42705131163657,90.16415393987081,217.48122378199926,107.4814595351565,221.78799558884782,97.28941855973889,121.87171635086936
"W kernel support pred, ff8 [pixels]",,,,,125.48629987909949,265.332708647718,118.66089752003155,141.49586055219126,119.32243119757413,348.88541289282693,114.40398070447074,108.51564075262102,108.51564075262102,106.98348808054418,106.98348808054418,112.77366881004451,94.75243603882514,94.75243603882514,93.14562309509621,245.61824254904974,,,102.1505875855222,132.40875433880112
"W kernel support pred, ff9 [pixels]",,,,,138.04510027482235,305.3213842514612,129.6094965142016,157.63655649384143,130.42972713120017,403.6882136091303,124.31636130009899,116.94689597316906,116.94689597316906,115.01910224297235,115.01910224297235,122.28185563028485,99.44014213966466,99.44014213966466,97.36346318498154,282.03056763321814,,,108.90656483617839,146.54600841161954
"W kernel support pred, ff10 [pixels]",,,,,150.63916130880037,344.0137572497484,140.6561285705071,173.6519247458254,141.62923469524458,456.527372075447,134.36243152061866,125.55428273290438,125.55428273290438,123.24013144195477,123.24013144195477,131.93640604929612,104.34286472913725,104.34286472913725,101.79135318965632,317.315461695242,,,115.87071487482093,160.65051833606344
"W kernel support pred, ff11 [pixels]",,,,,163.18433439130496,381.5855447361256,151.7121416421521,189.47861691581406,152.8325772175291,507.72230675231447,144.4527559243907,134.2506368727606,134.2506368727606,131.56076361083348,131.56076361083348,141.6480876751071,109.40022179043117,109.40022179043117,106.37446765423512,351.6120140850268,,,122.96393726503376,174.64575265144262
W kernel support bw0 [uv-pixels],1.2151361582656959,1.7428680880732723,1.2107987527960316,1.2107987527960316,1.37219296560237,3.5666014741779497,1.2444728771839426,1.6548091565097105,1.2571018556504723,4.773168255095832,1.1616899930716076,1.0419754214184465,1.0419754214184465,1.009603362466286,1.009603362466286,1.1292123114857817,0.7225855367343653,0.7225855367343653,0.6790955893905477,3.2764668957807537,1.097759393663541,3.143886182984705,0.9032397002601065,1.496832987483785
W kernel support bw1 [uv-pixels],1.605530509266734,2.3030916965879547,1.5997978823807588,1.5997978823807588,1.8608829343217252,4.839108198890519,1.6876195680372446,2.2443099710051366,1.7047514351604136,6.477550823819804,1.5753226912262555,1.412934713233315,1.412934713233315,1.3690249003880242,1.3690249003880242,1.531267132834525,0.9797417154460004,0.9797417154460004,0.9207612503120477,4.445212310925906,1.4504005749098614,4.155588660647529,1.224756936191074,2.0299771756031095
W kernel support bw2 [uv-pixels],2.1389183802660066,3.06868769316003,2.13127843049853,2.13127843049853,2.310049977395876,6.009544643622966,2.094905641015007,2.7861935988570172,2.1161781427664526,8.045729437323807,1.9554700348878848,1.7538457472821236,1.7538457472821236,1.6993280574107588,1.6993280574107588,1.9007688028457403,1.2160328405421432,1.2160328405421432,1.142813885028354,5.520120551750811,1.9321806102385455,5.538873216834474,1.520212442406012,2.520027090150112
W kernel support bw3 [uv-pixels],2.8310000300239766,4.062335343662146,2.8208836356477924,2.8208836356477924,3.1334445678366207,8.15704617908723,2.841478272305878,3.77968535068213,2.8703455497314265,9.806032644477657,2.6522666508212676,2.3786840487809666,2.3786840487809666,2.3047131072100098,2.3047131072100098,2.578040805046122,1.6490395325874578,1.6490395325874578,1.5497174124883013,7.49214573930946,2.5572587728221827,7.3352973662263565,2.0616961625173698,3.41842047225727
W kernel support bw4 [uv-pixels],3.770127064747028,5.411118528080692,3.756647530572651,3.756647530572651,4.60186978555847,11.99233159115668,4.172764193107611,5.551840627657143,4.2151883064414015,16.068080123590807,3.8947070627718117,3.492703621848175,3.492703621848175,3.384019063120853,3.384019063120853,3.785634369693589,2.420816118989735,2.420816118989735,2.2749371008458352,11.013462217243399,3.4053973095231336,9.775560059646677,3.0269840919589033,5.0207522779601685
W kernel support bw5 [uv-pixels],5.0046808509983585,7.1848982539484005,4.986775931131348,4.986775931131348,5.928662976784819,15.463091672430165,5.375510659635387,7.1534456110692535,5.430196330353713,20.726329320498376,5.01710235180151,4.49897383559618,4.49897383559618,4.35890303519426,4.35890303519426,4.876517156377656,3.1177205396159726,3.1177205396159726,2.9297701190588343,14.199523926578095,4.5202329461428645,12.987564920044774,3.898790307993952,6.468689699380624
W kernel support bw6 [uv-pixels],6.653798905647392,9.555437182264537,6.629975699429443,6.629975699429443,8.334397474507504,17.105847050334976,7.556034093546333,10.058279086371721,7.6329788511701615,29.1951130080224,7.051771964554058,6.322890773946782,6.322890773946782,6.12586575560465,6.12586575560465,6.853990960488032,4.380410876106699,4.380410876106699,4.1161660034626335,19.985898193577842,6.009260416113882,17.28470615824615,5.4787302020999995,9.094412061759849
W kernel support bw7 [uv-pixels],9.936097094117144,14.276987788808174,9.900473849113606,9.900473849113606,10.531107070582344,27.536604841705074,9.54680501665164,12.711548627040473,9.644101822414727,36.950890625324114,8.909197361289772,7.987676138910875,7.987676138910875,7.738599760860965,7.738599760860965,8.659131528926885,5.532440848560632,5.532440848560632,5.198519404137948,25.279092985149074,8.972409221997845,25.857154168176667,6.920566003419702,11.492331170112664
W kernel support bw8 [uv-pixels],,,,,12.084863632703986,31.623133906983057,10.954742551929442,14.588672057351744,11.0664488622281,42.44868801885223,10.222731106024298,9.164848171096372,9.164848171096372,8.878931102862214,8.878931102862214,9.935652640300617,6.3467808465340925,6.3467808465340925,5.96357052991028,29.028090132900747,,,7.939952912395247,13.188583027538074
W kernel support bw9 [uv-pixels],,,,,14.062610949498849,36.83178562762325,12.746703977563692,16.978517650639102,12.876767912309734,49.460238735102095,11.894429950937608,10.662856440231572,10.662856440231572,10.330018363351389,10.330018363351389,11.560203972293422,7.382773306781374,7.382773306781374,6.936817492748901,33.805796719903306,,,9.237017802381423,15.347909355480262
W kernel support bw10 [uv-pixels],,,,,15.95509172246178,41.82281546467206,14.461234011380986,19.265817757725813,14.608880069349448,56.18291019269583,13.493785030138028,12.095891549777146,12.095891549777146,11.718128315396543,11.718128315396543,13.114409561387966,8.373538510431084,8.373538510431084,7.867535732542539,38.38316326668842,,,10.477671620523902,17.414339027816027
W kernel support bw11 [uv-pixels],,,,,17.778641939985373,46.638156312650416,16.11316131383772,21.470236036025625,16.277763138592626,62.6725045342218,15.03464680649727,13.476387626107048,13.476387626107048,13.055311731404583,13.055311731404583,14.611735834389481,9.327721224758232,9.327721224758232,8.763852756423963,42.79876758756631,,,11.672704450259669,19.40567689137192
AW kernel support bw0 [uv-pixels],10.073557260626691,10.15074328177125,10.073034975605536,10.073034975605536,10.093706630116046,10.616997978506369,10.077138122604378,10.135994936091295,10.078705525784542,11.080755172435431,10.067250053515245,10.05413908690546,10.05413908690546,10.05083573388319,10.05083573388319,10.063554066253683,10.026072504121327,10.026072504121327,10.023032017285473,10.52308107538601,10.060073343985945,10.482557909764303,10.040709235712683,10.111404897066462
AW kernel support bw1 [uv-pixels],10.128066361166198,10.261784998863131,10.127159190240368,10.127159190240368,10.171670722907315,11.109318978252873,10.141403246416258,10.248752472664812,10.144268207006432,11.914640769875046,10.123321667392197,10.099325943044898,10.099325943044898,10.093276434234943,10.093276434234943,10.116559644073634,10.047880066411276,10.047880066411276,10.042300596978572,10.943487217939593,10.10463566031447,10.829077389902722,10.0747223064831,10.203960374946071
AW kernel support bw2 [uv-pixels],10.226190485094621,10.460250673772203,10.224595236404632,10.224595236404632,10.263348912419701,11.666817339090274,10.217075395863363,10.380889883353538,10.221458307498127,12.83486510169152,10.189399543513073,10.15263389004349,10.15263389004349,10.143358213466751,10.143358213466751,10.179043277335627,10.073665463438669,10.073665463438669,10.065089347631922,11.422422287144775,10.1849556656169,11.43149668731817,10.114892281682788,10.312639649240657
AW kernel support bw3 [uv-pixels],10.393005396419063,10.793635552693384,10.390254303233657,10.390254303233657,10.47943103702223,12.904937131492025,10.395864503348742,10.690464038111774,10.403791788327128,14.005651581578112,10.345748807459936,10.279014437382846,10.279014437382846,10.262149019895668,10.262149019895668,10.326969274307096,10.13505458199591,10.13505458199591,10.11936875791022,12.495289023430106,10.321800832760532,12.401878383977458,10.21031787294298,10.568140731706197
AW kernel support bw4 [uv-pixels],10.687088381984031,11.37014528161088,10.682340598808747,10.682340598808747,11.008051849588826,15.614609088678925,10.835679997641172,11.43778537807492,10.852087930843554,18.925728489496354,10.731670098582264,10.592401927328446,10.592401927328446,10.557063276288787,10.557063276288787,10.692568801789651,10.288845935378784,10.288845935378784,10.255502855189738,14.876032737616837,10.563935385816567,13.984333179660709,10.448092299217702,11.189635983205273
AW kernel support bw5 [uv-pixels],11.18243401144624,12.313519517976603,11.174432163976428,11.174432163976428,11.625362131662781,18.41486367231588,11.353242481857494,12.295193536928403,11.37923688944856,23.012621039372082,11.187998749036945,10.96543503803561,10.96543503803561,10.908713749577709,10.908713749577709,11.125664904914474,10.474740157309073,10.474740157309073,10.420343226138476,17.367397034140257,10.974174496853756,16.391364877653647,10.733152652678875,11.909825625376428
AW kernel support bw6 [uv-pixels],12.011371273788619,13.831354949686009,11.998190604212992,11.998190604212992,13.017764065425254,19.814388794748474,12.533700619642811,14.183405027684387,12.580237125841904,30.860243413673825,12.236318394029743,11.831269912366183,11.831269912366183,11.727157850719404,11.727157850719404,12.12341503399317,10.917325654367643,10.917325654367643,10.814010475677447,22.3480676257268,11.666670936847119,19.969002653535615,11.402477126809012,13.516964553814699
AW kernel support bw7 [uv-pixels],14.0970218650509,17.430788287446376,14.07193598752433,14.07193598752433,14.522541655373878,29.29615343706773,13.82539279825224,16.173542237172864,13.89275710437288,38.28012954529628,13.39305034793839,12.798553437796246,12.798553437796246,12.644600676130402,12.644600676130402,13.228021727955229,11.428381413954572,11.428381413954572,11.270519242483852,27.185152972749908,13.435182441894563,27.723499448605978,12.161177319967361,15.23396454385867
AW kernel support bw8 [uv-pixels],,,,,15.685787484887436,33.16658858096475,14.832612190003944,17.686982569023908,14.915303899696767,43.61067661160337,14.300497588058843,13.564455094077628,13.564455094077628,13.372936010068022,13.372936010068022,14.096708601255564,11.844054504853142,11.844054504853142,11.643202886887027,30.702280318631217,,,12.768823448190275,16.55109429235014
AW kernel support bw9 [uv-pixels],,,,,17.255637534352793,38.16517303143265,16.2011870642752,19.704569561730178,16.30371589140002,50.461026701141286,15.539545162512374,14.618361996646133,14.618361996646133,14.377387780371544,14.377387780371544,15.285231953785607,12.430017767458082,12.430017767458082,12.170432898122693,35.25382095415227,,,13.613320604522299,18.318251051452442
AW kernel support bw10 [uv-pixels],,,,,18.829895163600046,43.00171965621855,17.582016071313387,21.706490593228175,17.703654336905572,57.06592150943087,16.795303940077332,15.694285341613048,15.694285341613048,15.405016430244347,15.405016430244347,16.492050756162016,13.042858091142156,13.042858091142156,12.72391914870704,39.66443271190525,,,14.483839359352617,20.08131479200793
AW kernel support bw11 [uv-pixels],,,,,20.39804179891312,47.6981930920157,18.96401770526901,23.684827114476757,19.104072152191137,63.46528834403931,18.056594490548836,16.781329609095074,16.781329609095074,16.445095451354184,16.445095451354184,17.706010959388387,13.675027723803897,13.675027723803897,13.29680845677939,43.95150176062835,,,15.37049215812922,21.830719081430328
"W kernel support bw, ff0 [pixels]",80.58845808501353,81.20594625417,80.58427980484429,80.58427980484429,80.74965304092837,84.93598382805095,80.61710498083502,81.08795948873036,80.62964420627634,88.64604137948345,80.53800042812196,80.43311269524368,80.43311269524368,80.40668587106552,80.40668587106552,80.50843253002947,80.20858003297062,80.20858003297062,80.18425613828379,84.18464860308808,80.48058675188756,83.86046327811442,80.32567388570146,80.8912391765317
"W kernel support bw, ff1 [pixels]",81.02453088932958,82.09427999090505,81.01727352192295,81.01727352192295,81.37336578325852,88.87455182602298,81.13122597133007,81.9900197813185,81.15414565605145,95.31712615900037,80.98657333913758,80.79460754435918,80.79460754435918,80.74621147387954,80.74621147387954,80.93247715258907,80.3830405312902,80.3830405312902,80.33840477582858,87.54789774351674,80.83708528251576,86.63261911922177,80.5977784518648,81.63168299956857
"W kernel support bw, ff2 [pixels]",81.80952388075697,83.68200539017762,81.79676189123705,81.79676189123705,82.10679129935761,93.33453871272219,81.7366031669069,83.0471190668283,81.77166645998501,102.67892081353216,81.51519634810458,81.22107112034791,81.22107112034791,81.14686570773401,81.14686570773401,81.43234621868501,80.58932370750935,80.58932370750935,80.52071478105537,91.3793782971582,81.4796453249352,91.45197349854536,80.91913825346231,82.50111719392525
"W kernel support bw, ff3 [pixels]",83.14404317135251,86.34908442154708,83.12203442586926,83.12203442586926,83.83544829617784,103.2394970519362,83.16691602678993,85.52371230489419,83.23033430661702,112.0452126526249,82.76599045967949,82.23211549906277,82.23211549906277,82.09719215916535,82.09719215916535,82.61575419445677,81.08043665596728,81.08043665596728,80.95495006328176,99.96231218744084,82.57440666208426,99.21502707181966,81.68254298354384,84.54512585364958
"W kernel support bw, ff4 [pixels]",85.49670705587225,90.96116225288704,85.45872479046997,85.45872479046997,88.06441479671061,124.9168727094314,86.68543998112938,91.50228302459936,86.81670344674843,151.40582791597083,85.85336078865811,84.73921541862757,84.73921541862757,84.4565062103103,84.4565062103103,85.54055041431721,82.31076748303028,82.31076748303028,82.0440228415179,119.0082619009347,84.51148308653254,111.87466543728567,83.58473839374162,89.51708786564218
"W kernel support bw, ff5 [pixels]",89.45947209156992,98.50815614381283,89.39545731181143,89.39545731181143,93.00289705330225,147.31890937852705,90.82593985485995,98.36154829542723,91.03389511558848,184.10096831497665,89.50398999229556,87.72348030428488,87.72348030428488,87.26970999662167,87.26970999662167,89.0053192393158,83.79792125847258,83.79792125847258,83.3627458091078,138.93917627312206,87.79339597483005,131.13091902122918,85.865221221431,95.27860500301142
"W kernel support bw, ff6 [pixels]",96.09097019030895,110.65083959748807,95.98552483370393,95.98552483370393,104.14211252340203,158.5151103579878,100.26960495714249,113.4672402214751,100.64189700673523,246.8819473093906,97.89054715223794,94.65015929892947,94.65015929892947,93.81726280575523,93.81726280575523,96.98732027194536,87.33860523494114,87.33860523494114,86.51208380541958,178.7845410058144,93.33336749477695,159.75202122828492,91.2198170144721,108.13571643051759
"W kernel support bw, ff7 [pixels]",112.7761749204072,139.446306299571,112.57548790019464,112.57548790019464,116.18033324299103,234.36922749654184,110.60314238601792,129.3883378973829,111.14205683498304,306.24103636237027,107.14440278350712,102.38842750236996,102.38842750236996,101.15680540904322,101.15680540904322,105.82417382364183,91.42705131163657,91.42705131163657,90.16415393987081,217.48122378199926,107.4814595351565,221.78799558884782,97.28941855973889,121.87171635086936
"W kernel support bw, ff8 [pixels]",,,,,125.48629987909949,265.332708647718,118.66089752003155,141.49586055219126,119.32243119757413,348.88541289282693,114.40398070447074,108.51564075262102,108.51564075262102,106.98348808054418,106.98348808054418,112.77366881004451,94.75243603882514,94.75243603882514,93.14562309509621,245.61824254904974,,,102.1505875855222,132.40875433880112
"W kernel support bw, ff9 [pixels]",,,,,138.04510027482235,305.3213842514612,129.6094965142016,157.63655649384143,130.42972713120017,403.6882136091303,124.31636130009899,116.94689597316906,116.94689597316906,115.01910224297235,115.01910224297235,122.28185563028485,99.44014213966466,99.44014213966466,97.36346318498154,282.03056763321814,,,108.90656483617839,146.54600841161954
"W kernel support bw, ff10 [pixels]",,,,,150.63916130880037,344.0137572497484,140.6561285705071,173.6519247458254,141.62923469524458,456.527372075447,134.36243152061866,125.55428273290438,125.55428273290438,123.24013144195477,123.24013144195477,131.93640604929612,104.34286472913725,104.34286472913725,101.79135318965632,317.315461695242,,,115.87071487482093,160.65051833606344
"W kernel support bw, ff11 [pixels]",,,,,163.18433439130496,381.5855447361256,151.7121416421521,189.47861691581406,152.8325772175291,507.72230675231447,144.4527559243907,134.2506368727606,134.2506368727606,131.56076361083348,131.56076361083348,141.6480876751071,109.40022179043117,109.40022179043117,106.37446765423512,351.6120140850268,,,122.96393726503376,174.64575265144262
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],10.616840196508372,15.285619380493202,10.616840196508372,10.616840196508372,4.666695403564863,0.38888103019801096,5.756668461138896,1.4297471999999998,3.3795740414086657,0.03291383423598158,4.608510056466361,0.19208482062335994,0.19208482062335994,9.369991249919998,9.369991249919998,9.369991249919998,9.369991249919998,9.369991249919998,9.369991249919998,18.739982499839996,7.454023450617133,19.752554594303994,9.369991249919998,18.739982499839996
Working (cache) memory [TeraBytes],0.08486596779446491,0.15176203419338927,0.08402788393599746,0.08402788393599746,0.19115762763595037,0.14871213880865566,0.19311329065809524,0.5887504769874395,0.15939683390419473,0.018885618198777925,0.3193225717139682,0.2540629418118046,0.2540629418118046,0.2495328507323008,0.2495328507323008,0.28782099650260795,0.10864599863322519,0.10864599863322519,0.09248202514665224,60.958157659296006,0.04387843784445482,7.0448780190341145,0.2854286485888623,5.69972017128457
Visibility I/O Rate [TeraBytes/s],5.898244553615761,8.492010766940668,5.898244553615761,5.898244553615761,2.5926085575360354,0.21604501677667273,3.1981491450771644,0.7943039999999998,2.560283364703534,0.024934722906046647,2.560283364703534,5.205550694399998,5.205550694399998,5.205550694399998,5.205550694399998,5.205550694399998,5.205550694399998,5.205550694399998,5.205550694399998,10.411101388799995,4.14112413923174,10.973641441279998,5.205550694399998,10.411101388799995
Inter-Facet I/O Rate [TeraBytes/s],0.03854724700334116,0.015863064610428464,0.11564174101002347,0.11564174101002347,0.7565427853117326,0.04723059363872666,0.8174486709020985,10.909183092852082,1.027310038777328,0.09771077847134876,7.533606951033744,38.280523125171456,38.280523125171456,1.245137815518077,1.245137815518077,1.0986510136924208,1.6442396123287932,1.6442396123287932,0.8309125313640159,10.374692054464283,0.038603435212410296,0.48199869114474175,0.9061520835725345,16.292341001100034
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,
