,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Frequencies total3,32768.0,28620.50430957373,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,20603.25389985791,32768.0,28620.50430957373,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,20603.25389985791,32768.0,28620.50430957373,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,20603.25389985791,65536.0,17538.05278782308,65536.0,65536.0,65536.0,38658.66473816171,65536.0,17538.05278782308,65536.0,65536.0,41000.0,8704.068635983613,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,65536.0,6710.683096582205,4473.825921121464,2485.5084313703824,2485.5084313703824,5000.0,65536.0,3223.386175080744,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,65536.0,32595.398284789022,12072.536783162255,12072.536783162255,12072.536783162255,65536.0,27120.86614583087,10045.111089951039,10045.111089951039,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,65536.0,61931.0179597129,61931.0179597129,22937.581107860868,22937.581107860868,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,65536.0,40188.588316266854,28930.85590535007,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,65536.0,28930.85590535007,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total4,32768.0,28620.50430957373,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,20603.25389985791,32768.0,28620.50430957373,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,20603.25389985791,32768.0,28620.50430957373,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,20603.25389985791,65536.0,17538.05278782308,65536.0,65536.0,65536.0,38658.66473816171,65536.0,17538.05278782308,65536.0,65536.0,41000.0,8704.068635983613,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,65536.0,6710.683096582205,4473.825921121464,2485.5084313703824,2485.5084313703824,5000.0,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,65536.0,32595.398284789022,12072.536783162255,12072.536783162255,12072.536783162255,65536.0,27120.86614583087,10045.111089951039,10045.111089951039,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,65536.0,61931.0179597129,61931.0179597129,22937.581107860868,22937.581107860868,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,65536.0,40188.588316266854,28930.85590535007,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,65536.0,28930.85590535007,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total5,,,,,,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,38658.66473816171,,,65536.0,65536.0,41000.0,8704.068635983613,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,,,,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,65536.0,32595.398284789022,12072.536783162255,12072.536783162255,12072.536783162255,,,,,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,65536.0,61931.0179597129,61931.0179597129,22937.581107860868,22937.581107860868,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total6,,,,,,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,38658.66473816171,,,65536.0,65536.0,41000.0,8704.068635983613,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,,,,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,65536.0,32595.398284789022,12072.536783162255,12072.536783162255,12072.536783162255,,,,,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,65536.0,61931.0179597129,61931.0179597129,22937.581107860868,22937.581107860868,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total7,,,,,,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,38658.66473816171,,,65536.0,65536.0,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,,,,,,,,,,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,65536.0,61931.0179597129,61931.0179597129,22937.581107860868,22937.581107860868,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total8,,,,,,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,38658.66473816171,,,65536.0,65536.0,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,,,,,,,,,,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,65536.0,61931.0179597129,61931.0179597129,22937.581107860868,22937.581107860868,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total9,,,,,,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,38658.66473816171,,,65536.0,65536.0,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,,,,,,,,,,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,65536.0,61931.0179597129,61931.0179597129,22937.581107860868,22937.581107860868,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total10,,,,,,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,38658.66473816171,,,65536.0,65536.0,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,,,,,,,,,,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,,,,,,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies total11,,,,,,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,38658.66473816171,,,65536.0,65536.0,,,,,,,,,,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,26821.757621142282,26821.757621142282,,,,,,,,,,65536.0,65536.0,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,65536.0,65536.0,36217.0797262356,36217.0797262356,,,,,,65536.0,65536.0,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,65536.0,65536.0,30248.837988860792,30248.837988860792,,,,,,,,,,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,52894.984155741186,65536.0,40846.13429392234,40846.13429392234,40846.13429392234,65536.0,65536.0,65536.0,65536.0,37447.92916390444,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,52699.03674708295,65536.0,61326.952869097106,29413.94240453857,61326.952869097106,22713.79589957005,22713.79589957005,22713.79589957005,65536.0,41393.113314935865,65536.0,48470.869472655,23247.839731027296,48470.869472655,17952.25676627103,17952.25676627103,17952.25676627103,65536.0,32715.79589612461,65536.0,31235.990037250303,14981.562994764889,31235.990037250303,11568.940965195548,11568.940965195548,11568.940965195548,65536.0,21082.97921259454
Frequencies backward kernels0,(undefined),287.07960266626304,287.07960266617107,205.2355925585214,225.89228829159765,439.89013651140453,(undefined),(undefined),287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,(undefined),(undefined),287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,(undefined),(undefined),163.88716955100116,(undefined),83.3806031871035,(undefined),45.26965379945632,(undefined),163.88716955100116,(undefined),130.5212706969548,(undefined),44.214337830785716,44.214337830785716,52.96991962867746,58.67851098670986,106.85900096534097,(undefined),49.98733731145918,51.619512886976175,53.61488284219465,54.32359955767923,40.0,(undefined),40.320159971936874,47.001252315962354,41.39204407588173,43.95321245647953,40.0,(undefined),83.3806031871035,(undefined),82.80205330677371,82.80205330677371,83.97922437468992,83.97922437468992,(undefined),131.64462593106882,143.36195382070053,133.66874991396506,149.66365218641158,(undefined),245.01599164699897,252.14216618306602,281.42041965279765,(undefined),112.59321385149897,115.3372085335266,110.90810275829841,109.10978996971649,(undefined),112.59321385149897,112.59321385149897,110.90810275829841,109.10978996971649,(undefined),120.5604141984599,120.5604141984599,148.35292310258143,110.90810275829841,(undefined),92.41593210662438,92.16013813132204,94.0272040242694,94.0272040242694,(undefined),92.41593210662438,92.41593210662438,94.0272040242694,94.0272040242694,(undefined),378.07685560567126,511.68544926150395,378.0768556064015,282.79907643973695,287.3652905316958,306.29285150258306,784.9697651096019,(undefined),(undefined),240.55111728046495,288.96629213239663,240.55111728046495,246.72844731713064,246.72844731713064,233.36436975478242,411.8059337931923,(undefined),(undefined),130.5212706969548,162.1223555377206,130.5212706969548,128.67231012004186,128.67231012004186,126.70077328326667,230.6442270502567,(undefined),(undefined),89.25308069276149,114.10702820215855,89.25308069276149,92.11650820922553,89.02908134657224,89.02908134657224,167.6933876695436,(undefined),(undefined),71.32970109768817,91.56805341145231,71.32970109768817,72.86578627656844,72.86578627656844,72.86578627656844,132.64639335183415,(undefined),(undefined),53.80600686093694,69.21759889713977,53.80600686093694,53.738911862089374,53.738911862089374,54.6706599684255,99.52280345842738,(undefined),(undefined),40.0,46.56898301296599,40.0,40.0,40.0,40.0,66.20293531148351,(undefined)
Frequencies backward kernels1,,287.07960266626304,287.07960266617107,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,163.88716955100116,,88.32923993228476,,46.552061974689806,,163.88716955100116,,134.7932222286426,,48.884982935847646,48.88498247058797,52.96991962867746,70.3572980117234,130.90394095628784,,51.78181282266789,52.79210211106385,53.61488284219465,54.32359955767923,40.25679463639328,,40.98345712139571,47.001252315962354,41.39204407588173,43.95321245647953,40.0,,88.32923993228476,,83.1718642963872,83.1718642963872,85.3156505461264,85.3156505461264,,137.86124928085746,143.36195382070053,133.66874991396506,172.16244326515496,,245.01599164699897,252.14216618306602,281.42041965279765,,116.4817028845609,121.32483381576144,113.46655987791394,110.21137048140578,,116.4817028845609,116.4817028845609,113.46655987791394,110.21137048140578,,130.34413218749336,130.34413218749336,148.35292310258143,113.46655987791394,,92.92263585216023,92.45422915223457,95.85069509695458,95.85069509695458,,92.92263585216023,92.92263585216023,95.85069509695458,95.85069509695458,,378.07685560567126,512.5275361364819,378.0768556064015,282.79907643973695,287.3652905316958,306.29285150258306,784.9697651096019,,,254.25991648989043,289.3210998084684,254.25991648989043,264.9400543923313,264.9400543923313,241.61099320620596,416.43735320207855,,,134.7932222286426,162.1721661191935,134.7932222286426,131.48010139262894,131.48010139262894,127.90826184547238,232.8447317924302,,,90.15779249332888,114.11073213443272,90.15779249332888,95.31162669913276,89.74942435110191,89.74942435110191,173.5161129757457,,,71.81339441948799,91.57002388157284,71.81339441948799,74.59725257538823,74.59725257538823,74.59725257538823,135.80178560456517,,,54.077799764037714,69.21870343964841,54.077799764037714,53.95495814365939,53.95495814365939,55.65050501174252,101.30845494752103,,,40.0,46.56933995449551,40.0,40.0,40.0,40.0,66.78816884961081,
Frequencies backward kernels2,,287.07960266626304,287.07960266617107,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,163.88716955100116,,93.86539342218843,,48.029100380318425,,163.88716955100116,,139.69250559424847,,48.884982935847646,48.88498247058797,52.96991962867746,70.3572980117234,145.41078459230187,,51.78181282266789,52.79210211106385,53.61488284219465,54.32359955767923,45.7540659647135,,40.98345712139571,47.001252315962354,41.39204407588173,43.95321245647953,40.0,,93.86539342218843,,83.60811415338816,83.60811415338816,86.87400600652175,86.87400600652175,,137.86124928085746,143.36195382070053,133.66874991396506,172.16244326515496,,245.01599164699897,252.14216618306602,281.42041965279765,,120.93345154691704,128.0687309547066,116.42861730507013,111.50346726450282,,120.93345154691704,120.93345154691704,116.42861730507013,111.50346726450282,,141.08295872113933,141.08295872113933,148.35292310258143,116.42861730507013,,93.5197606310994,92.80159684254527,97.96958452361316,97.96958452361316,,93.5197606310994,93.5197606310994,97.96958452361316,97.96958452361316,,378.07685560567126,519.2337681445367,378.0768556064015,282.79907643973695,287.3652905316958,306.29285150258306,784.9697651096019,,,269.6289649781559,290.011566687786,269.6289649781559,285.0555805580128,285.0555805580128,251.04488797423124,421.86349479267636,,,139.69250559424847,162.26919038128628,139.69250559424847,134.73485323671414,134.73485323671414,129.3253974436776,235.42729347304606,,,91.2189289546226,114.11794712801736,91.2189289546226,98.96904050243096,90.59607169205731,90.59607169205731,180.18131735402588,,,72.38265431195293,91.57386211302006,72.38265431195293,76.60048231198618,76.60048231198618,76.60048231198618,139.45243476570508,,,54.39823338639586,69.22085490954366,54.39823338639586,54.20993234547962,54.20993234547962,56.79075948193634,103.38643371288914,,,40.0,46.57003518742353,40.0,40.0,40.0,40.0,67.47550054522527,
Frequencies backward kernels3,,287.07960266626304,287.07960266617107,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,163.88716955100116,,105.9582499594555,,51.39300162423354,,163.88716955100116,,150.77739859544076,,48.884982935847646,48.88498247058797,52.96991962867746,70.3572980117234,145.41078459230187,,51.78181282266789,52.79210211106385,53.61488284219465,54.32359955767923,47.42151211687932,,40.98345712139571,47.001252315962354,41.39204407588173,43.95321245647953,40.0,,105.9582499594555,,84.6422967338824,84.6422967338824,90.4943719109433,90.4943719109433,,137.86124928085746,143.36195382070053,133.66874991396506,172.16244326515496,,245.01599164699897,252.14216618306602,281.42041965279765,,130.97935085917197,142.93457343009695,123.22993990489024,114.53559244084491,,130.97935085917197,130.97935085917197,123.22993990489024,114.53559244084491,,146.70195294879622,146.7019538701717,148.35292310258143,123.22993990489024,,94.93268868777362,93.62699941647928,102.86379115111605,102.86379115111605,,94.93268868777362,94.93268868777362,102.86379115111605,102.86379115111605,,378.07685560567126,570.3194132823727,378.0768556064015,282.79907643973695,287.3652905316958,306.29285150258306,784.9697651096019,,,296.208445743322,292.83604652987657,296.20844373302106,286.42715556822776,306.8071406143611,272.3090254431536,434.57136225458396,,,150.77739859544076,162.66762243126047,150.77739859544076,142.22313677098973,142.22313677098973,132.65428502799682,241.49379687354653,,,93.70888846235526,114.14759834058799,93.70888846235526,107.22064389955365,92.58998657178937,92.58998657178937,195.21889120937453,,,73.72647292473965,91.58963573102685,73.72647292473965,81.19514212332018,81.19514212332018,81.19514212332018,147.82565944520468,,,55.1570470996182,69.22969645259715,55.1570470996182,54.814873121204336,54.814873121204336,59.43090839666146,108.19779290581141,,,40.0,46.572892126000085,40.0,40.0,40.0,40.0,69.09207452232738,
