,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
W kernel support pred1 [uv-pixels],,9.571439561604967,9.571439561607,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,8.426972114961146,,5.042530332267835,,3.3123202916503938,,8.426972114961146,,3.5849004142001593,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,14.760010806960743,,5.087979793711627,5.501994676469408,5.803463108722217,6.037580277935649,9.694128376353719,,4.279737769166389,7.047929098393096,4.5056500370039645,5.767287215441085,8.862083998412457,,5.042530332267835,,1.2692209980431015,1.2692209980431015,2.436209957244668,2.436209957244668,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,4.119218030388623,4.7766861283968804,6.978066363031237,,3.6929543740178215,4.657252879088964,2.9649649350370177,1.9238666841737944,,3.6929543740178215,3.6929543740178215,2.9649649350370177,1.9238666841737944,,6.1287342405820615,6.1287342405820615,8.496003593825929,2.9649649350370177,,1.4083224565214292,1.0709087122848948,2.703448060721991,2.703448060721991,,1.4083224565214292,1.4083224565214292,2.703448060721991,2.703448060721991,,8.501936139695557,0.4886127695866622,8.501936139664029,3.528459957896282,3.762938896704808,5.134227563457751,9.489766390993237,,,4.921407531597079,0.5325104404867114,4.921407531597079,5.767610431797001,5.767610431797001,3.7403418662365673,2.032805280771404,,,3.5849004142001593,0.26622873645904577,3.5849004142001593,2.8782467508693417,2.8782467508693417,1.867634582261955,1.867634582261955,,,1.9278261732647402,0.08652404546433214,1.9278261732647402,3.701836085943349,1.7172557981159582,1.7172557981159582,3.701836085943349,,,1.5691287000865404,0.0704489033297653,1.5691287000865404,3.012432749101546,3.012432749101546,3.012432749101546,3.012432749101546,,,1.3509337192184103,0.06066588921005481,1.3509337192184103,2.5931895679169688,1.2034320101735507,2.5931895679169688,2.5931895679169688,,,1.3085027310468316,0.04204490424355305,1.3085027310468316,1.7959126023435839,1.7959126023435839,1.7959126023435839,1.7959126023435839,
W kernel support pred2 [uv-pixels],,9.571439561604967,9.571439561607,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,8.426972114961146,,6.26231551820893,,4.112694532727357,,8.426972114961146,,4.45129858556229,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,16.894111141543203,,5.087979793711627,5.501994676469408,5.803463108722217,6.037580277935649,12.044780620948854,,4.279737769166389,7.047929098393096,4.5056500370039645,5.767287215441085,9.276791364319461,,6.26231551820893,,1.5754158727337388,1.5754158727337388,3.024514393639226,3.024514393639226,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,4.119218030388623,4.7766861283968804,6.978066363031237,,4.58553067960704,5.783580857330348,3.6812327043967707,2.388260566326599,,4.58553067960704,4.58553067960704,3.6812327043967707,2.388260566326599,,7.612185406250828,7.612185406250828,8.496003593825929,3.6812327043967707,,1.7481192130432452,1.329211325595005,3.356416229675997,3.356416229675997,,1.7481192130432452,1.7481192130432452,3.356416229675997,3.356416229675997,,8.501936139695557,1.3836854797576585,8.501936139664029,3.528459957896282,3.762938896704808,5.134227563457751,9.489766390993237,,,6.111808024213436,0.8202053221926542,6.111808024213436,7.1633726934686175,7.1633726934686175,4.6443996627123365,2.5235390417095203,,,4.45129858556229,0.409996915864168,4.45129858556229,3.5735223925939597,3.5735223925939597,2.318433828687325,2.318433828687325,,,2.3931773382756996,0.1332295500717633,2.3931773382756996,4.5965642922041265,2.1317047734855246,2.1317047734855246,4.5965642922041265,,,1.9477792737044373,0.10847530097995917,1.9477792737044373,3.740192095888701,3.740192095888701,3.740192095888701,3.740192095888701,,,1.676866556738406,0.09341069336365357,1.676866556738406,3.219475861721528,1.4937371942337203,3.219475861721528,3.219475861721528,,,1.6241859170739792,0.06473749312980329,1.6241859170739792,2.2293739198633458,2.2293739198633458,2.2293739198633458,2.2293739198633458,
W kernel support pred3 [uv-pixels],,9.571439561604967,9.571439561607,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,8.426972114961146,,8.50047745124746,,5.580596697827125,,8.426972114961146,,6.040415614112893,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,16.894111141543203,,5.087979793711627,5.501994676469408,5.803463108722217,6.037580277935649,13.046176661362315,,4.279737769166389,7.047929098393096,4.5056500370039645,5.767287215441085,9.276791364319461,,8.50047745124746,,2.1365920742394895,2.1365920742394895,4.103183188452253,4.103183188452253,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,4.119218030388623,4.7766861283968804,6.978066363031237,,6.222713060424202,7.850055627565392,4.9947450022257405,3.239587613144719,,6.222713060424202,6.222713060424202,4.9947450022257405,3.239587613144719,,8.294460249384052,8.294460517189513,8.496003593825929,4.9947450022257405,,2.370914070637911,1.8025735288895692,4.553750462536098,4.553750462536098,,2.370914070637911,2.370914070637911,4.553750462536098,4.553750462536098,,8.501936139695557,3.923139052367293,8.501936139664029,3.528459957896282,3.762938896704808,5.134227563457751,9.489766390993237,,,7.847594367879539,1.5081053989072117,7.847594339653568,7.241139980025107,8.484905714354678,6.3026638291180355,3.423186988812577,,,6.040415614112893,0.7536199653627027,6.040415614112893,4.848504693355929,4.848504693355929,3.1448225198644963,3.1448225198644963,,,3.2462604809804363,0.24482101044143323,3.2462604809804363,6.237697858907117,2.8914156916473313,2.8914156916473313,6.237697858907117,,,2.6418307174380202,0.19932637283209165,2.6418307174380202,5.074797319557941,5.074797319557941,5.074797319557941,5.074797319557941,,,2.274237261994897,0.17164110589475248,2.274237261994897,4.367843731792761,2.0257771255957366,4.367843731792761,4.367843731792761,,,2.2027610677450515,0.1189492096603082,2.2027610677450515,3.023958669925367,3.023958669925367,3.023958669925367,3.023958669925367,
W kernel support pred4 [uv-pixels],,9.571439561604967,9.571439561607,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,8.426972114961146,,11.022943424603115,,8.200404045658608,,8.426972114961146,,8.58889188277301,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,16.894111141543203,,5.087979793711627,5.501994676469408,5.803463108722217,6.037580277935649,13.046176661362315,,,,,,,,11.022943424603115,,3.137015039736,3.137015039736,6.02747240439238,6.02747240439238,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,4.119218030388623,4.7766861283968804,6.978066363031237,,9.145155973767588,10.461741738557778,7.0190634293233645,4.757882339798518,,9.145155973767588,9.145155973767588,7.019063429597019,4.757882339798518,,8.294460249384052,8.294460517189513,8.496003593825929,7.338615020252308,,3.481287116712576,2.64633358946853,6.69002896168839,6.69002896168839,,3.481287116712576,3.481287116712576,6.69002896168839,6.69002896168839,,8.501936139695557,8.205728526153743,8.501936139664029,3.528459957896282,3.762938896704808,5.134227563457751,9.489766390993237,,,7.847594367879539,3.2504789400702174,7.847594339653568,7.241139980025107,8.484905714354678,9.262802364061878,5.027758937737286,,,8.58889188277301,1.6232843182302834,8.588891971322187,6.49262425808254,7.123522881883418,4.6185931441836985,4.6185931441836985,,,4.767690571681026,0.5270406488096513,4.767690571681026,7.904783897820902,4.246153878393419,4.246153878393419,9.167205652224586,,,3.879371547551778,0.429073587484636,3.879371547551778,7.456361738976342,7.456361738976342,7.456361738976342,7.456361738976342,,,3.339242385260959,0.36946215703722224,3.339242385260959,6.4166406874876145,2.974216200474319,6.4166406874876145,6.4166406874876145,,,3.2342284099371548,0.25601900675878836,3.2342284099371548,4.440951079266026,4.440951079266026,4.440951079266026,4.440951079266026,
W kernel support pred5 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.022943424603115,,10.569479053036934,,,,8.58889188277301,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,16.894111141543203,,,,,,,,,,,,,,11.022943424603115,,4.040583123706381,4.040583123706381,6.865433708831976,7.766765471362758,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,,,,,9.607983112162117,10.461741738557778,7.0190634293233645,6.129789626934148,,9.607983112162117,9.607983112442334,7.019063429597019,6.129789626934148,,8.294460249384052,8.294460517189513,8.496003593825929,8.599005493780172,,4.484260256113697,3.4082926702483607,7.004442459229159,8.62122321999145,,4.484260256113697,4.484260256113697,7.004442459229159,8.62122321999145,,,,,,,,,,,7.847594367879539,5.393608468909343,7.847594339653568,7.241139980025107,8.484905714354678,9.380296328895957,6.477723176360262,,,8.58889188277301,2.6918738823714676,8.588891971322187,6.49262425808254,7.822410079518001,5.950221878561327,5.950221878561327,,,6.142434341516951,0.873490608501621,6.142434341516951,7.904783897820902,5.4701120228921845,5.4701120228921845,11.816861863427214,,,4.997335981508092,0.7110785122808531,4.997335981508092,8.158893684166692,9.609656456234873,9.609656456234873,9.609656456234873,,,4.301196756130765,0.6122621414741536,4.301196756130765,8.268637420900898,3.830791756046065,8.268637420900898,8.268637420900898,,,4.1658618365049875,0.4242303135914847,4.1658618365049875,5.721219044911553,5.721219044911553,5.721219044911553,5.721219044911553,
W kernel support pred6 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.022943424603115,,11.962097071015398,,,,8.58889188277301,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,16.894111141543203,,,,,,,,,,,,,,11.022943424603115,,5.678147242474211,5.678147242474211,6.865433708831976,10.921744381539064,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,,,,,9.607983112162117,10.461741738557778,7.0190634293233645,8.617442307508657,,9.607983112162117,9.607983112442334,7.019063429597019,8.617442307508657,,8.294460249384052,8.294460517189513,8.496003593825929,8.599005493780172,,6.3021940841770805,4.788970245952585,7.004442459229159,12.124928086688872,,6.3021940841770805,6.3021940841770805,7.004442459229159,12.124928086688872,,,,,,,,,,,7.847594367879539,10.660900155535018,7.847594339653568,7.241139980025107,8.484905714354678,9.380296328895957,9.1071264513618,,,8.58889188277301,5.3141007609900734,8.588891971322187,6.49262425808254,7.822410079518001,8.36473645385692,8.36473645385692,,,8.63523771822864,1.7224383088306823,8.63523771822864,7.904783897820902,7.689142501652058,7.689142501652058,16.62702242971169,,,7.023963305308395,1.4019949374734644,7.023963305308395,8.158893684166692,11.124022028038505,13.517089807047043,13.517089807047043,,,6.044698117303024,1.207062427762875,6.044698117303024,8.371156599674695,5.383100605644292,11.628410982530248,11.628410982530248,,,5.854346756371612,0.8362156232078194,5.854346756371612,8.042479684370262,8.042479684370262,8.042479684370262,8.042479684370262,
W kernel support pred7 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.022943424603115,,11.962097071015398,,,,8.58889188277301,,,,,,,,,,,,,,,,,,,,11.022943424603115,,7.172634929912508,7.172634929912508,6.865433708831976,13.803923656659578,,,,,,,,,,,9.607983112162117,10.461741738557778,7.0190634293233645,10.889072134284806,,9.607983112162117,9.607983112442334,7.019063429597019,10.889072134284806,,8.294460249384052,8.294460517189513,8.496003593825929,8.599005493780172,,7.961511226463046,6.048767095788943,7.004442459229159,15.32631855624362,,7.961511226463046,7.961511226463046,7.004442459229159,15.32631855624362,,,,,,,,,,,7.847594367879539,17.033516289096198,7.847594339653568,7.241139980025107,8.484905714354678,9.380296328895957,11.508412652802436,,,8.58889188277301,8.480213015296309,8.588891971322187,6.49262425808254,7.822410079518001,10.569475772686832,10.569475772686832,,,9.383335631875248,2.745579993307315,9.38333573832374,7.904783897820902,9.71512170428332,9.71512170428332,21.025160732651173,,,8.874036741474946,2.234500934608175,8.874036741474946,8.158893684166692,11.124022028038505,17.08816427007813,17.08816427007813,,,7.635991433392867,1.9236558885874566,7.635991433392867,8.371156599674695,6.799690944212412,14.698039480167617,14.698039480167617,,,7.395364415986174,1.3324177294929267,7.395364415986174,8.78598803976795,10.161938447178807,10.161938447178807,10.161938447178807,
W kernel support pred8 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.022943424603115,,11.962097071015398,,,,8.58889188277301,,,,,,,,,,,,,,,,,,,,11.022943424603115,,8.229281326261077,8.229281326261077,6.865433708831976,15.843221187490807,,,,,,,,,,,9.607983112162117,10.461741738557778,7.0190634293233645,12.495883905531441,,9.607983112162117,9.607983112442334,7.019063429597019,12.495883905531441,,8.294460249384052,8.294460517189513,8.496003593825929,8.599005493780172,,9.134812896725139,6.939348280608262,7.004442459229159,17.591812751738644,,9.134812896725139,9.134812896725139,7.004442459229159,17.591812751738644,,,,,,,,,,,7.847594367879539,22.447432824304194,7.847594339653568,7.241139980025107,8.484905714354678,9.380296328895957,13.20704926796559,,,8.58889188277301,11.165363531776867,8.588891971322187,6.49262425808254,7.822410079518001,12.12891846898425,12.12891846898425,,,9.383335631875248,3.611913184581021,9.38333573832374,7.904783897820902,11.147987305921351,11.147987305921351,24.13913953624257,,,10.18236589725774,2.939284573644833,10.18236589725774,8.158893684166692,11.124022028038505,19.615686801761562,19.615686801761562,,,8.761148113587945,2.5302371693689447,8.761148113587945,8.371156599674695,7.801213420406173,16.870159101898224,16.870159101898224,,,8.484939710920838,1.7523374534652452,8.484939710920838,8.78598803976795,11.660992933633263,11.660992933633263,11.660992933633263,
W kernel support pred9 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.022943424603115,,11.962097071015398,,,,8.58889188277301,,,,,,,,,,,,,,,,,,,,11.022943424603115,,9.573793611802477,9.573793611802477,6.865433708831976,18.43979118609973,,,,,,,,,,,9.607983112162117,10.461741738557778,7.0190634293233645,14.541235293817078,,9.607983112162117,9.607983112442334,7.019063429597019,14.541235293817078,,8.294460249384052,8.294460517189513,8.496003593825929,8.599005493780172,,10.627891701742737,8.072405280300998,7.004442459229159,20.476770078540945,,10.627891701742737,10.627891701742737,7.004442459229159,20.476770078540945,,,,,,,,,,,7.847594367879539,30.432489368613744,7.847594339653568,7.241139980025107,8.484905714354678,9.380296328895957,15.369414675098303,,,8.58889188277301,15.118905128261733,8.588891971322187,6.49262425808254,7.822410079518001,14.113910996953948,14.113910996953948,,,9.383335631875248,4.885438588555877,9.38333573832374,7.904783897820902,12.971707126307509,12.971707126307509,28.106373669421952,,,11.847434900895617,3.97513547991416,11.847434900895617,8.158893684166692,11.124022028038505,22.83478859917018,22.83478859917018,,,10.192909237710154,3.4216478063023112,10.192909237710154,8.371156599674695,9.075529970331127,19.63606206159642,19.63606206159642,,,9.871386511537306,2.369281519118573,9.871386511537306,8.78598803976795,13.569041698901085,13.569041698901085,13.569041698901085,
W kernel support pred10 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.022943424603115,,11.962097071015398,,,,8.58889188277301,,,,,,,,,,,,,,,,,,,,11.022943424603115,,10.85986962861775,10.85986962861775,6.865433708831976,20.92519745915881,,,,,,,,,,,9.607983112162117,10.461741738557778,7.0190634293233645,16.498476220165518,,9.607983112162117,9.607983112442334,7.019063429597019,16.498476220165518,,,,,,,12.056206932474282,9.156068791659703,7.004442459229159,23.238593414473865,,12.056206932474282,12.056206932474282,7.004442459229159,23.238593414473865,,,,,,,,,,,7.847594367879539,39.22829705160302,7.847594339653568,7.241139980025107,8.484905714354678,9.380296328895957,17.438755948305136,,,8.58889188277301,19.465459182410857,8.588891971322187,6.49262425808254,7.822410079518001,16.013332014868563,16.013332014868563,,,9.383335631875248,6.283037577269824,9.38333573832374,7.904783897820902,14.716654132975268,14.716654132975268,31.90605545061906,,,13.440440979376893,5.111663892310226,13.440440979376893,8.158893684166692,11.124022028038505,25.916960062818728,25.916960062818728,,,11.56251571733199,4.399563159380168,11.56251571733199,8.371156599674695,10.294407197599162,22.28376543397673,22.28376543397673,,,11.197608967781072,3.04590239923036,11.197608967781072,8.78598803976795,15.394759908507782,15.394759908507782,15.394759908507782,
W kernel support pred11 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,11.022943424603115,,11.962097071015398,,,,8.58889188277301,,,,,,,,,,,,,,,,,,,,11.022943424603115,,12.09868806453974,12.09868806453974,6.865433708831976,23.320764727814215,,,,,,,,,,,9.607983112162117,10.461741738557778,7.0190634293233645,18.384489622747385,,9.607983112162117,9.607983112442334,7.019063429597019,18.384489622747385,,,,,,,13.432152302610156,10.199782306340682,7.004442459229159,25.90091713508214,,13.432152302610156,13.432152302610156,7.004442459229159,25.90091713508214,,,,,,,,,,,7.847594367879539,48.78067946793302,7.847594339653568,7.241139980025107,8.484905714354678,9.380296328895957,19.432902046747802,,,8.58889188277301,24.176918647384856,8.588891971322187,6.49262425808254,7.822410079518001,17.84357579701083,17.843575925532207,,,9.383335631875248,7.795262013465333,9.38333573832374,7.904783897820902,16.39791478899266,16.39791466265165,35.57040676881927,,,14.975180440857986,6.341146946143717,14.975180440857986,8.158893684166692,11.124022028038505,28.888500009148512,28.888499906305206,,,12.881860184205397,5.457316004728666,12.881860184205397,8.371156599674695,11.46844845542034,24.8359512618899,24.835951210120033,,,12.475129018215473,3.7775550938690654,12.475129018215473,8.78598803976795,17.15391840820388,17.15391836208257,17.15391830725398,
AW kernel support pred0 [uv-pixels],(undefined),13.138205938462706,13.138205938464186,9.850590902944816,10.708351962595456,10.539090285973792,(undefined),(undefined),13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,(undefined),(undefined),13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,(undefined),(undefined),12.329390050863536,(undefined),9.737136716555264,(undefined),9.325376130478231,(undefined),12.329390050863536,(undefined),9.37996754276486,(undefined),10.626311576015578,10.626311576015578,12.688257315562138,14.109834304833678,14.109834304833678,(undefined),9.927977202896425,10.252867431725015,10.70888341771913,10.83754472251522,11.488695871496287,(undefined),9.800692515168521,11.431242477350226,10.064833940803686,10.689321859939955,11.118480581033474,(undefined),9.737136716555264,(undefined),9.0485433811166,9.0485433811166,9.177498934931972,9.177498934931972,(undefined),10.997450545893832,11.956381562945573,11.139234680087231,12.50577664816405,(undefined),9.89787639758543,10.189049532180084,11.38830146101112,(undefined),9.402706720657049,9.632399279819598,9.261650524711653,9.11111852306217,(undefined),9.402706720657049,9.402706720657049,9.261650524711653,9.11111852306217,(undefined),10.06962010510775,10.06962010510775,12.376674717641372,9.261650524711653,(undefined),9.059726168649705,9.03458878250393,9.218069092632598,9.218069092632598,(undefined),9.059726168649705,9.059726168649705,9.218069092632598,9.218069092632598,(undefined),12.380747882234795,9.001655764800468,12.380747882213146,9.666955553558598,9.754983810357349,10.361481200743903,13.078825106087502,(undefined),(undefined),9.703438047910819,9.00466256037315,9.703438047910819,9.953190885284558,9.953190885284558,9.41287393668765,9.123965902381713,(undefined),(undefined),9.37996754276486,9.001166004462728,9.37996754276486,9.246777081560472,9.246777081560472,9.104756808704767,9.104756808704767,(undefined),(undefined),9.111573406730516,9.0001232006705,9.111573406730516,9.404603311966117,9.088650352990447,9.088650352990447,9.404603311966117,(undefined),(undefined),9.074080424011553,9.000081677635182,9.074080424011553,9.269968250271928,9.269968250271928,9.269968250271928,9.269968250271928,(undefined),(undefined),9.05497351192242,9.000060569435695,9.05497351192242,9.200841664284521,9.043654494970419,9.200841664284521,9.200841664284521,(undefined),(undefined),9.051585084834544,9.000029094502116,9.051585084834544,9.096910131422238,9.096910131422238,9.096910131422238,9.096910131422238,(undefined)
AW kernel support pred1 [uv-pixels],,13.138205938462706,13.138205938464186,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,12.329390050863536,,10.31635168806498,,9.590175478815754,,12.329390050863536,,9.687698951749713,,11.72178008017809,11.72178004111408,12.688257315562138,16.87113907479605,17.287507600044545,,10.338642966135247,10.54855181623988,10.70888341771913,10.83754472251522,13.227854133502772,,9.96574911247666,11.431242477350226,10.064833940803686,10.689321859939955,12.630777204705897,,10.31635168806498,,9.089055063199558,9.089055063199558,9.32390041537221,9.32390041537221,,11.497996684723134,11.956381562945573,11.139234680087231,14.348155895086997,,9.89787639758543,10.189049532180084,11.38830146101112,,9.72820188979327,10.13360766853456,9.475812211414866,9.20332890961058,,9.72820188979327,9.72820188979327,9.475812211414866,9.20332890961058,,10.888589596071798,10.888589596071798,12.376674717641372,9.475812211414866,,9.109520961145133,9.063489696030315,9.397267231329621,9.397267231329621,,9.109520961145133,9.109520961145133,9.397267231329621,9.397267231329621,,12.380747882234795,9.013253709876537,12.380747882213146,9.666955553558598,9.754983810357349,10.361481200743903,13.078825106087502,,,10.257692337561135,9.015739979015995,10.257692337561135,10.689496250664648,10.689496250664648,9.746289410658912,9.226716496648855,,,9.687698951749713,9.003936791210641,9.687698951749713,9.449037218621267,9.449037218621267,9.191738624050446,9.191738624050446,,,9.20415741685922,9.00041590208161,9.20415741685922,9.731576974323966,9.162366914513022,9.162366914513022,9.731576974323966,,,9.135762960882648,9.000275720664359,9.135762960882648,9.490771889991851,9.490771889991851,9.490771889991851,9.490771889991851,,,9.100825342446765,9.000204461572729,9.100825342446765,9.36614286326839,9.080101794754857,9.36614286326839,9.36614286326839,,,9.09462365340958,9.000098209129323,9.09462365340958,9.177434395039635,9.177434395039635,9.177434395039635,9.177434395039635,
