Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
AW kernel support bw2 [uv-pixels],445.41704475675107,11.137597081823177,11.137597081823177,10.730195145175625,10.730195145175625,10.730195145175625,19.819600651045313,445.41704475675107,14.033372407718215,952.9576272958844,18.287673570817944,18.287673571314073,15.126272850277326,15.148375801748392,15.126272850277326,34.44789292040109,952.9576272958844,42.510898104369716,453.7672130995211,17.976946243595986,17.976945875553977,13.559138743519272,17.31376183871553,25.808225011543886,27.606760866433508,453.7672130995211,22.498163363183703,140.6120374659127,15.8036028210272,15.803602783699377,14.911462951306882,16.763682956925734,14.716691770043697,51.38617864965432,140.6120374659127,11.190682021617901,75.3656644131794,15.589066174692853,15.589065878645668,14.719371813463864,16.52094731823155,14.530254994343167,40.82022885372856,75.3656644131794,9.691415496411665,132.23724274660069,13.945551325998151,13.945551325975021,13.483497654397677,14.978725947417317,13.341810597236298,50.225740033496265,132.23724274660069,10.964514310635488
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size [GB],25.11667200000001,222.54685350951343,222.5468534705472,8.587703502962238,35.5436377384562,56.602931601809075,0.3800279998878867,25.11667200000001,2.2707797926715796,23.829119999999993,933.0772512092225,933.077251253406,81.05839314817906,438.5089881400104,706.0421710478485,3.583546117670395,23.829119999999993,5.422448639999998,23.829119999999993,1674.3646291962773,1674.3645686821992,108.5249519786195,397.5200261270248,402.03572548554274,6.5553657331644795,23.829119999999993,3.9623751404211176,23.829119999999993,4097.564541856706,4097.564522891762,67.5160724401276,424.806413160358,656.7774014508716,6.306486078200737,23.829119999999993,2.7885992887078097,23.829119999999993,4911.9124149236395,4911.912229657395,67.91633524719698,427.29693884248076,660.6921422530907,10.425882891664347,23.829119999999993,1.273126988618121,23.829119999999993,3412.2638732757528,3412.2638732629,100.48455301971522,634.4522957830196,979.5736206836373,6.622343217239013,23.829119999999993,4.7939081643957895
Facet vis size predict [GB],4.9854537725096275,0.4642966611724457,0.464296661091151,0.22395093455543463,0.18538206136905755,1.476096540411524,30.66920903759437,6.1858464992714355,0.2763834221439654,2.635064191838977,1.4362644274615295,1.43626442752954,0.5178104274816888,0.5602492666940873,4.510279370355359,60.589296567822856,4.47779535695739,0.31144262221328534,2.5787380638722195,1.980298175097273,1.9802981035262923,0.5561838110061705,0.9400759013954507,17.05912995744035,106.52904703452064,4.47779535695739,0.1707959369272175,2.5787380638722195,4.871605211110419,4.871605188562948,2.864833424686404,3.6050663714840816,27.86829541845284,388.3234466413679,4.47779535695739,0.12020098679669187,2.5772525841488574,4.900654514475629,4.9006543296340075,2.881605892418323,3.625935858580126,28.032348377772138,641.9763285873222,4.47779535695739,0.05487741998884857,2.5868511854712066,7.838085878568847,7.8380858785393235,4.264887764113997,5.385639388111999,41.57625648275317,407.77242842880077,4.47779535695739,0.20671243551326843
Facet size [GB],3.1779896529421054,1.3344505672290021,1.3344505672290021,1.1440762750591582,1.1440762750591582,1.1440762750591582,3.1779896529421054,3.1779896529421054,0.9267017827979179,113.00063394095704,24.20888683384879,24.20888683384879,18.08010143055313,18.08010143055313,18.08010143055313,10.170057054686135,113.00063394095704,32.95098485718308,98.63054251722187,28.760666198021895,28.760666198021895,15.780886802755495,35.50699530619987,98.63054251722187,8.876748826549967,98.63054251722187,28.760666198021905,100.69798252463274,42.283485654023394,42.283485654023394,100.69798252463274,100.69798252463274,100.69798252463274,100.69798252463274,100.69798252463274,29.363531704182897,97.30194875921865,40.857477491790966,40.857477491790966,97.30194875921865,97.30194875921865,97.30194875921865,97.30194875921865,97.30194875921865,28.373248258188163,106.54404642589141,44.73827127041752,44.73827127041752,106.54404642589141,106.54404642589141,106.54404642589141,106.54404642589141,106.54404642589141,31.06824393778993
Facet size (all pol) [GB],12.711958611768422,5.3378022689160085,5.3378022689160085,2.2881525501183164,2.2881525501183164,4.576305100236633,12.711958611768422,12.711958611768422,1.8534035655958359,452.0025357638282,96.83554733539516,96.83554733539516,36.16020286110626,36.16020286110626,72.32040572221251,40.68022821874454,452.0025357638282,65.90196971436616,394.5221700688875,115.04266479208758,115.04266479208758,31.56177360551099,71.01399061239974,394.5221700688875,35.50699530619987,394.5221700688875,57.52133239604381,402.79193009853094,169.13394261609358,169.13394261609358,201.39596504926547,201.39596504926547,402.79193009853094,402.79193009853094,402.79193009853094,58.727063408365794,389.2077950368746,163.42990996716387,163.42990996716387,194.6038975184373,194.6038975184373,389.2077950368746,389.2077950368746,389.2077950368746,56.746496516376325,426.17618570356564,178.95308508167008,178.95308508167008,213.08809285178282,213.08809285178282,426.17618570356564,426.17618570356564,426.17618570356564,62.13648787557986
Image size [GB],3.1779896529421046,23.167544569947953,23.167544569947953,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,0.9267017827979179,113.00063394095704,823.7746214295769,823.7746214295769,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,32.95098485718307,98.63054251722188,719.0166549505476,719.0166549505476,98.63054251722188,98.63054251722188,98.63054251722188,98.63054251722188,98.63054251722188,28.7606661980219,100.69798252463272,734.0882926045728,734.0882926045728,100.69798252463272,100.69798252463272,100.69798252463272,100.69798252463272,100.69798252463272,29.363531704182904,97.30194875921863,709.3312064547041,709.3312064547041,97.30194875921863,97.30194875921863,97.30194875921863,97.30194875921863,97.30194875921863,28.37324825818816,106.54404642589135,776.7060984447481,776.7060984447481,106.54404642589135,106.54404642589135,106.54404642589135,106.54404642589135,106.54404642589135,31.068243937789934
Image size (all pol) [GB],12.711958611768418,92.67017827979181,92.67017827979181,6.355979305884209,6.355979305884209,12.711958611768418,12.711958611768418,12.711958611768418,1.8534035655958359,452.0025357638282,3295.0984857183075,3295.0984857183075,226.0012678819141,226.0012678819141,452.0025357638282,452.0025357638282,452.0025357638282,65.90196971436615,394.52217006888753,2876.0666198021904,2876.0666198021904,197.26108503444377,197.26108503444377,394.52217006888753,394.52217006888753,394.52217006888753,57.5213323960438,402.7919300985309,2936.353170418291,2936.353170418291,201.39596504926544,201.39596504926544,402.7919300985309,402.7919300985309,402.7919300985309,58.72706340836581,389.20779503687453,2837.3248258188164,2837.3248258188164,194.60389751843726,194.60389751843726,389.20779503687453,389.20779503687453,389.20779503687453,56.74649651637632,426.1761857035654,3106.8243937789925,3106.8243937789925,213.0880928517827,213.0880928517827,426.1761857035654,426.1761857035654,426.1761857035654,62.13648787557987
Image cube size [GB],833090.919580855,3706.8071311916724,3706.8071311916724,254.23917223536836,254.23917223536836,508.4783444707367,833090.919580855,833090.919580855,74.13614262383344,29622438.183818243,131803.93942873232,131803.93942873232,9040.050715276564,9040.050715276564,18080.101430553128,29622438.183818243,29622438.183818243,2636.078788574646,25855404.937634613,115042.66479208763,115042.66479208763,7890.44340137775,7890.44340137775,15780.8868027555,25855404.937634613,25855404.937634613,2300.853295841752,26397371.93093732,117454.12681673164,117454.12681673164,8055.838601970617,8055.838601970617,16111.677203941234,26397371.93093732,26397371.93093732,2349.0825363346326,25507122.05553661,113492.99303275265,113492.99303275265,7784.15590073749,7784.15590073749,15568.31180147498,25507122.05553661,25507122.05553661,2269.8598606550527,27929882.506268863,124272.9757511597,124272.9757511597,8523.523714071309,8523.523714071309,17047.047428142618,27929882.506268863,27929882.506268863,2485.4595150231944
Gain calibration [MB],0.0,19.6608,0.032768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5648,0.012608000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5648,0.012608000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5648,0.012608000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5648,0.012608000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5648,0.012608000000000001,0.0,0.0,0.0,0.0,0.0,0.0
