Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AW kernel support bw11 [uv-pixels],,,15.741795651736716,21.81552202431156,12.767704752011692,43.91144234689232,,,,,,,,,,,,,,,,,,,,,,,,,17.366140044997675,14.124896103752796,13.984878719233546,,,,,,17.90547659031267,26.84340265026261,26.84340265026261,19.166185158088247,26.84340265026261,26.84340265026261,17.90547659031267,26.84340265026261,26.84340265026261,14.256765915910565,14.254319312950921,12.989623310600965,15.640091404898216,14.254319312950921,12.989623310600965
"W kernel support bw, ff0 [pixels]",80.11683779144903,81.94987079110051,80.2217866022543,80.88968948176174,80.15133106006161,84.17690146501168,80.30375786308134,80.06953095644504,80.08526434068378,80.57875625384511,80.17582140686184,80.06953095644504,80.08526434068378,80.57875625384511,80.17582140686184,80.06953095644504,80.08526434068378,80.57875625384511,82.05933415248583,81.91269146254976,81.33572897674506,86.41620006870858,81.56762691167164,81.24888530930835,80.44826785401371,84.42853287545438,81.9619658051241,81.17945162150676,80.82880997306367,121.47168635959116,80.48029839530001,80.2383664098343,80.22899620780228,81.13132750374473,80.8718462254661,80.59919331601331,81.31363803029988,80.69179962292931,80.52518722251797,80.91770478731789,80.70489444511503,80.63523344699964,80.91770478731789,80.70489444511503,80.52518722251797,80.91770478731789,80.70489444511503,80.24727351772836,80.24710753727658,80.16498399971228,80.34550403929407,80.24710753727658,80.16498399971228
"W kernel support bw, ff1 [pixels]",80.33038269043524,85.41440315762918,80.40727133086443,81.62885751672908,80.27797026438401,87.53417657967503,80.85746716032634,80.19668535260091,80.24116317246578,81.62931318016952,80.49691580674485,80.19668535260091,80.24116317246578,81.62931318016952,80.49691580674485,80.19668535260091,80.24116317246578,81.62931318016952,83.7498694581628,83.48519862779808,82.44040764286657,91.46569172231125,82.86100602944634,82.28266433012284,80.82235617695278,87.97940706018868,83.57417156824579,82.15645272728631,81.5178262847007,147.70532643923332,80.88099021716438,80.43768715317408,80.42049797803543,82.06892810752079,81.59632181166047,81.09848164734538,82.40029361535115,81.26771585375405,80.96313267510888,81.67993010153624,81.29163420635213,81.16436101744193,81.67993010153624,81.29163420635213,80.96313267510888,81.67993010153624,81.29163420635213,80.45402546581775,80.45372101974766,80.30303254088075,80.63412221704439,80.45372101974766,80.30303254088075
"W kernel support bw, ff2 [pixels]",80.93238513051914,94.56754141304826,80.62656088290385,82.4968073442984,80.4277930917197,91.35909467053095,82.40716324237948,80.55577720847691,80.68117728912155,84.53863151561575,81.40006244177317,80.55577720847691,80.68117728912155,84.53863151561575,81.40006244177317,80.55577720847691,80.68117728912155,84.53863151561575,85.71223064741838,85.3131045525271,83.73174672121448,97.1210021481679,84.36947869225561,83.49216860868839,81.2636080980042,92.01660993199897,85.44734168880007,83.30032156141615,82.3273881763648,173.84724308768781,81.35346695664713,80.67329540378735,80.64688493458112,83.16719702908813,82.4471737675329,81.68650136850282,83.67084298683882,81.94533818280273,81.47929952415605,82.57469967628226,81.98189897096167,81.78729269056242,82.57469967628226,81.98189897096167,81.47929952415605,82.57469967628226,81.98189897096167,80.69839604003093,80.69792834037807,80.46633183649185,80.97491617145295,80.69792834037807,80.46633183649185
"W kernel support bw, ff3 [pixels]",82.61549848999003,116.75632472859164,81.148510087964,84.53738276485264,80.78486658428267,99.92812335937982,86.6545400856411,81.56498327270207,81.9156734004341,92.30345787093339,83.90895943106084,81.56498327270207,81.9156734004341,92.30345787093339,83.90895943106084,81.56498327270207,81.9156734004341,92.30345787093339,90.2370021357478,89.53748293495715,86.74428398041672,109.49214750572838,87.87499939961086,86.31796147000865,82.30941586374821,101.03436081330541,89.77298865714579,85.97595437640769,84.23276925197919,224.5744104132136,82.47261133878038,81.23391193964414,81.18565451954038,85.73830438609941,84.44818964522516,83.07626257653442,86.63598852389754,83.54415210334548,82.70091109202762,84.67727890336998,83.61015289158289,83.25859061230156,84.67727890336998,83.61015289158289,82.70091109202762,84.67727890336998,83.61015289158289,81.27976491041338,81.2789106319431,80.85542565595061,81.78418608974881,81.2789106319431,80.85542565595061
"W kernel support bw, ff4 [pixels]",92.65405346031675,164.35470188288997,82.45529039851269,89.50129839114868,81.6817906512439,118.94611436626406,97.72308816802484,84.479895559828,94.32812104274444,111.47610703406751,90.65596902844565,84.479895559828,94.32812104274444,111.47610703406751,90.65596902844565,84.479895559828,94.32812104274444,111.47610703406751,100.80894175379639,99.45177548671234,93.95102778124034,135.95693043900772,96.19424366449962,93.09904934950087,84.90097653770626,120.95152104176651,,,,,85.2419888896527,82.63642448383388,82.53409660465975,91.93494736140508,89.31932393573179,86.49763801763868,90.0284665356706,85.40205748227984,85.71792588723729,89.78636929944086,87.60086449919598,86.8751576376699,89.78636929944086,87.60086449919598,85.71792588723729,89.78636929944086,87.60086449919598,82.73359551666995,82.73178565917667,81.83215903413651,83.79884955070652,82.73178565917667,81.83215903413651
"W kernel support bw, ff5 [pixels]",,,84.03335804312532,95.25396238481349,82.77046029517487,138.85058531111872,,,,,,,,,,,,,112.47050192056847,110.44354597252135,102.12521041260486,162.78210026805456,,,,,,,,,88.52847572810917,84.32810022327902,84.16163767514064,99.02957178901353,94.96981106611287,90.52813785929334,,,89.28820055157011,95.69856752324829,92.27297349288203,91.12645106797494,95.69856752324829,92.27297349288203,89.28820055157011,95.69856752324829,92.27297349288203,84.48606418691041,84.48312300464701,83.01651468181325,86.21091597244781,84.48312300464701,83.01651468181325
"W kernel support bw, ff6 [pixels]",,,87.78433605251489,108.09274884257978,85.38150847029588,178.64789324841925,,,,,,,,,,,,,118.51113662449602,116.15492899702377,106.43489908107297,176.06487819362448,,,,,,,,,96.12053551248128,88.34095633849665,88.02678026175316,110.60553506350222,104.32613335965631,97.3269551785101,,,97.50009465186221,108.86708189964708,102.84965810484586,100.80742921286203,108.86708189964708,102.84965810484586,97.50009465186221,108.86708189964708,102.84965810484586,88.63864477929438,88.63310597873169,85.85199038796574,91.86195728753782,88.63310597873169,85.85199038796574
"W kernel support bw, ff7 [pixels]",,,92.10588608867084,121.81077772261283,88.4276323373284,217.30123381976932,,,,,,,,,,,,,,,,,,,,,,,,,104.55332949002258,92.95147506489623,92.47448208782825,,,,,,106.57418311618848,122.90804067844348,114.325752848259,111.38147917297532,122.90804067844348,114.325752848259,106.57418311618848,122.90804067844348,114.325752848259,93.4027585001396,93.39436786657033,89.15157520507945,98.2494018606672,93.39436786657033,89.15157520507945
"W kernel support bw, ff8 [pixels]",,,95.6140885487424,132.33483920851944,90.92772029039374,245.4078857914982,,,,,,,,,,,,,,,,,,,,,,,,,111.20132639190743,96.68547690695641,96.08137076478752,,,,,,113.70021609931077,133.66512041788891,123.2215930455018,119.61618480755344,133.66512041788891,123.2215930455018,113.70021609931077,133.66512041788891,123.2215930455018,97.25641478213099,97.24580475924125,91.85357884488614,103.35347854265643,97.24580475924125,91.85357884488614
