Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"W kernel support pred, ff10 [pixels]",,,,,62.259126074979164,105.7986282023812,46.49088501129841,41.84536926702605,43.917677725562434,37.31840167463097,22.430170781630757,49.46024019156287,49.46024019156287,49.98318808671045,49.98318808671045,49.46024019156287,22.663703495506347,22.663703495506347,21.569248042826473,27.36999917217426,,,96.86186555800266,81.85936202689892
"W kernel support pred, ff11 [pixels]",,,,,77.14611161385194,118.02390971876508,57.354803193114776,46.40031930391756,53.17519068604005,41.315662851830574,24.508500303369825,61.085915586517004,61.085915586517004,61.742752875548454,61.742752875548454,61.085915586517004,24.774075619335694,24.774075619335694,23.528495835841248,30.107796445824338,,,120.51049818148522,91.22626149395094
W kernel support bw0 [uv-pixels],0.45283074950124474,3.4961551101193873,0.6982066593956798,0.6982066593956798,0.10153270138710399,8.85354948621449,0.0816551632753878,3.4662863960726096,0.10182193548660062,3.0712547136770616,1.7240225074910254,0.06208975640235183,0.06208975640235183,0.06508628575290377,0.06508628575290377,0.08326539799630074,0.10120237015538865,0.10120237015538865,0.06807711421582512,2.183567747328601,0.4215831108767479,2.436761655612858,0.07834144890285996,0.8026159498545087
W kernel support bw1 [uv-pixels],0.5981841487135633,4.6215021462732055,0.9223952467618015,0.9223952467618015,0.13763095318180507,12.022312997292941,0.11068485285950198,4.702913215260479,0.13802304476678562,4.166631726344653,2.33821894406755,0.08416247083244777,0.08416247083244777,0.08822445185940327,0.08822445185940327,0.11286767403915693,0.13718314964018244,0.13718314964018244,0.09227871976373588,2.9617963105045133,0.5569002954076013,3.2204882721596193,0.10619282093848122,1.0882814575287276
W kernel support bw2 [uv-pixels],0.7966969656338942,6.160346058562333,1.228620076189175,1.228620076189175,0.17078721070929953,14.940531468899257,0.1373481045495521,5.840315227243167,0.17127378618995578,5.174001085145303,2.90281783513581,0.10443543547870894,0.10443543547870894,0.10947606587331633,0.10947606587331633,0.1400568813843636,0.17023149828858744,0.17023149828858744,0.11450714028928174,3.6772970039285444,0.7417026314716738,4.291804590903975,0.13177372055474618,1.3507789545903102
W kernel support bw3 [uv-pixels],1.0541456217825387,8.159062214058325,1.6258289953920844,1.6258289953920844,0.23151694600186018,20.30300870075408,0.1861839093527491,7.927132290309349,0.232176601234934,6.3042935870140315,3.9379884610916696,0.14156596349954298,0.14156596349954298,0.1483991813136936,0.1483991813136936,0.18985611695444518,0.23076356147535618,0.23076356147535618,0.1552194799183871,4.9894013427084465,0.9813644589194533,5.682680603450432,0.17862691371557932,1.831832295084016
W kernel support bw4 [uv-pixels],1.4032874493647973,10.874562446502734,2.164622752840199,2.164622752840199,0.3396744389576958,29.903396211531355,0.2731552834632829,11.653829252151926,0.3406424034954726,10.321404212163555,5.784582785918252,0.20768867979853878,0.20768867979853878,0.2177146383231024,0.2177146383231024,0.2785435540070471,0.3385689387842187,0.3385689387842187,0.22772172298302687,7.330755299507536,1.3063748475837307,7.571385074433708,0.2620668899046556,2.6893121691938187
W kernel support bw5 [uv-pixels],1.861934908211366,14.449550933202852,2.8725866680967216,2.8725866680967216,0.43725509628277376,38.61424540665798,0.35161821632095375,15.026115028330477,0.43850128006947653,13.306308972745532,7.453555313392295,0.2673398092610031,0.2673398092610031,0.2802464914367969,0.2802464914367969,0.35855495905888995,0.43583184623054644,0.43583184623054644,0.2931289621939162,9.44763626846092,1.7333070601419245,10.0563541724107,0.33734333100024116,3.4636713174901783
W kernel support bw6 [uv-pixels],3.27214325336379,19.233422815574396,5.044985981964218,5.044985981964218,0.61387541026702,42.74413824547284,0.4936281867961406,21.15155258350067,0.6156252983934227,18.72651727653405,10.48077230409748,0.3752963103224633,0.3752963103224633,0.39341752465658114,0.39341752465658114,0.5033681398970656,0.6118768880673192,0.6118768880673192,0.41150494188171094,13.288868759811075,3.0605540608250066,13.379172892076044,0.47358483683331154,4.866840297258899
W kernel support bw7 [uv-pixels],7.288253315989402,28.78021132435739,11.248089835609772,11.248089835609772,0.7748314807051548,69.05952132062521,0.6230359027103437,26.75577491438624,0.777040532567179,23.68390958155582,13.24602894749034,0.4736663868295009,0.4736663868295009,0.49654011507429924,0.49654011507429924,0.6353309501872109,0.772308556187534,0.772308556187534,0.5193713875941499,16.79931577285906,6.816088063459812,20.002922488696193,0.5977347422104764,6.147182178312378
