,01c [bldta],01s [bldta],02A [bldta],02B [bldta],13c [bldta],13s [Bmax=40000] [bldta],14c [bldta],14s [bldta],15c [bldta],15s [Bmax=13000] [bldta],22 [bldta],27 [bldta],33 [bldta],37a [bldta],37b [bldta],37c [bldta],38a [bldta],38b [bldta],max_Band5_MID_continuum [bldta],max_Band5_MID_spectral [bldta],max_LOW_continuum [bldta],max_LOW_spectral [bldta],max_MID_continuum [bldta],max_MID_spectral [bldta]
Delta W snapshot7 [lambda],33.47075404132599,71.37227724805432,33.47075135344241,33.47075135344241,1691.0334239534698,4196.3114932618555,3460.1134064759067,4921.886892975552,3787.2107164522304,2160.452974419463,102178.16383609263,2423.387772327317,2423.387772327317,3157.0968352804102,3157.0968352804102,2890.668035464685,70502.23178094925,70502.23178094925,97193.07584341559,161596.6652920986,37.50851496086508,71.16859208869653,665.0898995847527,1189.9571759717844
Delta W snapshot8 [lambda],,,,,2029.2401087441638,5035.573791914227,4152.136087771089,5906.264271570662,4544.652859742676,2592.5435693033555,122613.79660331116,2908.065326792781,2908.065326792781,3788.5162023364924,3788.5162023364924,3468.8016425576225,84602.6781371391,84602.6781371391,116631.6910120987,193915.99835051832,,,798.1078795017033,1427.9486111661413
Delta W snapshot9 [lambda],,,,,2480.1823551317557,6154.590190117388,5074.832996164663,7218.767443030809,5554.575717463271,3168.664362481879,149861.30695960252,3554.3020660800653,3554.3020660800653,4630.408691744601,4630.408691744601,4239.646452014872,103403.27327872557,103403.27327872557,142549.84457034286,237008.44242841128,,,975.4651860576374,1745.270524758617
Delta W snapshot10 [lambda],,,,,2931.1246015193474,7273.606588320549,5997.529904558239,8531.270614490955,6564.498575183866,3744.7851556604023,177108.8173158939,4200.53880536735,4200.53880536735,5472.301181152711,5472.301181152711,5010.491261472121,122203.86842031204,122203.86842031204,168467.99812858703,280100.88650630426,,,1152.8224926135715,2062.592438351093
Delta W snapshot11 [lambda],,,,,3382.0668479069395,8392.622986523711,6920.226812951813,9843.773785951103,7574.421432904461,4320.905948838926,204356.32767218526,4846.775544654634,4846.775544654634,6314.1936705608205,6314.1936705608205,5781.33607092937,141004.4635618985,141004.4635618985,194386.15168683117,323193.3305841972,,,1330.1797991695055,2379.914351943569
Delta W max0 [lambda],2.050083685031217,4.371551981443327,2.0500835203983474,2.0500835203983474,112.73556159689798,279.7540995507904,230.6742270983938,328.1257928650368,252.48071443014868,144.03019829463085,6811.877589072842,161.55918482182116,161.55918482182116,210.47312235202733,210.47312235202733,192.71120236431236,4700.148785396616,4700.148785396616,6479.538389561039,10773.111019473241,2.297396541352986,4.3590762654326625,44.33932663898352,79.33047839811896
Delta W max1 [lambda],2.9705294211676816,6.334289605764821,2.9705291826180136,2.9705291826180136,169.10334239534697,419.63114932618555,346.01134064759066,492.18868929755513,378.72107164522305,216.0452974419463,10217.816383609263,242.33877723273173,242.33877723273173,315.709683528041,315.709683528041,289.0668035464685,7050.223178094925,7050.223178094925,9719.307584341559,16159.66652920986,3.3288807027767757,6.316212547871817,66.50898995847528,118.99571759717844
Delta W max2 [lambda],4.351198025372379,9.27839604224706,4.351197675947513,4.351197675947513,225.47112319379596,559.5081991015808,461.3484541967876,656.2515857300735,504.96142886029736,288.0603965892617,13623.755178145684,323.1183696436423,323.1183696436423,420.94624470405466,420.94624470405466,385.4224047286247,9400.297570793233,9400.297570793233,12959.076779122079,21546.222038946482,4.87610694491246,9.25191697153055,88.67865327796704,158.6609567962379
Delta W max3 [lambda],6.317604825300281,13.47151733057025,6.317604317962254,6.317604317962254,338.20668479069394,839.2622986523711,692.0226812951813,984.3773785951103,757.4421432904461,374.47851556604024,20435.632767218525,484.67755446546346,484.67755446546346,631.419367056082,631.419367056082,578.133607092937,14100.44635618985,14100.44635618985,19438.615168683118,32319.33305841972,7.079732198863283,13.43307175674147,133.01797991695057,237.99143519435688
Delta W max4 [lambda],9.246295803916304,19.716591589775003,9.246295061388466,9.246295061388466,563.67780798449,1398.7704977539518,1153.371135491969,1640.628964325184,1262.4035721507435,720.1509914731544,34059.387945364215,807.7959241091057,807.7959241091057,1052.3656117601367,1052.3656117601367,963.5560118215617,23500.743926983083,23500.743926983083,32397.691947805197,53865.5550973662,10.361727257938977,19.660323564502416,221.69663319491758,396.65239199059477
Delta W max5 [lambda],13.47197850163371,28.727341592341862,13.471977419760568,13.471977419760568,789.1489311782859,1958.2786968555326,1614.7195896887565,2296.8805500552576,1767.3650010110407,1008.2113880624161,47683.14312350989,1130.914293752748,1130.914293752748,1473.3118564641914,1473.3118564641914,1348.9784165501865,32901.041497776314,32901.041497776314,45356.76872692727,75411.77713631268,15.097177271748194,28.645358315700353,310.3752864728846,555.3133487868326
Delta W max6 [lambda],19.66406799927902,41.93121288323191,19.664066420147414,19.664066420147414,1240.0911775658778,2238.032796406323,2537.4164980823316,3609.3837215154044,2777.2878587316354,1584.3321812409395,74930.65347980126,1777.1510330400326,1777.1510330400326,2315.2043458723006,2315.2043458723006,2119.823226007436,51701.63663936278,51701.63663936278,71274.92228517143,118504.22121420564,22.036252539508233,41.811547852109214,487.7325930288187,872.6352623793085
Delta W max7 [lambda],33.47075404132599,71.37227724805432,33.47075398311001,33.47075398311001,1691.0334239534698,4196.3114932618555,3460.1134064759067,4921.886892975552,3787.2107164522304,2160.452974419463,102178.16383609263,2423.387772327317,2423.387772327317,3157.0968352804102,3157.0968352804102,2890.668035464685,70502.23178094925,70502.23178094925,97193.07584341559,161596.6652920986,37.50851496086508,71.16859208869653,665.0898995847527,1189.9571759717844
Delta W max8 [lambda],,,,,2029.2401087441638,5035.573791914227,4152.136087771089,5906.264271570662,4544.652859742676,2592.5435693033555,122613.79660331116,2908.065326792781,2908.065326792781,3788.5162023364924,3788.5162023364924,3468.8016425576225,84602.6781371391,84602.6781371391,116631.6910120987,193915.99835051832,,,798.1078795017033,1427.9486111661413
Delta W max9 [lambda],,,,,2480.1823551317557,6154.590190117388,5074.832996164663,7218.767443030809,5554.575717463271,3168.664362481879,149861.30695960252,3554.3020660800653,3554.3020660800653,4630.408691744601,4630.408691744601,4239.646452014872,103403.27327872557,103403.27327872557,142549.84457034286,237008.44242841128,,,975.4651860576374,1745.270524758617
Delta W max10 [lambda],,,,,2931.1246015193474,7273.606588320549,5997.529904558239,8531.270614490955,6564.498575183866,3744.7851556604023,177108.8173158939,4200.53880536735,4200.53880536735,5472.301181152711,5472.301181152711,5010.491261472121,122203.86842031204,122203.86842031204,168467.99812858703,280100.88650630426,,,1152.8224926135715,2062.592438351093
Delta W max11 [lambda],,,,,3382.0668479069395,8392.622986523711,6920.226812951813,9843.773785951103,7574.421432904461,4320.905948838926,204356.32767218526,4846.775544654634,4846.775544654634,6314.1936705608205,6314.1936705608205,5781.33607092937,141004.4635618985,141004.4635618985,194386.15168683117,323193.3305841972,,,1330.1797991695055,2379.914351943569
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [pixels],5.454051059015218,3.9807631141666846,5.454050729209367,5.454050729209367,12.162134267301115,9.94461891995073,11.140747013099153,5.265155989102139,10.536567766089965,2.492063880695672,5.82892705969213,9.830395958461493,9.830395958461493,11.699586046117398,11.699586046117398,11.229360554644861,6.568734864686814,6.568734864686814,6.230450946432854,3.7705168039719927,5.1951106295997445,3.4730569711283685,13.623688644382128,8.702724538484862
W kernel support pred1 [pixels],7.211836985497174,5.262523856639925,7.211836549049482,7.211836549049482,16.522053335113558,13.505843991512686,15.132618369659557,7.145801033556754,14.310863778876518,3.3804682503732955,7.91166076722753,13.350518255534078,13.350518255534078,15.892794897652772,15.892794897652772,15.253151713646718,8.916828463720107,8.916828463720107,8.457182916528975,5.115971356951789,6.869179612073405,4.590950935634995,18.51074892858482,11.817263678028388
W kernel support pred2 [pixels],9.6168719947685,7.015516813819741,9.616871412197714,9.616871412197714,20.539774071052953,16.786202539311045,18.81049320043352,8.876369633671663,17.78788343079425,4.197347309497378,9.828452264070071,16.59294374418523,16.59294374418523,19.756567096272356,19.756567096272356,18.960496441356668,11.078207950665101,11.078207950665101,10.506692302726675,6.353575193219691,9.159510297811142,6.119592024856925,23.015391162448562,14.685457157097753
W kernel support pred3 [pixels],12.742764200563464,9.29278784603157,12.742763427740162,12.742763427740162,27.928355216918636,22.81573602930477,25.572561908570343,12.053338010783579,24.179779721627053,5.113751203801295,13.347875161513006,22.552592008365146,22.552592008365146,26.861313136520376,26.861313136520376,25.77688445813681,15.047553193604275,15.047553193604275,14.270232304928857,8.624474301176397,12.136067427010586,8.105038886709544,31.302006672839674,19.955811548668972
W kernel support pred4 [pixels],16.993140018830882,12.387405287775783,16.993138986774838,16.993138986774838,41.172232605497115,33.614891076444174,37.68905440132399,17.732175457546347,35.63046683103311,8.369520367533786,19.640532363609164,33.226118983641335,33.226118983641335,39.59436092292832,39.59436092292832,37.99109694410405,22.147048270517566,22.147048270517566,21.000606504702994,12.680597017161856,16.182979903772324,10.802482753472201,46.162951839472,29.39070855718899
W kernel support pred5 [pixels],22.59428247557536,16.462557761160877,22.594281101051706,22.594281101051706,53.20475559966751,43.41786847847768,48.69305110611338,22.876174121008717,46.027336633528954,10.7876596687343,25.34218885976984,42.91460779255024,42.91460779255024,51.160771601467005,51.160771601467005,49.084220110111076,28.582101816177715,28.582101816177715,27.100085157896956,16.351654917451256,21.51535646261621,14.353654975511683,59.67179579300262,37.950850432943525
W kernel support pred6 [pixels],30.098161940296702,21.91739916075319,30.098160105615744,30.098160105615744,75.16350708095895,48.06688402485096,68.7657702555853,32.23094503931207,64.98737265377895,15.176687090533575,35.71462699927312,60.57699492959741,60.57699492959741,72.26464154207272,72.26464154207272,69.32032082892786,40.29372230950096,40.29372230950096,38.19883486788231,23.02123054391654,28.65814882656987,19.105585677275922,84.3399157630087,53.54767014142484
W kernel support pred7 [pixels],45.099131089247805,32.80820815909109,45.09913102949984,45.09913102949984,95.35748236335972,77.70778036625413,87.2162641852502,40.801031136319594,82.40989611403938,19.18891344959808,45.2205718805394,76.80126206816658,76.80126206816658,91.6681903381234,91.6681903381234,87.92179639538712,51.032005763648975,51.032005763648975,48.37303273205454,29.12475501495115,42.9342229154557,28.588417525701182,107.04065936289973,67.8659674593104
W kernel support pred8 [pixels],,,,,109.71627789892399,89.37227176475837,100.3306729898095,46.87759446277622,94.79092041595968,22.029208643758135,51.96256556437149,88.32772315042693,88.32772315042693,105.46274759486425,105.46274759486425,101.14394001248958,58.65066023534472,58.65066023534472,55.59035014403118,33.448949199467485,,,123.189749244365,78.03385976297106
W kernel support pred9 [pixels],,,,,128.07758344827053,104.277923508959,117.09551985579624,54.62897656994025,110.6152345619379,25.647264223550533,60.56486449688516,103.05643722988415,103.05643722988415,123.10008615650999,123.10008615650999,118.04697398079684,68.37445426613603,68.37445426613603,64.80065729400731,38.9611017677334,,,143.8491045202177,91.02159740987197
W kernel support pred10 [pixels],,,,,145.73073334041553,118.59856458286981,133.20867653533696,62.06268818847085,125.8214626339287,29.11201525280437,68.81667690149774,117.20654052546016,117.20654052546016,140.05478760466715,140.05478760466715,134.29340200562103,77.7049708255201,77.7049708255201,73.6372161587844,44.24352163585424,,,163.72022322723544,103.49422309051596
W kernel support pred11 [pixels],,,,,162.81407353748534,132.44815082541987,148.797291812201,69.24015045933393,140.53010053055604,32.452926593251476,76.78583842337311,130.89072436640413,130.89072436640413,156.46013475121913,156.46013475121913,150.01134677150472,86.7184251796012,86.7184251796012,82.17241555706899,49.34049494641851,,,182.95736918506384,115.55189902353233
"W kernel support pred, ff0 [pixels]",91.1251176629039,86.10560027170732,91.12511639956632,91.12511639956632,125.96317174434375,112.82423724375312,119.76409986566163,90.4112798589479,116.21201598166168,82.44673718631896,92.59853672008813,112.18176242513177,112.18176242513177,123.12733276422549,123.12733276422549,120.2925868947779,95.71567151853104,95.71567151853104,94.25701679842189,85.49780702461467,90.15157882722818,84.68751963767161,135.1987910665634,106.05279119917486
"W kernel support pred, ff1 [pixels]",98.63406071507265,90.40147161340394,98.63405867271801,98.63405867271801,154.50115782780907,134.4399516627296,145.10600565859605,98.32597944752735,139.6683665482053,84.44740492089761,102.00999985356331,133.44334233016767,133.44334233016767,150.21710787445917,150.21710787445917,145.91145527603211,107.1850227899877,107.1850227899877,104.7737197228021,89.86146241414988,97.05606743912097,88.02793392769196,168.31357894541563,123.84447558735567
"W kernel support pred, ff2 [pixels]",110.99094794477975,97.72368430712791,110.99094471424108,110.99094471424108,182.75795033035783,156.31283416344752,170.42716298873123,106.96988372391725,163.2487764261698,86.7613644656357,112.17086221499174,154.98661250008828,154.98661250008828,177.14571510338243,177.14571510338243,171.4876882442956,119.39224534903212,119.39224534903212,116.03877507638238,94.78157381631402,108.48679297188822,93.79105511318399,200.75190346064716,142.13518115663354
"W kernel support pred, ff3 [pixels]",129.58470020088927,109.20978885102988,129.58469533715214,129.58469533715214,237.3174110928921,199.28798226629374,219.66606256845967,125.29209576402182,209.3283349972718,89.85337438271458,133.42641929149374,197.36170348608573,197.36170348608573,229.29877709827616,229.29877709827616,221.1891892284988,144.53873825144044,144.53873825144044,139.40204418280476,105.6428873430944,125.80216407498175,102.97701657517919,262.88438483823256,178.56932136350676
"W kernel support pred, ff4 [pixels]",157.73736302085774,127.36035421147112,157.73735590508105,157.73735590508105,338.9539426148547,280.56638739021673,311.9451050852079,162.86044017274844,296.05730975983425,104.32223040025565,176.31798756128842,277.5867412067187,277.5867412067187,326.7011764308284,326.7011764308284,314.2812444436415,194.40028758771075,194.40028758771075,186.07963431870752,129.19381798501766,152.18700886809467,117.76413950307673,377.86923643257643,248.36279908148848
"W kernel support pred, ff5 [pixels]",197.66664472669606,154.09416508918085,197.6666346713423,197.6666346713423,433.090920222189,356.436703224739,397.6742969635383,199.73091376785263,376.80897803114584,117.67714507167456,217.9506786341156,352.51449327262907,352.51449327262907,417.0313792208906,417.0313792208906,400.74016829404724,242.24768075410415,242.24768075410415,231.08988596686154,153.33656963204214,189.80589052413583,139.9491133018927,484.0312858094563,313.9698888577591
"W kernel support pred, ff6 [pixels]",253.72733108555093,192.72735327968945,253.7273171567655,253.7273171567655,606.6064448960292,392.76866187482705,555.9125778087883,269.97289560275846,526.018013649944,145.40026542896672,296.70560026501244,491.17474297934956,491.17474297934956,583.6260949452763,583.6260949452763,560.3031682123807,332.1285589700639,332.1285589700639,315.88868776339467,200.79474985266418,242.82200811831905,172.51521051950976,679.4454864213388,435.78732262973165
"W kernel support pred, ff7 [pixels]",369.55598222776763,274.38699941333965,369.55598176111783,369.55598176111783,767.0431306852448,626.7885961668411,702.3014390271509,336.06895880810373,664.1152178362673,173.1060991417536,370.50453135824665,619.5964547484474,619.5964547484474,737.696181141973,737.696181141973,707.9092498400356,416.02043121066845,416.02043121066845,395.1668241699584,246.349521411305,352.6673217504829,242.29537235350656,860.054054369862,548.790060504054
"W kernel support pred, ff8 [pixels]",,,,,881.3684500273484,719.4399137281757,806.6223480202107,383.45869035328496,762.5355007942301,193.5414842923723,423.32839035673334,711.135955583784,711.135955583784,847.4863021527337,847.4863021527337,813.0966624454965,475.9764663790408,475.9764663790408,451.8610072408364,279.2942193513994,,,988.7596858736351,629.375984009916
"W kernel support pred, ff9 [pixels]",,,,,1027.73902934778,838.0505123235589,940.173967571506,444.29360246244954,888.5306564774918,220.2227471851338,491.07899561849297,828.3237726210032,828.3237726210032,988.0447345901763,988.0447345901763,947.7582161213202,552.8148186836921,552.8148186836921,524.5417160598997,321.79172901298045,,,1153.5701763487064,732.5541594195394
"W kernel support pred, ff10 [pixels]",,,,,1168.5874314555413,952.1552653593303,1068.6680009595807,502.9053041791058,1009.7458043477237,246.25312922496823,556.3155950222576,941.0589147787535,941.0589147787535,1123.2906952268675,1123.2906952268675,1077.32165142244,626.7663036759997,626.7663036759997,594.5049492068123,362.8764379668476,,,1312.2027036966701,831.8097556767456
"W kernel support pred, ff11 [pixels]",,,,,1304.9670657452086,1062.6009646394468,1193.0635269093173,559.668383849219,1127.083575396343,271.66949855640036,619.4740986291058,1050.177332839729,1050.177332839729,1254.2350342131485,1254.2350342131485,1202.7542834065657,698.3447980763699,698.3447980763699,662.2292474837944,402.7493069636287,,,1465.843624710243,927.870382946053
W kernel support bw0 [pixels],5.454051059015218,3.9807631141666846,5.454050729209367,5.454050729209367,12.162134267301115,9.94461891995073,11.140747013099153,5.265155989102139,10.536567766089966,2.4920638806956723,5.82892705969213,9.830395958461494,9.830395958461494,11.699586046117398,11.699586046117398,11.229360554644865,6.5687348646868156,6.5687348646868156,6.230450946432855,3.7705168039719927,5.1951106295997445,3.4730569711283685,13.62368864438213,8.702724538484865
W kernel support bw1 [pixels],7.211836985497174,5.262523856639925,7.211836549049482,7.211836549049482,16.522053335113558,13.505843991512686,15.132618369659557,7.145801033556754,14.310863778876522,3.3804682503732963,7.91166076722753,13.350518255534084,13.350518255534084,15.892794897652772,15.892794897652772,15.25315171364672,8.916828463720107,8.916828463720107,8.457182916528975,5.115971356951789,6.869179612073405,4.590950935634995,18.51074892858482,11.817263678028388
W kernel support bw2 [pixels],9.6168719947685,7.015516813819741,9.616871412197714,9.616871412197714,20.539774071052953,16.786202539311045,18.81049320043352,8.876369633671663,17.787883430794253,4.197347309497378,9.828452264070071,16.592943744185234,16.592943744185234,19.756567096272356,19.756567096272356,18.96049644135667,11.078207950665101,11.078207950665101,10.506692302726677,6.353575193219691,9.159510297811142,6.119592024856925,23.015391162448566,14.685457157097755
W kernel support bw3 [pixels],12.742764200563464,9.29278784603157,12.742763427740162,12.742763427740162,27.928355216918636,22.81573602930477,25.572561908570343,12.053338010783579,24.17977972162706,5.1137512038012956,13.347875161513006,22.552592008365153,22.552592008365153,26.861313136520376,26.861313136520376,25.77688445813682,15.047553193604276,15.047553193604276,14.270232304928859,8.624474301176397,12.136067427010586,8.105038886709544,31.302006672839678,19.955811548668976
W kernel support bw4 [pixels],16.993140018830882,12.387405287775783,16.993138986774838,16.993138986774838,41.172232605497115,33.614891076444174,37.68905440132399,17.732175457546347,35.63046683103312,8.369520367533788,19.640532363609164,33.22611898364134,33.22611898364134,39.59436092292832,39.59436092292832,37.99109694410406,22.147048270517566,22.147048270517566,21.000606504702997,12.680597017161856,16.182979903772324,10.802482753472201,46.16295183947201,29.390708557188994
W kernel support bw5 [pixels],22.59428247557536,16.462557761160877,22.594281101051706,22.594281101051706,53.20475559966751,43.41786847847768,48.69305110611338,22.876174121008717,46.02733663352896,10.787659668734301,25.34218885976984,42.91460779255024,42.91460779255024,51.160771601467005,51.160771601467005,49.0842201101111,28.582101816177715,28.582101816177715,27.100085157896956,16.351654917451256,21.51535646261621,14.353654975511683,59.67179579300263,37.95085043294353
W kernel support bw6 [pixels],30.098161940296702,21.91739916075319,30.098160105615744,30.098160105615744,75.16350708095895,48.06688402485096,68.76577025558531,32.23094503931207,64.98737265377896,15.176687090533576,35.71462699927312,60.57699492959743,60.57699492959743,72.26464154207272,72.26464154207272,69.32032082892788,40.293722309500964,40.293722309500964,38.19883486788232,23.02123054391654,28.65814882656987,19.105585677275922,84.3399157630087,53.547670141424845
W kernel support bw7 [pixels],45.099131089247805,32.80820815909109,45.09913102949984,45.09913102949984,95.35748236335972,77.70778036625413,87.2162641852502,40.801031136319594,82.4098961140394,19.188913449598083,45.2205718805394,76.80126206816661,76.80126206816661,91.6681903381234,91.6681903381234,87.92179639538712,51.032005763648975,51.032005763648975,48.37303273205454,29.12475501495115,42.9342229154557,28.588417525701182,107.04065936289976,67.8659674593104
W kernel support bw8 [pixels],,,,,109.71627789892399,89.37227176475837,100.3306729898095,46.87759446277622,94.79092041595969,22.02920864375814,51.96256556437149,88.32772315042695,88.32772315042695,105.46274759486425,105.46274759486425,101.14394001248962,58.65066023534472,58.65066023534472,55.59035014403119,33.448949199467485,,,123.18974924436502,78.03385976297106
W kernel support bw9 [pixels],,,,,128.07758344827053,104.277923508959,117.09551985579624,54.62897656994025,110.61523456193792,25.64726422355054,60.56486449688516,103.0564372298842,103.0564372298842,123.10008615650999,123.10008615650999,118.04697398079686,68.37445426613603,68.37445426613603,64.80065729400731,38.9611017677334,,,143.84910452021774,91.02159740987199
W kernel support bw10 [pixels],,,,,145.73073334041553,118.59856458286981,133.20867653533696,62.06268818847085,125.82146263392873,29.112015252804373,68.81667690149776,117.20654052546017,117.20654052546017,140.05478760466715,140.05478760466715,134.29340200562103,77.7049708255201,77.7049708255201,73.63721615878441,44.24352163585424,,,163.72022322723546,103.49422309051597
W kernel support bw11 [pixels],,,,,162.81407353748534,132.44815082541987,148.797291812201,69.24015045933393,140.53010053055607,32.45292659325148,76.78583842337311,130.89072436640419,130.89072436640419,156.46013475121913,156.46013475121913,150.01134677150478,86.7184251796012,86.7184251796012,82.172415557069,49.34049494641851,,,182.95736918506387,115.55189902353234
"W kernel support bw, ff0 [pixels]",91.1251176629039,86.10560027170732,91.12511639956632,91.12511639956632,125.96317174434375,112.82423724375312,119.76409986566163,90.4112798589479,116.2120159816617,82.44673718631896,92.59853672008815,112.18176242513178,112.18176242513178,123.12733276422549,123.12733276422549,120.29258689477791,95.71567151853105,95.71567151853105,94.2570167984219,85.49780702461467,90.15157882722818,84.68751963767161,135.1987910665634,106.05279119917486
"W kernel support bw, ff1 [pixels]",98.63406071507265,90.40147161340394,98.63405867271801,98.63405867271801,154.50115782780907,134.4399516627296,145.10600565859605,98.32597944752735,139.66836654820534,84.44740492089761,102.00999985356331,133.4433423301677,133.4433423301677,150.2171078744592,150.2171078744592,145.91145527603214,107.1850227899877,107.1850227899877,104.77371972280211,89.86146241414988,97.05606743912097,88.02793392769196,168.31357894541563,123.84447558735567
"W kernel support bw, ff2 [pixels]",110.99094794477975,97.72368430712793,110.99094471424108,110.99094471424108,182.75795033035783,156.31283416344752,170.42716298873123,106.96988372391725,163.24877642616983,86.7613644656357,112.17086221499176,154.9866125000883,154.9866125000883,177.14571510338246,177.14571510338246,171.48768824429564,119.39224534903215,119.39224534903215,116.0387750763824,94.78157381631402,108.48679297188822,93.79105511318399,200.75190346064716,142.13518115663356
"W kernel support bw, ff3 [pixels]",129.58470020088927,109.2097888510299,129.58469533715214,129.58469533715214,237.3174110928921,199.28798226629374,219.66606256845967,125.29209576402182,209.3283349972718,89.85337438271458,133.42641929149374,197.3617034860858,197.3617034860858,229.29877709827616,229.29877709827616,221.18918922849886,144.53873825144046,144.53873825144046,139.4020441828048,105.6428873430944,125.80216407498176,102.97701657517919,262.8843848382326,178.5693213635068
"W kernel support bw, ff4 [pixels]",157.73736302085774,127.36035421147112,157.73735590508105,157.73735590508105,338.9539426148547,280.56638739021673,311.9451050852079,162.86044017274844,296.0573097598343,104.32223040025566,176.31798756128842,277.58674120671884,277.58674120671884,326.7011764308284,326.7011764308284,314.28124444364164,194.40028758771078,194.40028758771078,186.07963431870755,129.19381798501766,152.18700886809467,117.76413950307673,377.86923643257643,248.3627990814885
"W kernel support bw, ff5 [pixels]",197.66664472669606,154.09416508918088,197.6666346713423,197.6666346713423,433.090920222189,356.436703224739,397.6742969635383,199.73091376785263,376.8089780311459,117.67714507167457,217.95067863411563,352.5144932726292,352.5144932726292,417.03137922089064,417.03137922089064,400.74016829404735,242.2476807541042,242.2476807541042,231.0898859668616,153.33656963204214,189.80589052413583,139.9491133018927,484.03128580945634,313.96988885775914
"W kernel support bw, ff6 [pixels]",253.72733108555093,192.72735327968945,253.7273171567655,253.7273171567655,606.6064448960292,392.76866187482705,555.9125778087885,269.97289560275846,526.0180136499441,145.40026542896672,296.70560026501244,491.17474297934973,491.17474297934973,583.6260949452765,583.6260949452765,560.3031682123809,332.128558970064,332.128558970064,315.8886877633947,200.79474985266418,242.82200811831908,172.51521051950976,679.4454864213388,435.7873226297317
"W kernel support bw, ff7 [pixels]",369.55598222776763,274.38699941333965,369.55598176111783,369.55598176111783,767.0431306852448,626.7885961668411,702.3014390271509,336.06895880810373,664.1152178362674,173.1060991417536,370.50453135824665,619.5964547484476,619.5964547484476,737.6961811419732,737.6961811419732,707.9092498400357,416.0204312106685,416.0204312106685,395.16682416995843,246.349521411305,352.6673217504829,242.29537235350656,860.054054369862,548.790060504054
"W kernel support bw, ff8 [pixels]",,,,,881.3684500273484,719.4399137281757,806.6223480202108,383.45869035328496,762.5355007942303,193.5414842923723,423.3283903567334,711.1359555837843,711.1359555837843,847.486302152734,847.486302152734,813.0966624454967,475.97646637904086,475.97646637904086,451.86100724083644,279.2942193513994,,,988.7596858736352,629.3759840099161
"W kernel support bw, ff9 [pixels]",,,,,1027.73902934778,838.0505123235589,940.1739675715061,444.29360246244954,888.530656477492,220.22274718513384,491.078995618493,828.3237726210034,828.3237726210034,988.0447345901763,988.0447345901763,947.7582161213204,552.8148186836922,552.8148186836922,524.5417160598998,321.79172901298045,,,1153.5701763487066,732.5541594195395
"W kernel support bw, ff10 [pixels]",,,,,1168.5874314555413,952.1552653593303,1068.6680009595807,502.9053041791058,1009.745804347724,246.25312922496823,556.3155950222578,941.0589147787539,941.0589147787539,1123.2906952268677,1123.2906952268677,1077.3216514224403,626.7663036759999,626.7663036759999,594.5049492068124,362.8764379668476,,,1312.2027036966704,831.8097556767456
"W kernel support bw, ff11 [pixels]",,,,,1304.9670657452086,1062.6009646394468,1193.0635269093173,559.668383849219,1127.0835753963431,271.66949855640036,619.4740986291059,1050.1773328397292,1050.1773328397292,1254.2350342131485,1254.2350342131485,1202.7542834065662,698.34479807637,698.34479807637,662.2292474837946,402.7493069636287,,,1465.8436247102431,927.8703829460532
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],11.79660516904192,12.738016150411003,11.79660516904192,11.79660516904192,5.18522443962308,0.32406752516500914,6.39630715249548,1.1914559999999998,3.7550875781415987,0.027428195196651312,5.120573970193088,0.23584145480395563,0.23584145480395563,15.534329921756584,15.534329921756584,11.504461209949055,12.974414343922646,12.974414343922646,13.315159628954358,15.616652083199998,8.28232973512208,16.46046216192,15.616652083199998,15.616652083199998
Working (cache) memory [TeraBytes],26.7273929560804,11.126360662381591,26.727391227474833,26.727391227474833,1103.5500669757612,6.03851694111321,1040.038805862316,19.639515390662805,701.7757101347569,0.0026806456601506513,115.03875078046846,1274.8203788121764,1274.8203788121764,2935.1164502220677,2935.1164502220677,1916.6357875311699,419.5006602315692,419.5006602315692,366.4398953574257,93.33305205438765,16.194223361197935,9.518002512203337,4710.414798843842,1191.9271081167376
I/O Rate [TeraBytes/s],3.0037652050801182,0.7371537124080442,3.0037652050801182,3.0037652050801182,1.3203117786077285,0.018753907706308397,1.6286893212372748,0.06894999999999998,1.303849853521388,0.002164472474483216,1.303849853521388,2.9293766969777684,2.9293766969777684,3.9555006745213523,3.9555006745213523,2.9293766969777684,3.3036703190543775,3.3036703190543775,3.3904341647800442,0.9037414399999999,2.1089265529246033,0.9525730417777777,3.9764623359999995,0.9037414399999999
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOPS],12.473760817341514,1.4433536172152508,12.519950703001532,12.519950703001532,23.168003018106702,0.1427294102592228,23.230766055174517,0.2657674430377426,16.88831662070561,0.009255131009606893,5.1165710078061135,43.13336648091318,43.13336648091318,61.82109650229018,61.82109650229018,42.107439873828746,15.018169612782863,15.018169612782863,13.808535740863302,1.1587998824353236,8.043353508386598,1.138595569680913,122.56798431073221,7.802244356662065
-> Gridding [PetaFLOPS],2.573161205509321,0.2785411433276319,2.5732999046005993,2.5732999046005993,7.419014824780159,0.018895561101919024,7.681972843061785,0.0649477704777432,5.499950639931348,0.0008643461832932871,1.7416604970531224,10.765048481683266,10.765048481683266,20.5748509029646,20.5748509029646,14.030600397602033,5.523829019742894,5.523829019742894,5.123779401377732,0.4731047361348113,1.6864535626053658,0.3791037053362394,35.15920448114131,2.2439403089185155
