,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Visibilities bw4 [1/s],51070084.07706727,624551447.5564055,2472590.3662639125,24196072.185178738,6367602.162721325,161307147.9011916,15711634.167515025,16165243.82461858,36369817.098565504,7854933.8106326135,16366615.847844897,16165243.82461858,36369817.098565504,7854933.8106326135,16366615.847844897,16165243.82461858,36369817.098565504,7854933.8106326135,1516800.3619442557,2438211.5735048177,2438211.5735048177,1693630.4339655556,2207901.1253199168,3833094.764727136,61687.09333428031,3912936.3720073565,,,,,1586822.311269336,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,2407038.525760172,7428853.120970112,7428853.120970112,2139589.800675709,7428853.120970112,7428853.120970112,2407038.525760172,7428853.120970112,7428853.120970112,3573941.2412093366,6204650.944006526,6204650.944006526,4020656.085091352,6204650.944006526,6204650.944006526
Visibilities bw5 [1/s],,,2913905.1492237914,16973538.792926878,6253540.054241978,113156925.2861792,,,,,,,,,,,,,1117214.2984720482,2394535.4510295233,2394535.4510295233,1188081.3403013735,,,,,,,,,1753191.5307690816,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,2363896.7524991715,7295782.519740423,7295782.519740423,2363896.7524991715,7295782.519740423,7295782.519740423,2363896.7524991715,7295782.519740423,7295782.519740423,3509904.0533620194,6093507.554281698,6093507.554281698,4442200.368993479,6093507.554281698,6093507.554281698
Visibilities bw6 [1/s],,,11652418.744261062,38875256.74824015,30009250.41978592,259168378.32160106,,,,,,,,,,,,,487388.54333709826,1566939.8485684295,1566939.8485684295,680278.9875682254,,,,,,,,,8413123.003386792,11540578.747011721,11540578.747011721,16446153.148886474,16446153.148886474,16446153.148886474,,,8507752.377023127,35010730.818072766,35010730.818072766,11343669.836030837,35010730.818072766,35010730.818072766,8507752.377023127,35010730.818072766,35010730.818072766,12632338.080090325,29241291.634968936,29241291.634968936,21317003.483198937,29241291.634968936,29241291.634968936
Visibilities bw7 [1/s],,,22779186.284571785,74308982.27029818,58665216.05526454,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,10964551.764602104,22560725.281398572,22560725.281398572,,,,,,22175691.60366437,68442638.40578821,68442638.40578821,14783794.402442914,68442638.40578821,68442638.40578821,22175691.60366437,68442638.40578821,68442638.40578821,32926614.554301508,57163929.21354139,57163929.21354139,27781766.969815783,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,8655176.951414868,23528836.456981257,22290508.6912017,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,4166102.025521034,8572200.799852682,8572200.799852682,,,,,,8425886.278057413,26005551.376176804,26005551.376176804,5617257.518704942,26005551.376176804,26005551.376176804,8425886.278057413,26005551.376176804,26005551.376176804,12510825.351227868,21720077.7258466,21720077.7258466,10555988.606277755,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,18504465.218688436,20578952.548825152,47656482.60434576,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,4453501.994461383,18327123.937945276,18327123.937945276,,,,,,9007137.620259706,55599141.81844076,55599141.81844076,6004758.4135064725,55599141.81844076,55599141.81844076,9007137.620259706,55599141.81844076,55599141.81844076,13373885.057410384,46436916.91469366,46436916.91469366,11284197.776350714,46436916.91469366,46436916.91469366
Visibilities bw10 [1/s],,,1567390.535939933,1474941.9947464184,4036673.733039358,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,377227.31697600306,1552372.5816993127,1552372.5816993127,,,,,,762935.6430592999,4709445.368390764,4709445.368390764,508623.76203953335,4709445.368390764,4709445.368390764,762935.6430592999,4709445.368390764,4709445.368390764,1132814.9800410054,3933372.1611527153,3933372.1611527153,955811.3678839239,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,775081.0563060734,632117.9960055351,1996155.046750689,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,186540.70986155552,767655.8672308879,767655.8672308879,,,,,,377275.079015664,2328843.9796672305,2328843.9796672305,251516.71934377603,2328843.9796672305,2328843.9796672305,377275.079015664,2328843.9796672305,2328843.9796672305,560182.3360827735,1945071.904603555,1945071.904603555,472653.30112687306,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],,,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,,,,,,,,,,,,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],,,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,,,,,,,,,,,,,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,,,,,,,,,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],,,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,,,,,,,,,,,,,,,,,,,,,,,,,4011.4983910865153,4011.4983910865153,4011.4983910865153,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,,,,,,,,,,,,,5776.557683164582,5776.557683164582,5776.557683164582,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,,,,,,,,,,,,,8629.178761270548,8629.178761270548,8629.178761270548,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,,,,,,,,,,,,,12052.324054997707,12052.324054997707,12052.324054997707,,,,,,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,,,,,,,,,,,,,16045.993564346061,16045.993564346061,16045.993564346061,,,,,,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],1.0182975758388335,2.405732233950292,18.87632860176111,339.40010930539063,965.1049782071539,8927.064769801078,1.3809954474309962,1.3561308993971948,0.6904978309391279,22.293364425308514,1.3809954415300403,1.3561308993971948,0.6904978309391279,22.293364425308514,1.3809954415300403,1.3561308993971948,0.6904978309391279,22.293364425308514,94.38027421848165,37.707634515531204,29.625238790353727,1490.7387193524346,146.24121381552,65.08499022639289,204.99531697372092,2017.5514495675034,200.40866851128433,73.81441029244967,58.28295761599212,1087.9995451470118,3650.3547422799443,1500.6366270924457,1461.0333093061083,50.355889026456886,42.29463106018552,32.914356243279734,9.914596479193701,6.453849071220018,106.91551169465384,45.276556998292506,37.95163910809968,121.40516571089846,45.276556998292506,37.95163910809968,106.91551169465384,45.276556998292506,37.95163910809968,1746.5854017786583,905.0244776847634,691.3069386438362,1725.037332229469,905.0244776847634,691.3069386438362
Delta W snapshot1 [lambda],2.036595151677667,4.811464467900584,28.314492902641664,509.10016395808594,1447.6574673107307,13390.597154701616,2.7619908948619925,2.7122617987943896,1.3809956618782557,44.58672885061703,2.7619908830600806,2.7122617987943896,1.3809956618782557,44.58672885061703,2.7619908830600806,2.7122617987943896,1.3809956618782557,44.58672885061703,141.57041132772247,56.56145177329681,44.43785818553059,2236.108079028652,219.36182072328,97.62748533958933,307.49297546058136,3026.327174351255,300.6130027669265,110.7216154386745,87.42443642398817,1631.9993177205176,5475.532113419917,2250.9549406386686,2191.5499639591626,75.53383353968533,63.44194659027829,49.3715343649196,14.871894718790552,9.680773606830027,160.37326754198077,67.91483549743876,56.92745866214951,182.10774856634768,67.91483549743876,56.92745866214951,160.37326754198077,67.91483549743876,56.92745866214951,2619.8781026679876,1357.536716527145,1036.9604079657545,2587.5559983442035,1357.536716527145,1036.9604079657545
Delta W snapshot2 [lambda],4.073190303355334,9.622928935801168,37.75265720352222,678.8002186107813,1930.2099564143077,17854.129539602156,5.523981789723985,5.424523597588779,2.7619913237565115,89.17345770123406,5.523981766120161,5.424523597588779,2.7619913237565115,89.17345770123406,5.523981766120161,5.424523597588779,2.7619913237565115,89.17345770123406,188.7605484369633,75.41526903106241,59.250477580707454,2981.477438704869,292.48242763104,130.16998045278578,409.99063394744184,4035.1028991350067,400.81733702256867,147.62882058489933,116.56591523198423,2175.9990902940235,7300.709484559889,3001.2732541848914,2922.0666186122166,100.71177805291377,84.58926212037105,65.82871248655947,19.829192958387402,12.907698142440037,213.8310233893077,90.55311399658501,75.90327821619935,242.81033142179692,90.55311399658501,75.90327821619935,213.8310233893077,90.55311399658501,75.90327821619935,3493.1708035573165,1810.0489553695268,1382.6138772876725,3450.074664458938,1810.0489553695268,1382.6138772876725
Delta W snapshot3 [lambda],8.146380606710668,19.245857871602336,56.62898580528333,1018.2003279161719,2895.3149346214614,26781.194309403232,11.04796357944797,10.849047195177558,5.523982647513023,178.3469154024681,11.047963532240322,10.849047195177558,5.523982647513023,178.3469154024681,11.047963532240322,10.849047195177558,5.523982647513023,178.3469154024681,283.14082265544494,113.12290354659362,88.87571637106117,4472.216158057304,438.72364144656,195.25497067917865,614.9859509211627,6052.65434870251,601.226005533853,221.443230877349,174.84887284797634,3263.9986354410353,10951.064226839833,4501.909881277337,4383.099927918325,151.06766707937066,126.88389318055658,98.7430687298392,29.743789437581103,19.361547213660053,320.74653508396153,135.82967099487752,113.85491732429902,364.21549713269536,135.82967099487752,113.85491732429902,320.74653508396153,135.82967099487752,113.85491732429902,5239.756205335975,2715.07343305429,2073.920815931509,5175.111996688407,2715.07343305429,2073.920815931509
Delta W snapshot4 [lambda],16.292761213421336,38.49171574320467,94.38164300880554,1697.000546526953,4825.5248910357695,44635.323849005385,22.09592715889594,21.698094390355116,11.047965295026046,356.6938308049362,22.095927064480644,21.698094390355116,11.047965295026046,356.6938308049362,22.095927064480644,21.698094390355116,11.047965295026046,356.6938308049362,471.90137109240817,188.53817257765604,148.12619395176864,7453.693596762173,731.2060690776,325.42495113196446,1024.9765848686045,10087.757247837517,,,,,18251.77371139972,7503.183135462228,7305.166546530542,251.77944513228445,211.47315530092763,164.57178121639865,39.658385916774805,25.815396284880073,534.5775584732693,226.38278499146253,189.75819554049838,607.0258285544923,226.38278499146253,189.75819554049838,534.5775584732693,226.38278499146253,189.75819554049838,8732.927008893292,4525.122388423817,3456.5346932191815,8625.186661147345,4525.122388423817,3456.5346932191815
Delta W snapshot5 [lambda],,,132.13430021232776,2375.8007651377343,6755.734847450077,62489.453388607544,,,,,,,,,,,,,660.6619195293715,263.95344160871844,207.37667153247608,10435.171035467043,,,,,,,,,25552.48319595961,10504.456389647119,10227.23316514276,352.49122318519824,296.0624174212987,230.40049370295813,,,748.408581862577,316.93589898804754,265.6614737566977,849.8361599762892,316.93589898804754,265.6614737566977,748.408581862577,316.93589898804754,265.6614737566977,12226.09781245061,6335.171343793344,4839.1485705068535,12075.261325606283,6335.171343793344,4839.1485705068535
Delta W snapshot6 [lambda],,,207.6396146193722,3733.401202359297,10616.154760278692,98197.71246781186,,,,,,,,,,,,,755.0421937478532,301.66107612424963,237.00191032282981,11925.909754819477,,,,,,,,,40153.90216507939,16507.0028980169,16071.366402367192,503.5588902645689,422.94631060185526,329.1435624327973,,,1176.0706286411923,498.04212698121756,417.46803018909645,1335.456822819883,498.04212698121756,417.46803018909645,1176.0706286411923,498.04212698121756,417.46803018909645,19212.439419565242,9955.269254532397,7604.376325082199,18975.41065452416,9955.269254532397,7604.376325082199
Delta W snapshot7 [lambda],,,283.1449290264166,5091.001639580859,14476.574673107309,133905.97154701618,,,,,,,,,,,,,,,,,,,,,,,,,54755.32113419916,22509.549406386686,21915.499639591628,,,,,,1603.7326754198077,679.1483549743875,569.2745866214951,1821.0774856634769,679.1483549743875,569.2745866214951,1603.7326754198077,679.1483549743875,569.2745866214951,26198.781026679873,13575.367165271451,10369.604079657543,25875.559983442035,13575.367165271451,10369.604079657543
Delta W snapshot8 [lambda],,,339.7739148317,6109.201967497032,17371.889607728768,160687.1658564194,,,,,,,,,,,,,,,,,,,,,,,,,65706.38536103899,27011.459287664024,26298.59956750995,,,,,,1924.4792105037693,814.9780259692651,683.1295039457942,2185.2929827961725,814.9780259692651,683.1295039457942,1924.4792105037693,814.9780259692651,683.1295039457942,31438.53723201585,16290.44059832574,12443.524895589053,31050.671980130443,16290.44059832574,12443.524895589053
Delta W snapshot9 [lambda],,,415.2792292387444,7466.802404718594,21232.309520557385,196395.4249356237,,,,,,,,,,,,,,,,,,,,,,,,,80307.80433015877,33014.0057960338,32142.732804734384,,,,,,2352.1412572823847,996.0842539624351,834.9360603781929,2670.913645639766,996.0842539624351,834.9360603781929,2352.1412572823847,996.0842539624351,834.9360603781929,38424.878839130484,19910.538509064794,15208.752650164399,37950.82130904832,19910.538509064794,15208.752650164399
Delta W snapshot10 [lambda],,,490.7845436457888,8824.402841940157,25092.729433386,232103.684014828,,,,,,,,,,,,,,,,,,,,,,,,,94909.22329927856,39016.55230440359,37986.86604195882,,,,,,2779.8033040610003,1177.190481955605,986.7426168105916,3156.53430848336,1177.190481955605,986.7426168105916,2779.8033040610003,1177.190481955605,986.7426168105916,45411.22044624512,23530.636419803846,17973.980404739745,44850.970637966195,23530.636419803846,17973.980404739745
Delta W snapshot11 [lambda],,,566.2898580528332,10182.003279161718,28953.149346214617,267811.94309403235,,,,,,,,,,,,,,,,,,,,,,,,,109510.64226839833,45019.09881277337,43830.999279183256,,,,,,3207.4653508396154,1358.296709948775,1138.5491732429903,3642.1549713269537,1358.296709948775,1138.5491732429903,3207.4653508396154,1358.296709948775,1138.5491732429903,52397.56205335975,27150.734330542902,20739.208159315087,51751.11996688407,27150.734330542902,20739.208159315087
Delta W max0 [lambda],1.0182975758388335,2.405732233950292,18.87632860176111,339.40010930539063,965.1049782071539,8927.064769801078,1.3809954474309962,1.3561308993971948,0.6904978309391279,22.293364425308514,1.3809954415300403,1.3561308993971948,0.6904978309391279,22.293364425308514,1.3809954415300403,1.3561308993971948,0.6904978309391279,22.293364425308514,94.38027421848165,37.707634515531204,29.625238790353727,1490.7387193524346,146.24121381552,65.08499022639289,204.99531697372092,2017.5514495675034,200.40866851128433,73.81441029244967,58.28295761599212,1087.9995451470118,3650.3547422799443,1500.6366270924457,1461.0333093061083,50.355889026456886,42.29463106018552,32.914356243279734,9.914596479193701,6.453849071220018,106.91551169465384,45.276556998292506,37.95163910809968,121.40516571089846,45.276556998292506,37.95163910809968,106.91551169465384,45.276556998292506,37.95163910809968,1746.5854017786583,905.0244776847634,691.3069386438362,1725.037332229469,905.0244776847634,691.3069386438362
Delta W max1 [lambda],2.036595151677667,4.811464467900584,28.314492902641664,509.10016395808594,1447.6574673107307,13390.597154701616,2.7619908948619925,2.7122617987943896,1.3809956618782557,44.58672885061703,2.7619908830600806,2.7122617987943896,1.3809956618782557,44.58672885061703,2.7619908830600806,2.7122617987943896,1.3809956618782557,44.58672885061703,141.57041132772247,56.56145177329681,44.43785818553059,2236.108079028652,219.36182072328,97.62748533958933,307.49297546058136,3026.327174351255,300.6130027669265,110.7216154386745,87.42443642398817,1631.9993177205176,5475.532113419917,2250.9549406386686,2191.5499639591626,75.53383353968533,63.44194659027829,49.3715343649196,14.871894718790552,9.680773606830027,160.37326754198077,67.91483549743876,56.92745866214951,182.10774856634768,67.91483549743876,56.92745866214951,160.37326754198077,67.91483549743876,56.92745866214951,2619.8781026679876,1357.536716527145,1036.9604079657545,2587.5559983442035,1357.536716527145,1036.9604079657545
Delta W max2 [lambda],4.073190303355334,9.622928935801168,37.75265720352222,678.8002186107813,1930.2099564143077,17854.129539602156,5.523981789723985,5.424523597588779,2.7619913237565115,89.17345770123406,5.523981766120161,5.424523597588779,2.7619913237565115,89.17345770123406,5.523981766120161,5.424523597588779,2.7619913237565115,89.17345770123406,188.7605484369633,75.41526903106241,59.250477580707454,2981.477438704869,292.48242763104,130.16998045278578,409.99063394744184,4035.1028991350067,400.81733702256867,147.62882058489933,116.56591523198423,2175.9990902940235,7300.709484559889,3001.2732541848914,2922.0666186122166,100.71177805291377,84.58926212037105,65.82871248655947,19.829192958387402,12.907698142440037,213.8310233893077,90.55311399658501,75.90327821619935,242.81033142179692,90.55311399658501,75.90327821619935,213.8310233893077,90.55311399658501,75.90327821619935,3493.1708035573165,1810.0489553695268,1382.6138772876725,3450.074664458938,1810.0489553695268,1382.6138772876725
Delta W max3 [lambda],8.146380606710668,19.245857871602336,56.62898580528333,1018.2003279161719,2895.3149346214614,26781.194309403232,11.04796357944797,10.849047195177558,5.523982647513023,178.3469154024681,11.047963532240322,10.849047195177558,5.523982647513023,178.3469154024681,11.047963532240322,10.849047195177558,5.523982647513023,178.3469154024681,283.14082265544494,113.12290354659362,88.87571637106117,4472.216158057304,438.72364144656,195.25497067917865,614.9859509211627,6052.65434870251,601.226005533853,221.443230877349,174.84887284797634,3263.9986354410353,10951.064226839833,4501.909881277337,4383.099927918325,151.06766707937066,126.88389318055658,98.7430687298392,29.743789437581103,19.361547213660053,320.74653508396153,135.82967099487752,113.85491732429902,364.21549713269536,135.82967099487752,113.85491732429902,320.74653508396153,135.82967099487752,113.85491732429902,5239.756205335975,2715.07343305429,2073.920815931509,5175.111996688407,2715.07343305429,2073.920815931509
Delta W max4 [lambda],24.167420631115196,38.49171574320467,94.38164300880554,1697.000546526953,4825.5248910357695,44635.323849005385,22.095927434162466,22.095927434162466,22.095927434162466,356.6938308049362,22.095927434162466,22.095927434162466,22.095927434162466,356.6938308049362,22.095927434162466,22.095927434162466,22.095927434162466,356.6938308049362,471.90137109240817,188.53817257765604,148.12619395176864,7453.693596762173,731.2060690776,325.42495113196446,1024.9765848686045,10087.757247837517,,,,,18251.77371139972,7503.183135462228,7305.166546530542,251.77944513228445,211.47315530092763,164.57178121639865,39.658385916774805,25.815396284880073,534.5775584732693,226.38278499146253,189.75819554049838,607.0258285544923,226.38278499146253,189.75819554049838,534.5775584732693,226.38278499146253,189.75819554049838,8732.927008893292,4525.122388423817,3456.5346932191815,8625.186661147345,4525.122388423817,3456.5346932191815
Delta W max5 [lambda],,,132.13430021232776,2375.8007651377343,6755.734847450077,62489.453388607544,,,,,,,,,,,,,660.6619195293715,263.95344160871844,207.37667153247608,10435.171035467043,,,,,,,,,25552.48319595961,10504.456389647119,10227.23316514276,352.49122318519824,296.0624174212987,230.40049370295813,,,748.408581862577,316.93589898804754,265.6614737566977,849.8361599762892,316.93589898804754,265.6614737566977,748.408581862577,316.93589898804754,265.6614737566977,12226.09781245061,6335.171343793344,4839.1485705068535,12075.261325606283,6335.171343793344,4839.1485705068535
Delta W max6 [lambda],,,207.6396146193722,3733.401202359297,10616.154760278692,98197.71246781186,,,,,,,,,,,,,755.0421937478532,301.66107612424963,237.00191032282981,11925.909754819477,,,,,,,,,40153.90216507939,16507.0028980169,16071.366402367192,503.5588902645689,422.94631060185526,329.1435624327973,,,1176.0706286411923,498.04212698121756,417.46803018909645,1335.456822819883,498.04212698121756,417.46803018909645,1176.0706286411923,498.04212698121756,417.46803018909645,19212.439419565242,9955.269254532397,7604.376325082199,18975.41065452416,9955.269254532397,7604.376325082199
Delta W max7 [lambda],,,283.1449290264166,5091.001639580859,14476.574673107309,133905.97154701618,,,,,,,,,,,,,,,,,,,,,,,,,54755.32113419916,22509.549406386686,21915.499639591628,,,,,,1603.7326754198077,679.1483549743875,569.2745866214951,1821.0774856634769,679.1483549743875,569.2745866214951,1603.7326754198077,679.1483549743875,569.2745866214951,26198.781026679873,13575.367165271451,10369.604079657543,25875.559983442035,13575.367165271451,10369.604079657543
