,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
AW kernel support bw4 [uv-pixels],11.581756682539593,20.544337738973606,10.306911297190647,11.18766228937604,10.210223847751868,14.868264407802855,12.215386021003106,10.5599869449785,11.791015130343055,13.934513163100958,11.331996128555707,10.5599869449785,11.791015130343055,13.934513163100958,11.331996128555707,10.5599869449785,11.791015130343055,13.934513163100958,12.601117719224549,12.431471935839042,11.743879114032037,16.994616304875965,12.024280458062453,11.63738116868761,10.612621927744494,15.118940130220814,,,,,10.655248611206588,10.329553060479235,10.316762075582469,11.491868420175635,11.164915491966473,10.812204752204835,11.253558316958825,10.67525718528498,10.71474073590466,11.223296162430103,10.950107950092406,10.859394704708738,11.223296162430103,10.950107950092406,10.71474073590466,11.223296162430103,10.950107950092406,10.341699439583744,10.341473207397083,10.229019879267064,10.474856193838315,10.341473207397083,10.229019879267064
AW kernel support bw5 [uv-pixels],,,10.504169751119088,11.906745283247062,10.34630756365968,17.356323323582505,,,,,,,,,,,,,14.058812740071058,13.805443246565169,12.765652282067093,20.34776253350682,,,,,,,,,11.066059466013646,10.541012527909878,10.52020470939258,12.378696473626691,11.871226383264109,11.316017232411667,,,11.161025068946264,11.962320940406029,11.534121509541036,11.390806383496868,11.962320940406029,11.534121509541036,11.161025068946264,11.962320940406029,11.534121509541036,10.560758023363801,10.560390375580877,10.377064335226656,10.776364496555976,10.560390375580877,10.377064335226656
AW kernel support bw6 [uv-pixels],,,10.973041998486366,13.511593579419753,10.672688610023275,22.33098690238655,,,,,,,,,,,,,14.813892078062002,14.519366124627972,13.304363536173193,22.00810977420306,,,,,,,,,12.01506693906016,11.042619542312082,11.003347532719145,13.825691882937777,13.040766669957039,12.165869397313763,,,12.187511831482777,13.608385237455872,12.856206948860864,12.600928651607754,13.608385237455872,12.856206948860864,12.187511831482777,13.608385237455872,12.856206948860864,11.079830597411798,11.079138247341461,10.731498798495718,11.482744660942227,11.079138247341461,10.731498798495718
AW kernel support bw7 [uv-pixels],,,11.513235748795157,15.226347178588314,11.0534541211075,27.16265455194773,,,,,,,,,,,,,,,,,,,,,,,,,13.069166186252822,11.618934383112029,11.559310260978531,,,,,,13.32177288952356,15.363505084805418,14.2907186543102,13.922684896621915,15.363505084805418,14.2907186543102,13.32177288952356,15.363505084805418,14.2907186543102,11.67534481251745,11.674295983321292,11.143946900634932,12.2811752325834,11.674295983321292,11.143946900634932
AW kernel support bw8 [uv-pixels],,,11.951761053007228,16.541854856502184,11.365965137356609,30.675986103162522,,,,,,,,,,,,,,,,,,,,,,,,,13.900165798988429,12.085684613369551,12.01017134559844,,,,,,14.212527012413846,16.708140052236097,15.40269857849327,14.95202310094418,16.708140052236097,15.40269857849327,14.212527012413846,16.708140052236097,15.40269857849327,12.157051847766374,12.155725594905157,11.481697355610768,12.919184817832054,12.155725594905157,11.481697355610768
AW kernel support bw9 [uv-pixels],,,12.568808954298625,18.306936981960174,11.810381672123329,35.22272609519831,,,,,,,,,,,,,,,,,,,,,,,,,15.039442534647005,12.741001056320732,12.643961192678661,,,,,,15.42983004323944,18.510461177884583,18.510460790643602,16.34921984310531,18.510461177884583,18.510460790643602,15.42983004323944,18.510461177884583,18.510460790643602,12.832593650521193,12.830892581843786,11.960939553703353,13.804088929945278,12.830892581843786,11.960939553703353
AW kernel support bw10 [uv-pixels],,,13.998405615583549,20.068018747392856,12.279557262631503,39.62876619687393,,,,,,,,,,,,,,,,,,,,,,,,,16.198464798768764,13.423502786063851,13.304887354434316,,,,,,16.664537597560326,22.41063610470691,22.41063610470691,17.757617288135044,22.41063610470691,22.41063610470691,16.664537597560326,22.41063610470691,22.41063610470691,13.53533011246118,13.533254370542119,12.465663767615832,14.714438718638826,13.533254370542119,12.465663767615832
AW kernel support bw11 [uv-pixels],,,15.741795651736716,21.81552195100935,12.767704946471866,43.91144292464979,,,,,,,,,,,,,,,,,,,,,,,,,17.366140044997675,14.124896103752796,13.984878719233546,,,,,,17.90547659031267,26.84340265026261,26.84340265026261,19.166185158088247,26.84340265026261,26.84340265026261,17.90547659031267,26.84340265026261,26.84340265026261,14.256765915910565,14.254319312950921,12.989623310600965,15.640091404898216,14.254319312950921,12.989623310600965
"W kernel support bw, ff0 [pixels]",80.11683776725644,81.94987079198273,80.22178660033504,80.88968947428934,80.15133107192607,84.17690157670079,80.30375786898574,80.06953098921666,80.08526434068374,80.57875621711462,80.1758214068619,80.06953098921666,80.08526434068374,80.57875621711462,80.1758214068619,80.06953098921666,80.08526434068374,80.57875621711462,82.05933415248583,81.91269146254976,81.33572950180539,86.41620006870858,81.56762691167164,81.24888530930835,80.44826774939484,84.42853287545438,81.96196564796787,81.17945181176265,80.82881005253799,121.47168635959116,80.48029839530001,80.2383664098343,80.22899620780228,81.13132750374473,80.8718462254661,80.59919331601331,81.31363803029988,80.69179962292931,80.52518722251797,80.91770478731787,80.70489435856156,80.63523344699964,80.91770478731787,80.70489435856156,80.52518722251797,80.91770478731787,80.70489435856156,80.24727351772836,80.24710753727658,80.16498399971228,80.34550403929407,80.24710753727658,80.16498399971228
"W kernel support bw, ff1 [pixels]",80.33038262209219,85.41440316003204,80.40727132734325,81.62885750310492,80.27797028616452,87.53417677749684,80.85746717694487,80.19668544525793,80.24116317246566,81.62931307736656,80.49691580674498,80.19668544525793,80.24116317246566,81.62931307736656,80.49691580674498,80.19668544525793,80.24116317246566,81.62931307736656,83.7498694581628,83.48519862779808,82.44040859620382,91.46569172231125,82.86100602944634,82.28266433012284,80.82235598541234,87.97940706018868,83.57417128453775,82.156453073232,81.5178264296864,147.70532643923332,80.88099021716438,80.43768715317408,80.42049797803543,82.06892810752079,81.59632181166047,81.09848164734538,82.40029361535115,81.26771585375405,80.96313267510888,81.67993010153624,81.29163404826758,81.16436101744193,81.67993010153624,81.29163404826758,80.96313267510888,81.67993010153624,81.29163404826758,80.45402546581775,80.45372101974766,80.30303254088075,80.63412221704439,80.45372101974766,80.30303254088075
"W kernel support bw, ff2 [pixels]",80.93238493826465,94.56754141921837,80.62656087749299,82.4968073235166,80.42779312521445,91.35909496297494,82.4071632886282,80.55577746982762,80.68117728912121,84.53863123388432,81.40006244177354,80.55577746982762,80.68117728912121,84.53863123388432,81.40006244177354,80.55577746982762,80.68117728912121,84.53863123388432,85.71223064741838,85.3131045525271,83.73174816846488,97.1210021481679,84.36947869225561,83.49216860868839,81.26360780440903,92.01660993199897,85.44734126086351,83.30032208746273,82.32738839766763,173.84724308768781,81.35346695664713,80.67329540378735,80.64688493458112,83.16719702908813,82.4471737675329,81.68650136850282,83.67084298683882,81.94533818280273,81.47929952415605,82.57469967628226,81.9818987293364,81.78729269056242,82.57469967628226,81.9818987293364,81.47929952415605,82.57469967628226,81.9818987293364,80.69839604003093,80.69792834037807,80.46633183649185,80.97491617145295,80.69792834037807,80.46633183649185
"W kernel support bw, ff3 [pixels]",82.61549795576626,116.75632474282925,81.14851007807411,84.53738272751528,80.7848666456179,99.9281238523344,86.65454021052871,81.56498400452632,81.91567340043316,92.30345713756655,83.90895943106183,81.56498400452632,81.91567340043316,92.30345713756655,83.90895943106183,81.56498400452632,81.91567340043316,92.30345713756655,90.2370021357478,89.53748293495715,86.74428655317936,109.49214750572838,87.87499939961086,86.31796147000865,82.30941533031786,101.03436081330541,89.77298790676015,85.97595531495773,84.2327696501786,224.5744104132136,82.47261133878038,81.23391193964414,81.18565451954038,85.73830438609941,84.44818964522516,83.07626257653442,86.63598852389754,83.54415210334548,82.70091109202762,84.67727890336995,83.61015245546491,83.25859061230156,84.67727890336995,83.61015245546491,82.70091109202762,84.67727890336995,83.61015245546491,81.27976491041338,81.2789106319431,80.85542565595061,81.78418608974881,81.2789106319431,80.85542565595061
"W kernel support bw, ff4 [pixels]",92.65405346031675,164.35470191178885,82.45529037752517,89.50129831500831,81.68179078201494,118.94611526242284,97.72308816802484,84.479895559828,94.32812104274444,111.47610530480766,90.65596902844565,84.479895559828,94.32812104274444,111.47610530480766,90.65596902844565,84.479895559828,94.32812104274444,111.47610530480766,100.80894175379639,99.45177548671234,93.9510329122563,135.95693043900772,96.19424366449962,93.09904934950087,84.90097542195595,120.95152104176651,,,,,85.2419888896527,82.63642448383388,82.53409660465975,91.93494736140508,89.31932393573179,86.49763801763868,90.0284665356706,85.40205748227984,85.71792588723729,89.78636929944082,87.60086360073925,86.8751576376699,89.78636929944082,87.60086360073925,85.71792588723729,89.78636929944082,87.60086360073925,82.73359551666995,82.73178565917667,81.83215903413651,83.79884955070652,82.73178565917667,81.83215903413651
"W kernel support bw, ff5 [pixels]",,,84.0333580089527,95.2539622659765,82.77046050927744,138.85058658866004,,,,,,,,,,,,,112.47050192056847,110.44354597252135,102.12521825653674,162.78210026805456,,,,,,,,,88.52847572810917,84.32810022327902,84.16163767514064,99.02957178901353,94.96981106611287,90.52813785929334,,,89.28820055157011,95.69856752324823,92.27297207632829,91.12645106797494,95.69856752324823,92.27297207632829,89.28820055157011,95.69856752324823,92.27297207632829,84.48606418691041,84.48312300464701,83.01651468181325,86.21091597244781,84.48312300464701,83.01651468181325
"W kernel support bw, ff6 [pixels]",,,87.78433598789093,108.09274863535802,85.3815088801862,178.6478952190924,,,,,,,,,,,,,118.51113662449602,116.15492899702377,106.43490828938555,176.06487819362448,,,,,,,,,96.12053551248128,88.34095633849665,88.02678026175316,110.60553506350222,104.32613335965631,97.3269551785101,,,97.50009465186221,108.86708189964698,102.84965559088691,100.80742921286203,108.86708189964698,102.84965559088691,97.50009465186221,108.86708189964698,102.84965559088691,88.63864477929438,88.63310597873169,85.85199038796574,91.86195728753782,88.63310597873169,85.85199038796574
